{'短评内容': '房间干净，房间大', '短评打分': 5}
{'短评内容': '房子旧  设备差         很垃圾这个价不划算住这里', '短评打分': 2}
{'短评内容': '垃圾  服务差  房子小   早晨退房前台30分钟无人接待，开票半个月都没票', '短评打分': 3}
{'短评内容': '可以！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！可以', '短评打分': 4}
{'短评内容': '酒店一般，服务态度很，离市区都很近，出入很方便，价格很合理，就是没有早歺提供，不过还好，在酒店一楼可以吃到。', '短评打分': 4}
{'短评内容': '退房无法开具发票，承诺第二天开出后寄出，结果10天后仍未开具！', '短评打分': 3}
{'短评内容': '不错，推荐', '短评打分': 5}
{'短评内容': '不是一般的差，前台服务差，房间也小小的', '短评打分': 1}
{'短评内容': '交通环境位置都不错，价格也合适，性价比较高！', '短评打分': 4}
{'短评内容': '价廉物美，值得拥有，下次继续入住。', '短评打分': 5}
{'短评内容': '便宜，干净，值得入住，下次继续！', '短评打分': 5}
{'短评内容': '总体还行，干净，安静，，周边小吃很多', '短评打分': 3}
{'短评内容': '装修很久的酒店，有点旧，但房间比较宽敞。我住7楼，热水不太热，淋雨的水也不大，酒店不提供吹风机。', '短评打分': 5}
{'短评内容': '装修很久的酒店，有点旧，但房间比较宽敞。我住7楼，热水不太热，淋雨的水也不大，酒店不提供吹风机。', '短评打分': 5}
{'短评内容': '装修很久的酒店，有点旧，但房间比较宽敞。我住7楼，热水不太热，淋雨的水也不大，酒店不提供吹风机。', '短评打分': 5}
{'短评内容': '看里面的装修，应该有不短的时间了，有点旧。房间挺大，很宽敞。我住7楼，水不是很热，酒店没有吹风机。', '短评打分': 5}
{'短评内容': '不错不错，环境还好，性价比高。', '短评打分': 3}
{'短评内容': '房间有异味，灯泡是坏的，卫生还行吧，总体感觉一般般，性价比低！', '短评打分': 1}
{'短评内容': '总的谁来此酒店性价比很高。首先该酒店地理位置优越，交通十分便捷，无论是到老城新华街，还是到汽车站都非常方便。第二，如果是因为到附近学校参加一些社会公考，此酒店还是首选。虽然房价不大，但安全、卫生，条件也很好、有线电视、空调都齐全。而且价格非常合适。反正本人第一次入住，感觉还是很值。', '短评打分': 5}
{'短评内容': '服务很棒，对于旅游来说，心情最重要，所以很OK~位于银川市老城比较市中心的位置，离北城车站很近，坐车去西部影视城和沙湖都很方便。呵呵~赞一个！', '短评打分': 5}
{'短评内容': '老式酒店，没有早餐，没有停车场，停车还收费，真不地道。', '短评打分': 1}
{'短评内容': '房间设施还好，交通也挺方便，就是低用券不能使用。', '短评打分': 5}
{'短评内容': ' 酒店很有般，厕所灯都坏了', '短评打分': 3}
{'短评内容': '酒店设施还可以，也比较干净，就是空间比较小，不过也对得起这个价格了！', '短评打分': 3}
{'短评内容': '服务很好，不过就是我订了一间是给北京的朋友，发票最后给了朋友，我们企业就无法开具发票了真遗憾！', '短评打分': 5}
{'短评内容': '酒店服务很一般，通过网上预订的标准间，居然没有预留。最后补登了套房，套房环境很差，卫生间超级小，座便器都是坏的。', '短评打分': 1}
