{'短评内容': '早到有车位，真不错', '短评打分': 5}
{'短评内容': '适合带孩子，交通方便', '短评打分': 4}
{'短评内容': '还不错吧，地理位置。这个价格也不能要求太多了', '短评打分': 4}
{'短评内容': '房间很小，设施陈旧，周边环境杂乱，真不知道4.4的评价是真那么来的，这种房间顶多100多吧！278简直太亏了！从来没有在点评过，这次真的忍不住了！差差差到家！', '短评打分': 2}
{'短评内容': '从来不写评论，可是必须说，这家真的有惊喜。来之前不情不愿，奈何附近都满了。进来后 1 房间比照片里漂亮，干净、安静。2 有净水机、直饮水。3 空调制热超给力，怕冷体质简直欢呼。4 电视有机顶盒，可以收看外文高清 5 洗手间化妆镜配的冷光灯，不会转色画浓了 6 配有麦粒枕……简直不要太好……好评！！！', '短评打分': 5}
{'短评内容': '不错，环境可以，交通便利', '短评打分': 5}
{'短评内容': '很棒，很不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '位置方便，房间很宽敞，餐厅也很大，前台服务态度非常好，坐车很方便，离地铁站大约十分钟以为，对面非常多商铺可以吃饭，楼下右边就是便利店。', '短评打分': 5}
{'短评内容': '性价比高，干净', '短评打分': 4}
{'短评内容': '酒店不错，就是太吵酒店不错，就是太吵酒店不错，就是太吵酒店不错，就是太吵酒店不错，就是太吵酒店不错，就是太吵', '短评打分': 5}
{'短评内容': '复式房间，简洁时尚，离桂林公园和地铁站都非常近，购物，餐饮，休闲都十分便捷，是出差的不错选择。值得推荐。', '短评打分': 5}
{'短评内容': '房间隔音差，外面空调声音吵得睡不着。座机没办法打前台电话，用手机打前台电话根本没人接。被子上一股香烟味。是我住过最差最差的如家了。', '短评打分': 2}
{'短评内容': '非常体贴的服务，住的也十分舒适，而且价钱真的很优惠。', '短评打分': 5}
{'短评内容': '整体环境可以，早餐有待提高！谢谢！', '短评打分': 3}
{'短评内容': '整体环境还可以，早餐不是很好，需要提高', '短评打分': 3}
{'短评内容': '就是个如家，看到床单让我想起好多视频。哎', '短评打分': 4}
{'短评内容': '房间空间还行 但不知道是不是因为和莫泰合并的关系 进门就有一股刚装修完的味道', '短评打分': 3}
{'短评内容': '真的不是很好，洗手间很差，下次不会来住了。', '短评打分': 1}
