{'descr': '地方好，室内环境还不错', 'star': 5}
{'descr': '好好', 'star': 5}
{'descr': '经济型酒店还算可以，就是离我要去的地方远了点', 'star': 3}
{'descr': '干净，不潮湿，出行方便，态度好！', 'star': 5}
{'descr': '早餐还可以，旁边微山路还有小吃，交通还算方便。房间一人住还算宽敞，周边有南浦广场公园，没事可以转转。', 'star': 5}
{'descr': '房子比较整洁，位置比较安静，旁边微山路小吃还比较多。酒店是办公楼改的，大标间比较开阔，旁边是南浦广场公园，没事可以转转。', 'star': 5}
{'descr': '不错的酒店，酒店设施稍微老了些但感觉干净的', 'star': 5}
{'descr': '谢谢就很方便了以后再京东里面订房', 'star': 5}
{'descr': '不错，干净', 'star': 4}
{'descr': '以后还会入住', 'star': 4}
{'descr': '酒店环境好，地理位置优越，很好找，住宿很舒适，闹中取静，交通很方便，去外滩，东方明珠塔，步行街都很便捷，下次去还定这里。满意！', 'star': 4}
{'descr': '地铁方便，价格还行，就是洗手间不怎么好。', 'star': 3}
{'descr': '环境较好，安静，卫生也不错。', 'star': 5}
{'descr': '房间还算干净 就是被罩有点不干净 到地铁口大概有1公里多 不是特别近 性价比一般 下次不会住 应该能找到差不多但是价格便宜一点的', 'star': 4}
{'descr': '环境还不错，就是打车不太好打。', 'star': 5}
{'descr': '房间还算干净 就是被罩有点不干净 到地铁口大概有1公里多 不是特别近 性价比一般 下次不会住 应该能找到差不多但是价格便宜一点的', 'star': 4}
{'descr': '换环境是我见过最差的锦江之星，屋子里面有烟头，浴室帘子一股长毛的味道。房间小设施陈旧，屋子里面就一灯，床头灯成了一个破得要死的台灯。装修极差。卫生差。环境差', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '感觉服务态度不是很好  出门旅行就是为了开心  我喜欢让我快乐的氛围   酒店前台服务不是很好  但是保安大爷很好 很和善', 'star': 1}
{'descr': '房间简洁，房间虽小但很干净，住着舒服', 'star': 3}
{'descr': '酒店环境不错', 'star': 3}
{'descr': '服务不错，客房干净整洁卫生，附件超市挺多的，离4号地铁，巴黎春天挺近的。', 'star': 5}
{'descr': '还有 好像有一面的房间面向的是一个住宅楼，除了睡觉需要拉上窗帘以外呢其他都很好，很安静，一点也不吵，休息好就能玩好，呵呵', 'star': 5}
{'descr': '房间很宽敞明亮，舒服，就是没有吹风筒，其他都很好，干净、床垫也很舒服，吃饭逛街都还可以，地铁站也不太远，走过去大概5分钟的样子吧，反正自己出差住那还挺方便的！', 'star': 5}
{'descr': '交通便利\n靠近4号线塘桥站\n就是打车不太方便。\n不过前台可以帮忙叫车，很好！ ', 'star': 5}
{'descr': '还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧还可以吧', 'star': 5}
{'descr': '房间有股席子的味道   而且很重', 'star': 3}
{'descr': '交通便利\n靠近4号线塘桥站\n就是打车不太方便。\n不过前台可以帮忙叫车，很好！', 'star': 5}
{'descr': '不错，服务好，主要是干净和舒适。还会再来的。', 'star': 5}
{'descr': '第一次住锦江，房间虽然小，但是感觉还不错， 电视太小了。 床不错，枕头太软太高了。\n卫生间的浴巾不大干净，黑乎乎的。\n隔音效果不怎么样， 不过和同样条件和地段的如家比起来，还是有优势的。\n', 'star': 5}
{'descr': '很喜欢，前台服务非常好，是不错的选择，下次再来。', 'star': 5}
{'descr': '还不错，比较干净，但是网速很慢，不是一般的慢  ', 'star': 5}
{'descr': '床单和被罩部分地方比较黑了，希望能提高，隔音算不错，隔壁如果大声说话还是听得到，今年早上6点隔壁的大叔打电话打了一个小时，晕死。电视换成液晶了，不错，但必须要走到电视跟前才能关掉，这点比较汗。离地铁还有10分钟路，好在晚上休息不算吵，楼层有吸烟的人味道还是会进来。基本上住住还是不错的，今天上海下雨，有雨伞借，保安大叔人很好：）前台服务也不错，楼下餐厅菜也可以。第二次入住了，就说这些哈。', 'star': 5}
{'descr': '锦江之星离地铁出口真的是好远啊，找了好久后来通过打电话咨询总台才晓得的。蛮干净的，但感觉服务态度没塘桥那家如家好。', 'star': 3}
{'descr': '交通便利，适合商务出差', 'star': 3}
{'descr': '性价比不错，地理位置很方便，希望硬件再更新一下。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '位置还不错，性价比也可以，就是停车位较少', 'star': 5}
{'descr': '洗澡水太小。。。插座只有厕所有 不太方便', 'star': 5}
{'descr': '虽然有点难找，但环境还是比较安静的，也很干净', 'star': 5}
{'descr': '经济实惠，住的还不错.交通便利。以后还会住的。', 'star': 5}
{'descr': '交通方便////////////////////////////////////////////////', 'star': 5}
