{'短评内容': '服务有待提升', '短评打分': 3}
{'短评内容': '各方面OK', '短评打分': 4}
{'短评内容': '各方面ok', '短评打分': 5}
{'短评内容': '各方面0K', '短评打分': 5}
{'短评内容': '周边很方便，去哪都好。房间很旧，还有一股味道不知道是啥。整体还行，因为有他在。', '短评打分': 4}
{'短评内容': '不错，挺好，就是房间装修旧了些', '短评打分': 5}
{'短评内容': '等我们年老的时候，店还在.房还在，在回想那时候过程。我们会热泪盈眶。五星好评！值得', '短评打分': 5}
{'短评内容': '也要看你们俩月亮惹你生日', '短评打分': 5}
{'短评内容': '在客运站旁边，楼下有很多吃点，交通也方便，性价比高，靠近亚运大道，就是早上车流量比较大，早上有点吵了。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，就是微波炉坏了，差不多要走才有服务员来换~', '短评打分': 5}
{'短评内容': '还不错哦，前台蛮热情的。', '短评打分': 5}
{'短评内容': '房间客厅太小！另外如果齐全一点，且可免费使用就更好', '短评打分': 5}
{'短评内容': '酒店服务不错！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '帮朋友预订的，挺方便，干净整洁。', '短评打分': 5}
{'短评内容': '前台工作人员还是挺给力的', '短评打分': 5}
{'短评内容': '酒店里设施较多，最重要有洗衣机，长住洗衣方便。\n但同样行政房，通过ELONG要338，直接打电话向酒店订只要288，贵50块，有点离谱。', '短评打分': 5}
