{'短评内容': '给免费升级的，没觉得哪里好，装修很旧，房间有股发霉的味道', '短评打分': 1}
{'短评内容': '从大连到威海的船上，导致无法联系，错过联系时间，酒店给升级房间，服务没得说，好！', '短评打分': 5}
{'短评内容': '住了三天，酒店感觉很不错，很干净卫生，交通便利，服务态度也好。超值推荐！！！！', '短评打分': 5}
{'短评内容': '酒店空调不凉，其他还好！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '电视柜撤掉，电视换成液晶的吧，太古老了。', '短评打分': 3}
{'短评内容': '不能要求太高 这价格这样可以了 不能花300多要求住的和悦榕庄是的吧', '短评打分': 5}
{'短评内容': '  300多的价格可以接受 不能要求太高 ', '短评打分': 3}
{'短评内容': '酒店非常好,服务很热情,就是房间隔音不太好,推荐32楼的餐厅', '短评打分': 3}
{'短评内容': '房间很干净，喜欢！', '短评打分': 3}
{'短评内容': '入住时给升级了，不错，可以看到海景，客户还是挺满意的，，就是早餐种类太少了，，', '短评打分': 5}
{'短评内容': '酒店房间很大，设施很全面。酒店对面就是超市，很方便。', '短评打分': 3}
{'短评内容': '酒店在市中心，出行方便。房间设施有点旧，早餐不算丰富。海景房能看海很不错，酒店价格不算高。', '短评打分': 5}
{'短评内容': '地理位置很好，出行方便，对面就是个大超市。酒店的早餐不错，房间也很大，服务态度也好，还会再来。', '短评打分': 5}
{'短评内容': '停车场服务很差，车子停在停车场，由于下雪天，问管理员有没有地下停车场，回答说没有，第二天出来后，发现后门刮擦的很厉害，由于已经路上了，也懒的回去理论，酒店性价比不高，房间内设施很陈旧了。', '短评打分': 1}
{'短评内容': '早上结账，外面雪很大，宾馆的门童很快帮忙叫到了出租车，很感动。这家宾馆很怪的，门童都是50多岁的大叔，很敬业。', '短评打分': 5}
{'短评内容': '威海最高的大厦，早餐品种不多，但是景色很好。酒店北面有一条街餐馆很多，步行5分钟可以到。', '短评打分': 5}
{'短评内容': '很不错的酒店，下次来还会住这，开窗就可以看到海，还个好像叫刘公岛的什么岛的，就在我房间对面，直接看到，都省旅游的钱了！', '短评打分': 5}
{'短评内容': '房內设施陈旧，性价比不高。', '短评打分': 3}
{'短评内容': '无敌海景，环境幽雅。早餐很丰盛，服务也不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '上周去威海参展，选择入住这家酒店。 一进房间，臭味很明显，房间内一股下水道的味道。感觉厕所没有人打扫。早餐还可以，种类不是很多，但味道还行。', '短评打分': 1}
{'短评内容': '好久没住了，今日重温旧梦，感觉最别扭的还是那个突兀的电视柜和老款的电视，其他都还不错', '短评打分': 3}
{'短评内容': '这家宾馆非常不好，交通很方便，离商业街也近。卫生很差，服务态度一般，早餐的花样少了点儿，最主要的时贵\n！', '短评打分': 1}
{'短评内容': '高斯湾酒店的风景很好，无论从房间还是早餐的餐厅，海湾的景色一览无余，十分漂亮，房间很大，是不错的选择。', '短评打分': 3}
{'短评内容': '房间够大特别是卫生间，大的吓人。。。不过设施有点旧，而且大厅不像星级宾馆啊。。就是在中信大厦旁边一个侧厅。。。位置还可以，周边购物比较方便', '短评打分': 1}
{'短评内容': '整体感觉还可以。\n购物，交通，停车，比较方便。\n只是房间略小。', '短评打分': 5}
{'短评内容': '一如既往的好,前台服务人员很热情,帮我们推荐朝向好的房间.非常感谢', '短评打分': 5}
{'短评内容': '定的海景标间，入住时给升级成了大标间，房间真的好大!就是设施稍显旧，不过总体还好！', '短评打分': 5}
{'短评内容': '酒店交通方便，入住的海景房也较满意，楼层高，呵呵，不错。早餐也较丰富，', '短评打分': 5}
