{'短评内容': '周围交通不便，适合旅游，不适合赶车', '短评打分': 5}
{'短评内容': '酒店很有特色，环境优美，不错', '短评打分': 5}
{'短评内容': '管理不行了，其他都还好', '短评打分': 5}
{'短评内容': '房间很大，卫生间也很大，洗澡热水很舒服，早餐简单但是能吃饱，停车挺方便的，就是位置太偏僻了，导航指的路正修路走不进去，只能从旁边的小路进。', '短评打分': 5}
{'短评内容': '很不错的一个酒店,有浓都的地方文化特色，冬暖夏冷。早餐不错,适合带孩子。', '短评打分': 5}
{'短评内容': '毕竟有特色的酒店 ', '短评打分': 2}
{'短评内容': '环境太好了，非常喜欢的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，有内涵，窑洞住宿', '短评打分': 4}
{'短评内容': '距离三门峡南站比较近，由三门峡南站打车到酒店十来分钟，交通便利。但是酒店打车出门基本打不到车，酒店很偏僻在黄河边。偶尔碰到出租车起步价15元没得商量。滴滴基本搜不到。酒店旁边建公铁两用大桥隔断了酒店去往天鹅湖公园的路，大桥需要建五年时间。绕路去公园非常远，打车近二十元。天鹅湖公园确实不错。酒店早餐饭菜口味还可以。房间也有窑洞特色。牙膏很差。服务员不会微笑，也不会起立向客人打招呼，更不会鞠躬，没有经', '短评打分': 3}
{'短评内容': '一般，唯一的亮点是窑洞住宿。', '短评打分': 4}
{'短评内容': '一般，唯一的亮点是窑洞住宿。', '短评打分': 4}
{'短评内容': '有特色哦 适合休闲度假', '短评打分': 4}
{'短评内容': '相当不错，环境美，窑洞风格。离市区略远，旁边就是黄河，在房间就可以看黄河落日，晚上相当安静！', '短评打分': 5}
{'短评内容': '酒店地理位置不开车十分不方便，周边设施基本全无，就是看天鹅方便。洗澡水不错，wifi可以放弃。在酒店餐厅吃了晚饭，竹笋红烧肉还不错吃。', '短评打分': 4}
