{'短评内容': '每次出差就住祥城，环境好服务好，周边还有夜宵吃', '短评打分': 5}
{'短评内容': '有点脏……', '短评打分': 3}
{'短评内容': '早餐可以，停车方便，离食街近，不错', '短评打分': 5}
{'短评内容': '挺不错，卫生条件很好，房间没有味道，可以再来', '短评打分': 4}
{'短评内容': '地方不错', '短评打分': 5}
{'短评内容': '服务态度一般，希望改进，卫生总体可以，设施设备有点旧了，这个价格就是这样了，还算能接受吧！加油，早餐情况明早才懂，再评价！', '短评打分': 3}
{'短评内容': '还行而已啦', '短评打分': 3}
{'短评内容': '当地最好', '短评打分': 4}
{'短评内容': '最深的感受～交通方便～繁华～方便', '短评打分': 4}
{'短评内容': '环境好，早餐不错', '短评打分': 5}
{'短评内容': '酒店位于闹市区，是四星酒店，可是早餐时竟看见蟑螂在饮料区爬来爬去，卫生差评！房间灯光太暗，住进来感觉压抑！最受不了窗外传来广场跳舞的高分贝歌声，一直唱到10点多，让人无法睡觉！抓狂……', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置不错，在市中心（凭祥本来就很小），吃饭游玩购物都很方便。离美食街也就200米左右的路程，出去就是步行街购物广场。价格合适。推荐。', '短评打分': 4}
{'短评内容': '酒店位置不错，在市中心（凭祥本来就很小），吃饭游玩购物都很方便。离美食街也就200米左右的路程，出去就是步行街购物广场。价格合适。推荐。', '短评打分': 4}
{'短评内容': '酒店位置不错，周边饭店，大排档应有尽有，对于吃货来说，一定不要错过。就在附近邮政点附近，好吃的东西太多了。', '短评打分': 4}
