{'短评内容': '可以 还非常好', '短评打分': 5}
{'短评内容': '房间设施成旧', '短评打分': 3}
{'短评内容': '老板态度很好，周边设施很方便，性价比很高。', '短评打分': 5}
{'短评内容': '我订的是云天，到了领去旁边的酒店，听老板说是他的分店，这样做不太好，不诚实', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很方便，环境很好', '短评打分': 5}
{'短评内容': '太他妈差了，简直无语，墙是破的，床单也是破的，WiFi用不了，灯暗的受不了，毛巾就他妈一条！', '短评打分': 2}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '住很多次啦，不错。', '短评打分': 4}
{'短评内容': '卫生间马桶是坏的。淋雨喷头也是坏的。拖鞋不是一次性的。服务还可以，打扫卫生的和领我们住的妹子人还不错。', '短评打分': 3}
{'短评内容': 'Staff can not speak English. Near the train station, CNY 10 for taxi, but they always ask for CNY 30, you need to bargain. Clean room.  Have lot of rooms. I booked 4 rooms for me and friends here.', '短评打分': 4}
{'短评内容': '灰常一般了，条件没有想象的好阿！！！', '短评打分': 3}
{'短评内容': '回家住的这个地方 还算可以吧的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间小得掉渣，更本不值一百左右。定一次就没有兴趣在定了。', '短评打分': 3}
