{'短评内容': '早餐还行，品种不多，其他都还不错！', '短评打分': 5}
{'短评内容': '早餐很糟糕，真的', '短评打分': 3}
{'短评内容': '早餐能吃饱，就是品种有些单一了。', '短评打分': 5}
{'短评内容': '早餐真心不行啊', '短评打分': 3}
{'短评内容': '隔音不是太好', '短评打分': 3}
{'短评内容': '酒店管理和服务整体不错，服务人员态度很好，过程中有几个小问题也能及时给予解决，并提出有效的建议和方法，不错。', '短评打分': 5}
{'短评内容': '员工素质较高，服务态度也很好，看的出公司在这方面给予较多的投入和支持，整体较好，服务也周全，有问题及时解决', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，有问题及时帮助解决，并提出有效的解决方法，同行的朋友也给予很好的评价，可以信赖。', '短评打分': 5}
{'短评内容': '服务质量很不错，环境也挺好的，前台人员协调能力很强，处理事情能力和方法也很到位，朋友们可以来试试，值得推荐', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '早晨就一个人退房，有点儿慢啊！！', '短评打分': 4}
{'短评内容': '酒店不错，就是老了点', '短评打分': 5}
{'短评内容': '交通方便，吃饭方便，wifi信号强', '短评打分': 3}
{'短评内容': '设备陈旧，卫生很差，毛巾都漏洞了还在用', '短评打分': 3}
{'短评内容': '酒店设施不错，位置也很安静。。。。但是前台的服务要提高', '短评打分': 5}
{'短评内容': 'hai ke yi...捎旧了点，很安静', '短评打分': 5}
{'短评内容': '不够安静，房间还可以，空调不怎么制热，不够还算可以了在株洲', '短评打分': 5}
{'短评内容': '有点吵，不过价格合适。订的是双床怎么变大床了，到酒店又升价变双床', '短评打分': 5}
{'短评内容': '在株洲算还可以，但是服务态度一般，KTV太吵', '短评打分': 5}
{'短评内容': '最近由于酒店客人较多，服务有点跟不上，希望有改进。', '短评打分': 5}
{'短评内容': '临马路有点吵，但是高层声音小很多，更多的是火车汽笛的声音。其他都还好，早餐也不错，不过里面的毛巾真该换换了，别新的旧的一起放，差别很大滴。。。', '短评打分': 5}
{'短评内容': 'hao..................................................................', '短评打分': 5}
{'短评内容': '经常住 环境很好  洗澡间很大  服务态度也很好   ', '短评打分': 5}
{'短评内容': '条件不错，总体环境还行，就是退房比较慢，可能是住的人太多了吧', '短评打分': 5}
{'短评内容': '交通方便，性价比较高，本人比较满意，下次再住。', '短评打分': 5}
{'短评内容': '房间宽大，但设施一般，毛浴巾等陈旧，偏硬。\n早餐一般，地理位置一般。\n价格偏高。', '短评打分': 1}
{'短评内容': '位置好靠近市中心，房价含双早性价比还行，但服务很一般，酒店门口停车很麻烦，地下停车场大小，进出不方便。', '短评打分': 5}
{'短评内容': '设施尚可，性价比较好，但服务一般，停车很不方便。', '短评打分': 5}
{'短评内容': '感觉还不错，离车站也近，方便，约人也方便', '短评打分': 5}
{'短评内容': '株洲还就这家好一点，不过生意可能太好了，酒店服务态度有待改进。', '短评打分': 5}
{'短评内容': '酒店不错。', '短评打分': 3}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '下次入住还是希望能有电脑。这样出差就不用带电脑了，多方便啊。', '短评打分': 5}
{'短评内容': '非常不错的，离中心广场又近，会客也好，别人都知道', '短评打分': 5}
{'短评内容': '住过几次，这次感觉越来越差，（早餐里发现有死的小蟑螂很倒胃口），住14楼晚上还被楼下的KTV吵得睡不着，希望酒店管理加强，', '短评打分': 1}
{'短评内容': '性价比还是比较合适的，在株洲算略微贵些，老酒店。不过这边酒店内都不给一次性用品，比较麻烦些。', '短评打分': 5}
{'短评内容': '酒店各方面条件都还行，就是中央空调效果不是很好，温度降不来！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': ' 很好！酒店不错！', '短评打分': 3}
{'短评内容': '酒店卫生可以。就是酒店没有自身商务客户用车。', '短评打分': 3}
