{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这个价格，也就这样了', '短评打分': 3}
{'短评内容': '就是不知道打前台号码多少', '短评打分': 4}
{'短评内容': '这个价钱，还行吧', '短评打分': 3}
{'短评内容': '一般，隔音不好', '短评打分': 4}
{'短评内容': '条件还可以，就是没有窗户。', '短评打分': 5}
{'短评内容': '酒店不错，出行方便，旁边也有吃饭的地方，服务好，房间也比较干净，空调给力。就是不明白为什么我前面刚下了订单付了款，回头看马上又便宜了几块钱，不知道携程在搞什么鬼', '短评打分': 5}
{'短评内容': '很好很好，每次都住这里，出行方便，旁边有超市，房间也挺干净，服务也很好，每次过来这边都住这里，棒棒哒', '短评打分': 5}
{'短评内容': '很不错，性价比很高，出行很方便，可以停车，门口就是公交站台，每次出差到这边都住这里，app比前台订优惠更大', '短评打分': 5}
{'短评内容': '很满意，房间整洁服务好', '短评打分': 5}
{'短评内容': '希望酒店更新一下硬件，其他满意', '短评打分': 5}
{'短评内容': '可以，蛮好', '短评打分': 5}
{'短评内容': '卫生一般，电视坏。', '短评打分': 4}
{'短评内容': '非常满意，卫生、干净。', '短评打分': 3}
{'短评内容': '很好！！从荆州站下车之后 没有回家而是去了这家酒店，沙市人住沙市。。???', '短评打分': 5}
{'短评内容': '价格便宜，很经济！已经住过几次了', '短评打分': 5}
{'短评内容': '差。。。简直是差。。。不是一块手表的份上  我要骂人的。。。', '短评打分': 1}
