{'短评内容': '住了好几天。只能说是一般吧。周五周六来住很贵的,完全没有性价比。平常的价格还能接受。反正出差也不会要求太高。如果是休闲，绝对不会选择这种吧！', '短评打分': 4}
{'短评内容': '出差很方便哟。有停车', '短评打分': 5}
{'短评内容': '还可以啊！不错的哦！不错', '短评打分': 5}
{'短评内容': '临湖环境很好。停车位很多。附近就有沃尔玛。房内简洁干净。', '短评打分': 5}
{'短评内容': '酒店门口有停车场，停车很方便，边上有个沃尔玛超市，途中补点物品很方便，自驾车上高速很近～值得推荐～', '短评打分': 5}
{'短评内容': '锦江之星酒店干净整洁舒适卫生 服务态度很好', '短评打分': 5}
{'短评内容': '一般一般一般。', '短评打分': 5}
{'短评内容': '非常不错，舒适放心', '短评打分': 5}
{'短评内容': '不错  服务态度很好', '短评打分': 5}
{'短评内容': '还行吧，隔音不好，很吵，卫生间的门也是坏的，被子一个白色，一个洗黄了，隔音真的是差，', '短评打分': 5}
{'短评内容': '非常棒，订购结果很快短信通知。酒店也不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间连窗也没有，空调遥控器是固定的，好像只能开和关，不能调温度高低，淋浴房洗澡水是淹起来的，总之很差劲，再也不会去住了。', '短评打分': 3}
{'短评内容': '帮助朋友定的，位置可以，为了转天一早赶火车。总体来说性价比算可以得。房型和舒适度一般，适合过路赶路的人们，价格比较便宜。', '短评打分': 3}
{'短评内容': '还行，价格偏贵。', '短评打分': 4}
{'短评内容': '这家酒店还不错，就是房间隔音不好，晚上啪啪啪的声音太恐怖了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店卫生很干净，旁边环境也很好', '短评打分': 5}
{'短评内容': '干净，卫生，出差人士的首选入住酒店', '短评打分': 5}
{'短评内容': '常规', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '很好  很好  很好  很好  很好', '短评打分': 5}
{'短评内容': 't挺干净的，环境也不错，值得一住', '短评打分': 3}
{'短评内容': '挺好的很干净周边购物吃饭都很方便', '短评打分': 3}
{'短评内容': '也许刚从破烂的庐山民宿下来的缘故，入住酒店感觉实在太好，又干净又舒服，一大一小双床适合一家3口，窗外是南湖风景又好，旁边是麦当劳和沃尔玛，又方便，实在不错。', '短评打分': 5}
