{'短评内容': '干净程度还不错，设备有点破了。住着还行', '短评打分': 4}
{'短评内容': '有停车场吗', '短评打分': 4}
{'短评内容': '还好吧。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通便利，服务热情，值得入住。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还行吧，就是离铁道比较近！', '短评打分': 4}
{'短评内容': '非常好的酒店，交通非常方便，吃东西也很方便，非常干净，服务也非常好，热水非常快，非常适合短期出差，很棒', '短评打分': 5}
{'短评内容': '一般般吧，不过整体还是不错的', '短评打分': 3}
{'短评内容': '真心很不错的', '短评打分': 5}
{'短评内容': '老宾馆了，地理位置很好，房间该翻新了', '短评打分': 5}
{'短评内容': '离火车站步行8分钟左右，赶早上一大早的火车，很方便，房间基本设施配件都有，就是没有无线网。。手机党表示很难接受。离中央门奥特莱斯10分钟路程，晚上走去逛了逛街。整体不错，附近也有很多饭馆，小超市也很多。    ', '短评打分': 5}
{'短评内容': '非常糟糕，晚上被吵的睡不着觉。', '短评打分': 1}
{'短评内容': '还不错吧', '短评打分': 4}
