{'descr': '很干净，房间不大，楼下接待台挺不错的，周围环境也还可以', 'star': 5}
{'descr': '酒店很好', 'star': 5}
{'descr': '位置挺好的 酒店环境也不错', 'star': 5}
{'descr': '位置挺好的 也有停车位 附近很多吃的 房间环境也不错', 'star': 5}
{'descr': '酒店位置挺好的 也有停车位 附近也有很多吃的', 'star': 5}
{'descr': '酒店很不错', 'star': 5}
{'descr': '和朋友出差北京 定了两套房 我这一套有点儿霉味 不过我一男的自己睡到也无所谓 另外一套俩女孩睡的 整个房间全都是霉味和烟味 给前台打了两个电话 前台都只是说送空气清行剂来喷一喷 服务态度差一逼 最后起了争执才给换的房', 'star': 3}
{'descr': '主要是方便', 'star': 3}
{'descr': '服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶服务好 会员还送牛奶', 'star': 5}
{'descr': '不太满意的房间，卫生间会有漏水，卫生间门都是没有的', 'star': 4}
{'descr': '离地铁站很近 出行方便', 'star': 4}
{'descr': '可以哦，离后海近。', 'star': 5}
{'descr': '挺好的 房间虽然不是很大 但很舒服  周围也很方便 离地铁站近', 'star': 5}
{'descr': '位置挺好的，不错。我房间的花洒很差啊', 'star': 5}
{'descr': '整体服务非常好，就是干净卫生一般', 'star': 5}
{'descr': '价格实惠，卫生干净。设施一般，电脑桌上没电脑', 'star': 4}
{'descr': '房间小，通风差，地理位置不错。', 'star': 3}
