{'短评内容': '电视放不了而已，其他没什么问题', '短评打分': 4}
{'短评内容': '酒店环境还可以 就是隔音很差', '短评打分': 4}
{'短评内容': '位置好，安全', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '帮别人定的，酒店一般般，', '短评打分': 4}
{'短评内容': '服务态度很好，很满意，住宿环境也不错，值得去，周边很多外国人，物流，总体满意', '短评打分': 5}
{'短评内容': '很好，离哪里都很近', '短评打分': 5}
{'短评内容': '客服态度很好，办理入住手续也很快，房间也还可以。', '短评打分': 5}
{'短评内容': '价格实惠，安静舒适，整洁卫生，服务态度很好，值得入住', '短评打分': 5}
{'短评内容': '太偏僻', '短评打分': 3}
{'短评内容': '安静，', '短评打分': 5}
{'短评内容': '位置不好，在火车站的站前路胡同里，周围都是做生意的阿拉伯人，下榻的这个宾馆卫生差，住了一晚赶快换到条件好一些的了。宾馆的早餐也在外面，我们想也好不了就没去吃！住在这个宾馆有种不安全感！', '短评打分': 1}
{'短评内容': '酒店房间虽小点，不过还比较干净，我们每次出差到广州都住这里。', '短评打分': 5}
{'短评内容': '酒店房间虽小点，不过还比较干净，下次有机会还会选择住这里。', '短评打分': 5}
{'短评内容': '不用多说 5颗星 每次必住 真心不错', '短评打分': 5}
{'短评内容': '每次必住，地理位置方便，价钱合理，网又快，很喜欢，服务周到，很不错，推荐大家出门久的各方面性价比高。', '短评打分': 5}
{'短评内容': '总体比较满意，如有机会还会再去入住的！酒店的服务态度也非常好，赞！', '短评打分': 5}
{'短评内容': '环境条件一般环境条件一般环境条件一般环境条件一般环境条件一般ak', '短评打分': 1}
{'短评内容': '环境条件一般环境条件一般环境条件一般环境条件一般环境条件一般', '短评打分': 1}
{'短评内容': '除了房间稍稍小点，地点有的难找，其他的都不错.有机会还是会再次入住。', '短评打分': 5}
{'短评内容': '环境不错，房间就是有点小，挺干净。建议在出口马路边上在有一个酒店广告牌就更好了，方便人找。', '短评打分': 5}
{'短评内容': ' 泰祥商务酒店入住感觉设施价位绝对超值，交通很方便。', '短评打分': 3}
{'短评内容': '环境条件一般', '短评打分': 3}
{'短评内容': '还不错~~~无功无过~~就是在广交会期间酒店都不太好定呢~~~', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店不是很好找，离火车站、省汽车站不算太远，还算方便。', '短评打分': 5}
{'短评内容': '不怎样', '短评打分': 3}
{'短评内容': '设施已经很陈旧了，性价比差太远了，附近卖一百多元的房还比这好！感觉房价卖248元在那种位置是太高了！e-龙代卖这样的性价比房间，就不担心自个也受影响吗？服务态度的确很好！这是值得赞扬的！', '短评打分': 1}
{'短评内容': '还行，位置不太好找', '短评打分': 5}
{'短评内容': '是一家能给你带来惊喜的酒店，各方面都不错。', '短评打分': 5}
{'短评内容': '酒店的服务人员态度很友好， 酒店的卫生状况也不错， 美中不足的就是房间太小了!', '短评打分': 5}
{'短评内容': '价格优惠，交通方便，离火车站很近，而却国内长途免费打，网络免费用', '短评打分': 5}
{'短评内容': '位置也不好找，房间的卫生设施还可以，价格还是稍微偏高了一些，服务还行。', '短评打分': 5}
{'短评内容': '酒店位置很不错\r\n可是房间太小\r\n一进去觉得很压抑', '短评打分': 5}
{'短评内容': '位置有些偏比较难找好像是在一个小巷子里，标志物不是很明显，卫生设施都还不错的，价格也还可以。', '短评打分': 1}
{'短评内容': '卫生和硬件条件比较达标.位置就略显不足啦，对于我办事的地点比较远一些，其它各方面都不错.', '短评打分': 5}
{'短评内容': '卫生倒是还可以但是周围的环境有些乱，服务特别好，酒店干净还是挺干净但是房间设施比较简单感觉空空的，位置也不是很好找，价格倒是可以然后我觉得酒店服务真的是挺好的，整体感觉还是挺不错的。', '短评打分': 5}
{'短评内容': '内部环境不是好，卫生间和房间都很小，位置离火车站大概一公里左右，价格也很高，一点都不好。', '短评打分': 1}
{'短评内容': '虽然靠近火车站，但是酒店位置不好找，在一条巷子里面。胜在酒店设施很新，前台服务人员也很热心，舒适度比较好。', '短评打分': 5}
{'短评内容': '房间面积有些小，其他都很不错，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店在小巷子里，很不好找，设施一般，服务还可以，性价比一般。', '短评打分': 1}
{'短评内容': '很一般的酒店，应该是刚装修完的，设施还可以，卫生一般，服务还可以，性价比还成。', '短评打分': 5}
