{'短评内容': '老板人很好，菜也好吃', '短评打分': 4}
{'短评内容': '酒店位置很好，在景区内，离贡嘎神汤温泉开车5分钟可以到，老板很和气、代订了温泉票，票价比景区更便宜，晚餐是老板娘煮的，菜很好吃，价格很实惠，晚上赏月景色美极了', '短评打分': 5}
{'短评内容': '交通方便，老板及老板娘服务周到，住宿干净，好评。', '短评打分': 5}
{'短评内容': '有3人间，有早餐', '短评打分': 4}
{'短评内容': '不错，旅馆饭菜很好吃，不过因为是木屋，隔音效果不是特别好，其它方面都很不错，老板也很热心，送我们去温泉地点和回镇上', '短评打分': 5}
{'短评内容': '在景区的村里住的，木屋人家，老板人很好，我们坐专线旅游大巴到磨西镇，老板亲自车接我们上山，还帮我们订好景区门票车票，如果想泡温泉，老板也会亲自送去，房间住着挺温馨，第二天还如愿看到贡嘎雪山，抱着疲惫，回到木屋，冲了个热水澡，立马舒服多了，傍晚在景区散散步，不得不提，老板妈妈做得饭菜很合胃口，山里的食材很是可口，最忘不了那个豌豆苗鸡蛋汤，香！', '短评打分': 5}
{'短评内容': '还不错吧 总的来说老板娘都挺热情的 因为淡季所以不贵，其他都没什么。就是饭菜太贵了！ 一份腊肉48元 一顿饭80 早知道该去镇上吃饭', '短评打分': 5}
{'短评内容': '没风景的，骗人', '短评打分': 4}
{'短评内容': '还好吧？一般', '短评打分': 5}
{'短评内容': '停电！停电！停电！作为在都市生活习惯的人，面对没有电的生活是很难适应的。安静得只听见妈妈在给孩子哼着摇篮曲……', '短评打分': 4}
{'短评内容': '老板服务周到 很热情 开车接送 饭菜可口 好评', '短评打分': 5}
{'短评内容': '老板人很好，家里做的菜很好吃', '短评打分': 5}
{'短评内容': '老板很不错、客栈很干净！', '短评打分': 3}
{'短评内容': '一家三口出行，订的是三人间，房间实施简陋，床单感觉没换，看起来是脏的，卫生间热水也不给力，全家和衣入睡。不过晚上的烤鸡味道还不错，老板还是比较热情，早上还带我们去拍日照金山，虽然云多没拍到。', '短评打分': 3}
{'短评内容': '非常不错的酒店，4人出行住的套间，两个卧室+一个小客厅，非常惬意。最关键的是，在景区内，酒店可以代买门票和巴士票，可以赶上第一班进景区的车，如果天气好，能赶在游客最多钱，先登顶4号营地，看日照冰川~', '短评打分': 3}
