{'短评内容': '好东西，大品牌，值得信赖。', '短评打分': 5}
{'短评内容': '除了位置好，设施非常差，房卡莫名其妙的不能通电，洗脸池还没有热水。', '短评打分': 3}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '房间很好 很干净 服务人员态度很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境挺好！？！！！！', '短评打分': 5}
{'短评内容': '离外滩很近，离地铁也很近。就是特惠房小了点，过路人住住还好。', '短评打分': 5}
{'短评内容': '环境很好，位置很好，干净，卫生，很不错！', '短评打分': 5}
{'短评内容': '。服务还好，有需要会帮助你', '短评打分': 3}
{'短评内容': '房间里比较破，尤其不隔音，隔壁烧水都能听见', '短评打分': 3}
{'短评内容': '经济，点好。', '短评打分': 4}
{'短评内容': '价格核实，离西湖很近，周边很方便', '短评打分': 5}
{'短评内容': '交通方便，游西湖很方便', '短评打分': 5}
{'短评内容': '在西湖边上，地理位置好，但是一点也不隔音，一晚上都能听到有人说话。', '短评打分': 4}
{'短评内容': '离西湖近', '短评打分': 4}
{'短评内容': '离西湖很近,一不小心就逛到了', '短评打分': 5}
{'短评内容': '离西湖特别近，早上可以去西湖逛逛', '短评打分': 4}
{'短评内容': '离西湖近，交通方便！！！', '短评打分': 5}
{'短评内容': '环境不用说，西湖边。已第二次入住，感觉不错。', '短评打分': 3}
{'短评内容': '地理位置非常棒，对面就是西湖，对面就是公交车站，去哪里都很方便；而且吃饭也很好，去外婆家，绿茶还有其他一些地方步行就可以，非常好的地方~而且着建筑本身还是文物古迹~房间本身也比较干净，各种设施都很齐全，非常推荐！', '短评打分': 5}
