{'descr': '不错………………', 'star': 5}
{'descr': '以后这个价位就这样吧，睡觉不敢脱衣服，太脏太潮湿', 'star': 2}
{'descr': '脏乱差不过分吧笑得很的一个', 'star': 1}
{'descr': '经济实惠…………………', 'star': 5}
{'descr': '不错，价格合理', 'star': 5}
{'descr': '哦丁基橡胶都不到你的惊喜可是看看大家都觉得', 'star': 3}
{'descr': '交通方便，价位低，性价比比较高，没有窗户，要求比较高的就算了，我总体满意。', 'star': 5}
{'descr': '挺好的，，环境不错，积极推荐', 'star': 3}
{'descr': '价格好，服务不错，可以长期选择的地方！', 'star': 3}
{'descr': '对得起这个价，可以去，', 'star': 3}
{'descr': '隔音不太好。', 'star': 3}
{'descr': '挺大的房间，卫生也不错。', 'star': 5}
{'descr': '酒店不错，下次还来', 'star': 3}
{'descr': '服务热情周到，多次入住好像住了接近一个半月了，从前台到打扫房间阿姨都很好。', 'star': 5}
{'descr': '交通方便，环境不错，卫生很好。就是房间隔音不好。', 'star': 5}
{'descr': '酒店环境挺好的，很干净很舒服，性价比很高', 'star': 3}
{'descr': '很干净，住着也很舒服。就是前台登记时就一个工作人员，人太多，等的时间挺长的。', 'star': 5}
{'descr': '挺不错的一家。。就是内部环境还有待提高。。。 挺舒服的酒店。。。下次还会来', 'star': 5}
{'descr': '太让人失望了，简直就是 黑店。进大厅时，感觉非常冷清，当时觉得不错，安静。进屋一看，太小了，而且除了一个小小的桌子，没地方放包；再进入卫生间，小而且有点不干净，还有头发。退房时要加钱，床单明明不是自己弄脏的，非说要多付10元清洗费，而且查房的竟然是 一位五十多岁的老爷爷，穿着保安制服。（没有专业工作人员吗？）不是赶火车，一定非要他理论，更让人无法接受的，那位老爷爷还说，每天经常有这样的客人（这话言', 'star': 1}
{'descr': '总的来说这家酒店是不错的，第一、服务比较好，前台待人比较热情客气，有一次我一边打电话一边退房，填完押金单就走了，忘了拿押金，后来走到半路想起来了，酒店的前台还是退给我了，第二次把钱落在了床上，我在办理退房，人家服务员把钱交到我的手中，是比较感动的；第二、房间、床都是比较大的（相对于同价位的酒店）。不过呢也有不足之处，地理位置相对来说比较偏，不在主干道上，还有就是房间隔音效果不是很好。', 'star': 5}
{'descr': '酒店还可以，卫生比较干净，就是房间有点小。', 'star': 3}
{'descr': '酒店服务态度不错，环境可以', 'star': 3}
{'descr': '.很不错，已经住了好多次了，方便，就是位置不太好找', 'star': 3}
{'descr': '服务态度恶劣。我没有使用的东西被人拆封，并且要收费，经理不给解决问题，还非说是我自己拆的。简直让人无法忍受！！！', 'star': 1}
{'descr': '天津津门之星快捷酒店（长虹公园店）很干净 ，服务态度很好', 'star': 5}
{'descr': '将就，酒店里面味道比较重，感觉不值啊，而且团购更便宜！', 'star': 1}
{'descr': '比较不错，来天津一直住这里', 'star': 3}
{'descr': '太吵，走道声音超大.还有就是卫生不是很干净.', 'star': 1}
{'descr': '相对较方便，来天津都住这的。感觉还好，就是隔音太差。', 'star': 5}
{'descr': '挺不错的,虽然不在市中心,但是交通比较便利,就是附近饭店不多', 'star': 3}
{'descr': '服务挺好，也挺大的，就是觉得位置不太好，还有就是刷牙用的杯子很脏。', 'star': 5}
{'descr': '总的来说还可以 ，就是房间太小了', 'star': 3}
{'descr': '房间很好', 'star': 3}
{'descr': '环境不错，设施齐全，床很大很舒服。。。', 'star': 3}
{'descr': '不错，就是真的隔音效果太差，楼道里老有来回跑的', 'star': 5}
{'descr': ' 酒店很干净，服务也到位', 'star': 3}
{'descr': '我们刚开始订了一间房，后面临时电话加订了一间，我们住在3楼，貌似这家酒店跟99什么的合作，环境挺好的，床挺大的，空调、电视、写字台、网线等基本设备都有，被子不是白色的，有点温馨，不过没吹风机，柜台的办事速度很慢。', 'star': 5}
{'descr': '酒店还算干净，价格比较便宜，隔音不是太好，还有就是特价房不给开发票！', 'star': 5}
{'descr': '酒店环境不错！就是在入住的时候实在等太长时间了！', 'star': 5}
{'descr': '房间比较小，没有窗户，性价比一般，地理位置比较偏，晚上找个吃饭的地难，以后再说了！', 'star': 1}
{'descr': '什么情况？早定好的房间，准时到店后要住第二天加价，房型还和之前订的明明是一样的', 'star': 1}
{'descr': '我又来了，哈哈，房间比我想象中要好很多，舒服，性价比高，出差在这的首选。', 'star': 5}
{'descr': '房间小了一点，卫生间没有洗面台，凑合，其他还行吧，希望应该更正规一点。。。。。。', 'star': 5}
{'descr': '不错，下次还准备选。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '挺实惠的，就是位置不太好找。设施还可以，只要不洗澡的话', 'star': 5}
{'descr': '因为没有特价间，填了9块钱换了别的房。价格便宜，干净，隔音一般，去坐到首都机场的大巴非常方便！', 'star': 5}
{'descr': '酒店还是不错的，房间很舒适，性价比较高。', 'star': 5}
{'descr': '性价比相对还可以，网速也不错，下次还会考虑再住，交通方便。', 'star': 5}
{'descr': '酒店很干净，服务态度也很好，真的很实惠', 'star': 3}
{'descr': '入住速度比较快，就是位置有点偏僻。房间之间的隔音效果差，卫生还不错。', 'star': 3}
{'descr': '非常好，环境不错', 'star': 3}
{'descr': '住的还是不错，房间也算干净，性价比还可以，下次还来', 'star': 5}
{'descr': '提早预定，但是到达时说人家不退房，改了别的房间，以后预定看来是没用', 'star': 3}
{'descr': '房间很安静,淋浴不是很舒服', 'star': 3}
{'descr': '服务和价位都还可以，总体来说还不错，只是吃饭的地方比较少', 'star': 5}
{'descr': '环境不错，交通便利，服务满意，下次还会选这家酒店。', 'star': 5}
{'descr': '环境不错，交通便利，服务满意，关键还配备了网线，很高兴，下次还会选这家酒店。', 'star': 5}
{'descr': '空调开启后杂音太大，电视只能收看30来个频道，而且电视机图像质量太差,没有一次性脱鞋，提供的饮水机的纯净水不知道，已经放了多久没有换，卫生间洗脸盆的下水很糟糕，半天不下水，不知道是不是哪段管子堵塞造成的！还有就是隔音效果一般！', 'star': 5}
{'descr': '酒店位置不错 宽带速度也还行 不足是卫生不好 房间隔音差', 'star': 5}
{'descr': '每次去天津都会住那，公交挺方便的，服务还行，价格也不错，就是晚上会没热水有点小郁闷。', 'star': 5}
{'descr': '不错的房间环境，我喜欢，毕竟价钱也在那呢。', 'star': 5}
{'descr': '价格适中，就是位置有点偏，不太好找，周围没有什么吃饭的地方！', 'star': 5}
{'descr': '住着不错，也挺暖和，干净，但是隔音效果不是很好，也许是挑选的房间位置的问题吧，总体还是很好的。', 'star': 3}
{'descr': '屋里很冷，开了1个多小时的空调也暖和不起来，不知道是不是屋里门窗不严实透风，弄得我还以为是空调快了呢。拖鞋让我很无语，对于专业点的快捷酒店，居然不是一次性拖鞋。我看到拖鞋直接想到诚基的日租房。还有借吹风机要押金，我不能说这样不合理，但是我去过的很多酒店几乎都没要过押金，毕竟入住的时候就已经交了押金的。住在里面很不温馨。138的价格，没有性价比可言。', 'star': 1}
{'descr': '房间环境还不错，有排风扇，房间里不会有异味，就是房间小了一点，网络速度不给力，其他的都还行，卫生很好这个很重要。下次来还会住这里。', 'star': 5}
{'descr': '挺好的性价比,美中不足不能刷信用卡，搞不清为什么?发票忘了开,下次去能补吗?', 'star': 3}
{'descr': '订了两间，另一间到的时候居然说没房了。都提前预定了，店家不讲信用。', 'star': 5}
{'descr': '酒店很不错，就是前台的人态度比较垃圾，整体值得推荐', 'star': 5}
{'descr': '网上订了特价房，到酒店给我客满说没房了，后来加了钱到标间，还不是大床，不靠谱啊', 'star': 3}
{'descr': '酒店环境很不错，房间小了一点，但是该有的都有了。周边没有吃饭的地方，只有一家土菜馆，一个人去吃很不划算，因为菜的量很足，太足了。。。总体还是很不错的，下次来还会住。', 'star': 5}
{'descr': '环境很好  就是吃饭的地方少了点  不过物有所值啦', 'star': 3}
{'descr': '感觉还是不错的哦，有机会还会再去的,挺安静的\n', 'star': 5}
{'descr': '干净卫生、非常安静、交通方便、就是热水时间不长，得抓紧时间洗澡，否则就会冲凉水了。总的来说性价比不错，下次还会入住。', 'star': 5}
{'descr': '很好的酒店，公交很方便，前台服务态度也很好，价格适中，房间很整洁，而且每天都会打扫，就是其中有一天没有叠被子，入住感觉良好，价格不变的话下次还会选择这家。', 'star': 5}
{'descr': '每次入住感觉都还可以，没有什么不好的地方，停车也算方便。', 'star': 5}
{'descr': '酒店位置还比较好找，住的无窗房，虽然房间比较小，但是价格非常实惠。', 'star': 5}
{'descr': '木有暖气。只有空调。', 'star': 3}
{'descr': '价格便宜，物有所值。就是位置比较偏一点。', 'star': 5}
{'descr': '酒店位于南开区红旗路长虹公园对面的一个小巷渭水道里，进去还要走一段。周围都是一些五金厂，环境不太好，而且感觉没什么吃饭购物的地方。前台服务态度还有待改进。房间比较冷，没有暖气，需要开暖空调才能过夜。其他的都还勉强，凑合过一夜。', 'star': 5}
{'descr': '卫生还可，就是太冷了！性价比还不错！', 'star': 3}
{'descr': '很舒服的酒店哈', 'star': 3}
{'descr': '总起来说挺好的 服务也还可以 其实房间的被子觉得不是那么干净 有头发  ', 'star': 5}
{'descr': '本来应该挺安静的地段，但不知道是其他房客还是附近有KTV，凌晨三点还歌声不断，着实让人怄火。', 'star': 3}
{'descr': '挺好的，就是有时候热水不是太充足，洗了一会木有了~~其他都不错', 'star': 5}
{'descr': '还不错，空调有一点不给力，其他各方面都还不错~~', 'star': 5}
{'descr': '好！有空再来，就是热水会用着用着没有！', 'star': 3}
{'descr': '酒店很干净，环境很好，服务也不错会向朋友推荐', 'star': 5}
{'descr': '比较实惠的，就是周围好像不是很繁华，但是挺安静的', 'star': 5}
{'descr': '前台的服务特别差劲，里面的拖鞋竟然是两双很小的拖鞋，只有36码左右，旁边都是钢材铺，吃饭的地方就一家家常菜馆，很难找，楼下只有一个小超市，大一些的超市根本就没有，退房的话，必须是12点之前，晚一分钟都不行，一点都不人道，空调的效果也不好，如果不是找不到住的地方，死活也不住那，以后再也不会去了，尤其是看不了前台那丑恶的嘴脸', 'star': 1}
{'descr': '总体来说挺好的，房间挺大，价格合理~再来天津还会选择这里~', 'star': 5}
{'descr': '价格还行，所以毛巾几乎是黑的，不知道有没有洗过', 'star': 5}
{'descr': '酒店环境不错，很满意热水的供应，不过很期待前台的服务可以热情点……', 'star': 5}
{'descr': '这酒店的服务员和店长的服务态度不是一般的差！', 'star': 1}
{'descr': '环境还可以，就是洗澡的热水不是很多，洗久了水就凉了，不能上网', 'star': 5}
{'descr': '酒店挺安静的，服务态度也挺好的，价格实惠，周边也有超市，购物方便', 'star': 5}
{'descr': '  不错房间很干净,价格很实惠', 'star': 3}
{'descr': '环境不错。服务员态度一般。总体来讲很实惠。', 'star': 5}
{'descr': '这店环境可行。不过希望服务人员态度好一点。谢谢。我有空再来！！', 'star': 5}
{'descr': '不错的。价格合理  就是有点冷 而且热水有时候会没有。', 'star': 5}
{'descr': '该酒店住宿条件尚可，服务到位，服务态度和蔼可亲，我会继续给其他朋友推荐津门之星的。', 'star': 5}
{'descr': ' 我觉得很值这个价位，还不错。就是位置有点靠里.', 'star': 3}
{'descr': '房间光线有点暗，室内空调不够暖，晚上洗澡的热水不够，唯独价位还是划算的。', 'star': 5}
{'descr': '房间隔音不错，空调制热，有点干，不是很舒服。\n和价位相比，就还算可以的。', 'star': 1}
{'descr': '价格便宜，不过位置有点偏，还是物有所值吧', 'star': 5}
{'descr': ' 交通方便，房间还可以，总体还是很不错的。', 'star': 3}
{'descr': '没有暖气，有点冷！床单没换，有点脏。价格还是合理。。。', 'star': 5}
{'descr': '挺好的 挺干净的  也比较便宜吧  总起来还可以的呢  只是我忘记用消费券了 很不爽啊 ', 'star': 5}
{'descr': '第一次住，还不错', 'star': 3}
{'descr': '酒店比较新，环境设施不错，但电视节目少一些，卫生间水压有时不稳，拖鞋不是一次性的，总体感觉不错，价格很实惠下次还会选择。', 'star': 5}
{'descr': '没有一次性拖鞋、暖气，不能刷卡，隔音不怎么好，空调制热效果差，干净、整洁、价位合理', 'star': 3}
{'descr': '干净整齐,环境还行,用品齐全,有网线就是还得自己带电脑,性价比还是不错的', 'star': 5}
{'descr': '房间挺不错的 挺干净的 设施也比较齐全 总体来说 很满意 呵呵', 'star': 5}
{'descr': '还行，环境挺好的，就是电视效果不太好，频道太少', 'star': 5}
{'descr': '环境不错，还便宜，好评', 'star': 3}
