{'短评内容': '挺干净的，比较满意', '短评打分': 5}
{'短评内容': '还不错，挺干净的', '短评打分': 5}
{'短评内容': '常住的酒店，总体感觉很不错，地理位置好，附近吃饭、购物都方便，干净卫生，尤其觉得早餐很不错，特别适合个人口味，服务态度也很好，只是洗脸池下水太慢很不方便。', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '早餐丰富，能加床，适合带孩子，位于王城公园附近，有停车位！', '短评打分': 5}
{'短评内容': '房间不错，有三张床，卫生间有点小，热水有点不足！', '短评打分': 5}
{'短评内容': '前两天出差住的，用的是白条网上支付。虽然过程有点曲折。到最后问题还是完美解决！房间环境一流，很舒服！不满意的地方就是房间WiFi 根本不能用。我已在宾馆留言簿上反馈意见，希望能引起商家重视！', '短评打分': 3}
{'短评内容': '老牌的酒店，价格相对实惠。', '短评打分': 5}
{'短评内容': '不错，可以', '短评打分': 5}
{'短评内容': '购买服务商不错，就是酒店前台好像不愿接待我们样子，可能因为生意好吧！', '短评打分': 5}
{'短评内容': '性价比很高的酒店', '短评打分': 5}
{'短评内容': '性价比很高的酒店', '短评打分': 5}
{'短评内容': '早餐差', '短评打分': 4}
{'短评内容': '就是早餐差', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '已多次入住，只能算一般吧', '短评打分': 3}
{'短评内容': '网络不稳定 服务还可以', '短评打分': 4}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '老四星酒店，房间设施比较老了，但服务还不错。', '短评打分': 4}
{'短评内容': '房间打扫的不干净，而且装修太老了', '短评打分': 3}
{'短评内容': '很方便，并且实惠', '短评打分': 3}
{'短评内容': '这是家老酒店，正因为老，服务上做得不错，早餐相当丰富，好吃。位置也好，出门就能打到车，离王城公园不远，唯一不足就是房间小了点，临街的房间虽然已经十几层高了，但一大早还是会吵醒。想吃酒店的午茶的，正碰上公司聚会，吵吵闹闹的，也没吃成，这是个遗憾。下次还会选这家酒店的。', '短评打分': 5}
{'短评内容': '酒店环境不错，干净卫生，地处市中心，交通便利，办事旅游都方便', '短评打分': 3}
{'短评内容': '卫生不错，地点也很好，就是宾馆总有骚扰电话，希望改进', '短评打分': 5}
{'短评内容': '已经入住还可以不错！\r\n杨净', '短评打分': 3}
{'短评内容': '还不错，餐厅自助挺丰盛，要是价格能再便宜点就好了', '短评打分': 3}
{'短评内容': '酒店设施还行，只是酒店卫生间味道好大，有点让人受不了。', '短评打分': 5}
{'短评内容': '性价比还不错，特价房 含早餐，比想象中的种类多，有吐司培根胡辣汤，质量一般般。新装修过，所以还不错。', '短评打分': 5}
{'短评内容': '不错，交通方便，离王城公园近，还行。但是卫生间有味道。', '短评打分': 5}
{'短评内容': '   还行吧,地理位置还可以.下次应该还会住.就是卫生间里有些味道,让人不舒服.', '短评打分': 1}
{'短评内容': '  主要是要在晚上去王城公园看灯会,所以才会入住这家酒店,就是有些旧了.', '短评打分': 5}
{'短评内容': '   还可以吧,就卫生间里味道有些大.服务也还可以吧,', '短评打分': 5}
{'短评内容': '酒店卫生、服务还可以，但是硬件有点旧了，该更换硬件了。因为酒店离中石化洛阳设计院很近，所以住在那里。', '短评打分': 1}
{'短评内容': '酒店服务还不错，但是硬件有点旧了，该重新装修了。离中石化洛阳设计院很近，所以住在那里。', '短评打分': 1}
{'短评内容': '地理位置不错  就在市中心  内部环境不错  服务也很好', '短评打分': 5}
{'短评内容': '酒店位置非常好，到洛阳院办事的朋友会比较感兴趣，早餐很丰富，推荐一下', '短评打分': 5}
{'短评内容': '极端不推荐，这个算什么四星，我觉得连三星都没吧，浴室浸水到脚踝，还流到外面去了，这样的房间都给客人。网线也有问题。', '短评打分': 1}
{'短评内容': '酒店不错，性价比很好.四星级酒店大堂很不错.洗手间需要认真修改一下.洗澡间会漏水到外面的.', '短评打分': 3}
{'短评内容': '很一般，房间味道不好，设备陈旧', '短评打分': 3}
{'短评内容': '酒店位置很好，房间也很暖和，早餐也还可以，下次来洛阳还会再住这家酒店的。', '短评打分': 5}
{'短评内容': '老公和朋友住的，说是老四星，虽然有点旧，但他们很满意！', '短评打分': 5}
{'短评内容': '酒店很老，而且服务也跟不上，在4星级酒店里算差得了。大部分是来洛阳旅游的老外团队入住，对商务出行而言，性价比不好', '短评打分': 1}
{'短评内容': '因为离客户比较近，所以选择这家酒店。二楼餐厅服务太差了，等菜需要很长时间', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，房间面积也很小， 酒店需要重新装修。外国客人不少，说明人气可以。早餐种类也很少，一点不像西餐厅。\n', '短评打分': 5}
{'短评内容': '客房环境一块般还是四星的失望\n张江波', '短评打分': 3}
{'短评内容': '床很硬， 卫生一般。 但早点还可以！！                                                        服务还成', '短评打分': 1}
{'短评内容': '周围很繁华，很有中原气息，停车也很方便，房间里边住着还算可以，因为毕竟是老酒店了，很有特色。但是前台人有点少，高峰时忙不过来。还有我进门时背着两个大包，门童竟然视而不见。起码推过行李车总应该的吧', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，房间面积也很小，388的价格和房间的硬件不成正比.酒店需要重新装修。早餐种类也很少，一点不像西餐厅。', '短评打分': 1}
{'短评内容': '酒店位置不错，但房价陈旧，霉味很重。下次不会再住。', '短评打分': 1}
{'短评内容': '商务大床房 性价比还不错 房间宽敞 干净 安静 服务也不错 总体评价还不错 推荐~\n', '短评打分': 5}
{'短评内容': '主要是方便，快捷，地点很好，适合商旅，价格也很便宜', '短评打分': 5}
{'短评内容': '环境还可以，房间太老，交通方便，如果去设计院的话，还算比较方便。', '短评打分': 1}
{'短评内容': '好！还可以。不错的酒店。早餐不如以前好了，应该改进。', '短评打分': 5}
{'短评内容': '打扫卫生的阿姨不经允许就进房。其他还行。早餐花样挺多，质量很一般。\n', '短评打分': 5}
{'短评内容': ' 酒店位置可以，环境也好，就是有点旧', '短评打分': 3}
{'短评内容': '替外宾订的，跟我反映还不错。有面子噢！希望继续改善、继续努力。。。', '短评打分': 5}
{'短评内容': '服务态度不错 就是设施有点老化 房间空调不太好', '短评打分': 5}
{'短评内容': '离出差地方很近，就是自助餐不怎么样，希望能够改进餐厅。', '短评打分': 5}
{'短评内容': '还不错 ， 以后会考虑再来住住看.早饭品种要多些更好', '短评打分': 5}
{'短评内容': '酒店很老，设备陈旧，电视小，床也小，空调噪音太大。', '短评打分': 1}
{'短评内容': '就在LPEC的两个办公楼之间，办事方便。但早餐总是凉的\n', '短评打分': 5}
