{'短评内容': '性价比不差', '短评打分': 5}
{'短评内容': '挺好的宾馆，方便价格时实惠', '短评打分': 5}
{'短评内容': '大家都说300块以下在帝都只能住旅馆，现在看这个宾馆比旅馆好多了，前面几十米处楼下有很多炒饼、炒面等地摊，这个不错；楼梯不刷卡还上不去，增加了一点安全感；还有早餐，比若干没有早餐的快捷连锁好多了！', '短评打分': 4}
{'短评内容': '离我办事的地方近，服务也还ok.周围吃的地方不多，老城区嘛，就是这样。总的来说适合商务出差，便捷，方便，性价比高。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般的宾馆，还可以吧', '短评打分': 3}
{'短评内容': '性价比一般', '短评打分': 3}
{'短评内容': '前台小姐態度之差，可以說是前無僅有的', '短评打分': 3}
{'短评内容': '就一晚上，为了离办事地方近又不想多花钱，选择了这里，一分钱一分货的道理大家都知道，不能和商务快捷酒店比，所以不要有很高的期待，离地铁近，来去方便，周边比较乱，地方还算好找吧，有指示牌，要是晚上来的话就得仔细留意了。', '短评打分': 4}
{'短评内容': '酒店在十里河古玩市场 周围吃的不多，宾馆环境很老了，由于很多市场在旁边，所以感觉有点乱，黑车很多，拥挤', '短评打分': 5}
{'短评内容': '服务很好，卫生也不错', '短评打分': 5}
{'短评内容': '服务员态度奇差，住店等了将近一个多小时！！！不给协调不给联系艺龙。。。只能客户自己一遍一遍打电话。', '短评打分': 3}
{'短评内容': '太TM次了', '短评打分': 1}
{'短评内容': '房间有异味，早餐很差，无线很烂，就这么些吧', '短评打分': 3}
{'短评内容': '实在太一般', '短评打分': 5}
{'短评内容': '   入住出虹昱铭宾馆715', '短评打分': 3}
{'短评内容': '酒店设施很会面，很高档，出行方便，公车和地铁都有。酒店环境好，服务也不错，下次还来。', '短评打分': 5}
{'短评内容': '环保还行，可以住', '短评打分': 3}
{'短评内容': '酒店比快捷要高级点，但是地点比较偏，打车不是很方便！', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '下次肯定不会住的，客服还说是按照4星标准建的呢，就是一招待所级别的，房间很恐怖，服务态度更别提了，好像谁欠他们钱似的', '短评打分': 1}
{'短评内容': '环静不错，就是空调不是太好。', '短评打分': 3}
{'短评内容': '性价比一般~环境不是很好~卫生设施都不是很满意~', '短评打分': 1}
{'短评内容': '价格便宜', '短评打分': 3}
{'短评内容': '不错，比较满意', '短评打分': 3}
{'短评内容': '地方比较难找，环境一般，周边没有什么商业', '短评打分': 1}
{'短评内容': '十我前天入住该酒店，很差，不够星级标淮。', '短评打分': 3}
{'短评内容': '房间可以，就是没有找到托鞋，', '短评打分': 3}
{'短评内容': '酒店房间比较小', '短评打分': 3}
{'短评内容': '＋服务很热情，餐厅也很干净', '短评打分': 3}
{'短评内容': '酒店环境不错，服务也很热情', '短评打分': 3}
{'短评内容': '价格适中，房间有点霉味，粉红色的床单挺好看，房间较小', '短评打分': 5}
{'短评内容': '便宜实惠！就是装修有点陈旧了。价格呢也算便宜，早餐也太简单。。。。。', '短评打分': 5}
{'短评内容': '价格非常便宜，当然酒店也确实不杂的，想省钱可以去住', '短评打分': 1}
{'短评内容': '挺安静的，离站前很近，去购物都很方便，下次去鞍山还住这里', '短评打分': 5}
{'短评内容': '大厅还好，房间太小，看上去不是很干净，不过好象在北京这个价住这样的还算可以吧，下次我会多花点钱住好点的宾馆', '短评打分': 1}
{'短评内容': '环境好服务也可以', '短评打分': 3}
{'短评内容': '很差', '短评打分': 5}
{'短评内容': '干净卫生，闹中取静', '短评打分': 5}
{'短评内容': '适合家庭出行旅游居住，不适合商务出行.20个字以上？', '短评打分': 5}
{'短评内容': '环境优雅，富有格调，入住感觉很温馨，服务态度很好！', '短评打分': 5}
{'短评内容': '房间还是有些小，卫生设施还行，酒店的位置不是太好找，价格还可以。', '短评打分': 5}
{'短评内容': '虹昱铭房间很小，屋内环境和设施根本达不到准四星标准，让人失望了！', '短评打分': 5}
{'短评内容': '地毯有点脏，服务还行，稍微难找了点，房间有点小。其他都挺不错的！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '室内有些潮.蚊子比较多,室内空间不大.感觉不太达标.', '短评打分': 1}
{'短评内容': '性价比不错,挺好的,硬件和软件条件也比较达标,综合水平还行.', '短评打分': 5}
{'短评内容': '还行吧 总体来说 价格实惠', '短评打分': 5}
{'短评内容': '服务周到 热情', '短评打分': 3}
{'短评内容': '一切都很顺利', '短评打分': 5}
