{'短评内容': '住宿退房不肯开发票，什么情况，怪不得冷清没生意，迟早关门。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '可以，安静', '短评打分': 5}
{'短评内容': '1，水特别小2，房间设施老化3，电视节目少', '短评打分': 3}
{'短评内容': '特价房水龙头特别差，其他都不错', '短评打分': 4}
{'短评内容': '地理位置好，服务好，便宜，不错！', '短评打分': 5}
{'短评内容': '老宾馆了，暖气不足，非常一般，不过便宜。', '短评打分': 3}
{'短评内容': '太旧了很一般，价格也不是很优惠。总之不太推荐吧。房间小而且很久，是那种老式原始的政府招待所。好在还比较安全吧。其他也没啥了。性价比一般，卫生也一般。', '短评打分': 3}
{'短评内容': '周边交通便利，出行方便，卫生来说总体不错，设施比较陈旧', '短评打分': 4}
{'短评内容': '周边交通便利，出行方便，卫生来说总体不错，设施比较陈旧', '短评打分': 4}
{'短评内容': '经常出差的时候都入住 交通和周边设施都挺方便 最大的好处是安静 前一段时间换了走廊的地毯 不知道屋里的地毯换好了没有 还有wifi可以考虑升级一下', '短评打分': 3}
{'短评内容': '房间很好，装修时间不长，洗澡水也很好，价位合理，停车安全免费！', '短评打分': 3}
{'短评内容': '还真是家庭小旅馆的德行啊', '短评打分': 4}
