{'短评内容': '老板很不错，给了附近餐厅的电话点外卖', '短评打分': 4}
{'短评内容': '还好----------------------------------------------------', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店位置比较偏，适合自驾游的入住，一个大院子，房间都在一楼，设施卫生也就一般吧，要求不能太高，和农家乐类似。', '短评打分': 4}
{'短评内容': '酒店位置比较偏，适合自驾游的入住，一个大院子，房间都在一楼，设施卫生也就一般吧，要求不能太高，和农家乐类似。', '短评打分': 4}
{'短评内容': '酒店环境比较别致，庭院式的，古色古香，只是比较旧了', '短评打分': 4}
{'短评内容': '周边挺荒凉的～酒店是一个类似四合院性质的～有一个围墙～听说前身是小学～里面设施还不错～挺干净挺有中国风的～比前一晚在市区住的好太多了～', '短评打分': 5}
{'短评内容': '房间总体不错，性价比很高！就是有点潮湿，墙边上有的地方都发霉有点烂了。而且地理位置有点太偏，早上起来打车很难打', '短评打分': 5}
{'短评内容': '房间装修还不错，也挺整洁的，就是房间太潮湿，有点发霉。而且床单虽然很干净但是有点小。', '短评打分': 5}
{'短评内容': '当时临时订的，找不到合适酒店，就饥不择食了，作好将就一晚的心理准备了，结果真是没有超出意外，两个字：旧、脏', '短评打分': 3}
{'短评内容': '空调不给力', '短评打分': 4}
{'短评内容': '空调不给力，其他还行', '短评打分': 4}
{'短评内容': '很偏僻的一家旅舍，自驾会好一点。有点丽江民宅的感觉，但又不似丽江那样亲民及家的感觉，不会有店主陪你喝茶聊天。院落、房间的设计布置有些特色，中国风。房间比较干净，厕所马桶气味很大，将马桶盖盖上、厕所门关上会好一点。晚上我将喷了香水的纸巾放在床头柜。旅店距离温泉开车十几分钟，其中一段路晚上没有路灯，且路况极差，需小心驾驶。价格有一些优势。', '短评打分': 3}
{'短评内容': '有点远，目前也没有厨师，不过热情干净', '短评打分': 3}
{'短评内容': '我感觉一般化，前台老板娘服务很好～', '短评打分': 5}
