{'短评内容': '很棒，推荐入住', '短评打分': 5}
{'短评内容': '很不错，一直住', '短评打分': 5}
{'短评内容': '早餐吃了啊！不错', '短评打分': 5}
{'短评内容': '早餐自助餐还可以，房间还算舒适就是有点闷热，服务质量很高，不过感觉晚班不如早班员工热情', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '房间很干净，舒适，网络超好，下次一定去时再住那里', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '不错，就是有点吵', '短评打分': 5}
{'短评内容': '周边环境有点乱，开车比较堵，房间设施还不错，服务也可以.', '短评打分': 4}
{'短评内容': '房间还不错，设施有点老了，早餐品种不多', '短评打分': 5}
{'短评内容': '还不错挺干净的 ', '短评打分': 5}
{'短评内容': '酒店在当地还是不错的', '短评打分': 3}
{'短评内容': '在乐清属于比较好的老酒店，餐厅还不错，客房设施有点旧了，房里还有股闷湿味道，感觉不好！', '短评打分': 2}
{'短评内容': '很老的酒店了，主要图个方便，就在电器城旁边。', '短评打分': 2}
{'短评内容': '地理位置不错，位于柳市电器城，内部布置安静舒适，房间宽敞干净，周边设施较为齐全，餐饮高中低档都有，不错的选择', '短评打分': 4}
{'短评内容': '地理位置不错，位于柳市电器城，内部布置安静舒适，房间宽敞干净，周边设施较为齐全，餐饮高中低档都有，不错的选择', '短评打分': 4}
{'短评内容': '地理位置不错，位于柳市电器城，内部布置安静舒适，房间宽敞干净，周边设施较为齐全，餐饮高中低档都有，不错的选择', '短评打分': 4}
{'短评内容': '环境挺好的，服务周到，房间干净，交通方便，就是设施有点老', '短评打分': 5}
{'短评内容': '酒店卫生间很不错啊，唯一喜欢的地方。酒店食物也不错', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错，就是人工订没消费券抵用不爽', '短评打分': 3}
{'短评内容': '总体可以，早餐稍差，去晚了好多品种没了，设备有点陈旧。', '短评打分': 5}
{'短评内容': '房间环境很好，设施齐全，但隔音效果较差！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': '价格可以接受，环境还可以，不错不错~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店价位很高，但是环境实在是一般。这个价位在市区可以找到很好的酒店。', '短评打分': 1}
{'短评内容': '房间的卫生设施可以，地理位置也比较方便，价格还是稍微有些贵。环境还不错。', '短评打分': 5}
{'短评内容': '位置好，酒店设施陈旧.边上就有个超市很方便', '短评打分': 5}
{'短评内容': '酒店的服务态度非常好交通也很方便酒店的硬件也不错免费宽带配套家俱也很精致', '短评打分': 5}
{'短评内容': '性价比还是比较高的，就是不在乐清市区，在柳市镇上。', '短评打分': 5}
{'短评内容': '房间很喜欢，隔音效果不错，晚上睡着安静，服务也蛮不错的。', '短评打分': 5}
{'短评内容': '在那个地方找到这家酒店还不错了。', '短评打分': 5}
{'短评内容': '酒店服务各方面不错，就是位置不是很方便', '短评打分': 5}
{'短评内容': '比较满意，就是在这个天气有个擦脸的就更加好点。', '短评打分': 5}
{'短评内容': '酒店的服务、卫生很好，就是蚊子太多，过道和房间的空气也浑浊，周围环境也差。总的来说，标房协议价在200元以下还合理。', '短评打分': 1}
