{'短评内容': '床头靠一下就响，没有梳子，水杯应该用一次性的', '短评打分': 4}
{'短评内容': '信号差到爆炸，无语', '短评打分': 3}
{'短评内容': '总体来说还可以吧！价格便宜，干净卫生！', '短评打分': 4}
{'短评内容': '性价比很高，下次还会来的', '短评打分': 5}
{'短评内容': '一天世界！！！', '短评打分': 1}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '酒店还好了，一般了。出差没有办法，只能随便住了，。酒店还好了，一般了。出差没有办法，只能随便住了，。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '住的感觉还行，', '短评打分': 4}
{'短评内容': '环境还行，水要到走廊打', '短评打分': 4}
{'短评内容': '环境安静，周边设施齐全。有免费停车场', '短评打分': 5}
{'短评内容': '酒店不错，价格合理，服务员态度也很好，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店不错，价格合理，服务员态度也很好，下次还会入住。', '短评打分': 5}
{'短评内容': '百事通能看九层妖塔，网络信号不错，床很大，就是设施旧了点，洗漱用品一般', '短评打分': 5}
{'短评内容': '性价比很高，卫生也不错！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
