{'descr': '好好好好好好好好好好好好好好', 'star': 5}
{'descr': '暖气不是很热', 'star': 5}
{'descr': '酒店位置还可以，条件一般，可能北京首都本身就价格高', 'star': 4}
{'descr': '非常不错的宾馆，早饭也很不错，比旁边的汉庭好多了！住宿可以开专票！', 'star': 5}
{'descr': '入住时说订的标间，大床房一早就没有了，找出订单证明确实订的大床，又立马变出一间，位置不太好找，房间很简陋，洗澡水可以，早餐到对面酒店，早餐还可以', 'star': 2}
{'descr': '有停车场 服务很一般', 'star': 4}
{'descr': '非常好非常好非常好非常好', 'star': 5}
{'descr': '环境很好，交通方便，处于市中心，服务也很到位，感觉不错。', 'star': 5}
{'descr': '有异味，一进去有一股韭菜馅饺子味，持续了三天，隔壁有做饭的，价格便宜，强烈推荐商务房，千万别贪便宜，3天差50块钱，真不值', 'star': 5}
{'descr': '不错不错哈哈', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不错。性价比挺高的', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境卫生，房间安静，设施齐全，近陶然亭公园，闲暇时间可去公园散步，近永定门公交总站和北京南站，交通方便。', 'star': 5}
{'descr': '环境很好、价格很实惠。', 'star': 5}
{'descr': '非常棒', 'star': 5}
{'descr': '卫生不错，服务可以。', 'star': 5}
{'descr': '干净 隔音有点差', 'star': 4}
{'descr': '房间干净，服务好，特别是退房时还送了个小礼物，惊喜！', 'star': 3}
{'descr': '条件很好，住宿满意。', 'star': 5}
{'descr': '总体还不错，环境干净，设施也比较齐全，就是周围小吃较少', 'star': 5}
{'descr': '距离北京南站很近，但是网络很不给力，这是最不满意的地方，也没有无线网', 'star': 5}
{'descr': '房间环境很好！价格也不贵，会员还可以打折', 'star': 3}
{'descr': '金泰之家住房条件都很好，值得推荐。', 'star': 3}
{'descr': '一般\n', 'star': 3}
{'descr': '酒店位置离火车南站很近  很方便  下次还会入住', 'star': 3}
{'descr': '每次去南站都会首选这家，虽然不是很好找。房间面积比较大，设施很新，排气通风好，很干净卫生，价格也实惠，就是前台服务态度需要改进，周边没什么吃的', 'star': 5}
{'descr': '酒店位置不错，二环边上，环境也还算干净~~', 'star': 5}
{'descr': '这家店，环境真是不错，安静，干净，价格也不高，吃饭也方便。就是离南站稍远一点，不太好找。', 'star': 5}
{'descr': '给爸妈订的，他们说卫生条件不错，也宽敞明亮，走到地铁站稍远点，不过附近的两个公交站还比较近，性价比比较高！', 'star': 5}
{'descr': '还可以，南站周围经济型酒店应该就这家最好了。南站转车过夜以及进京办事住这里不错', 'star': 5}
{'descr': '服务人员的态度很好。很热情。。。后边餐厅的饭做得也不错。而且去外边很方便。下次还会去。。。', 'star': 5}
{'descr': '这个旅店超级好。', 'star': 3}
{'descr': '卫生不错，饭菜实惠，交通便利，价格实惠，总体评价好', 'star': 5}
{'descr': '离北京南站非常近，走路就到。在金泰绿洲的院子里，房间设施还行，比较干净整洁，就是卫生间太小了，不过这个价位还算性价比高。', 'star': 5}
{'descr': '楼的层高是超高的，大概有三米五吧，现在哪去找这样的楼啊。房间整洁干净。不过地板材质问题，沾水会比较滑。\n酒店的位置离火车南站还是有一点距离，要小走一段。而且，周围没什么吃饭的地方，这点比较不方便。酒店自家的食堂没吃过。\n有一个我觉得比较大的问题，就是房间的隔音效果很不好，住在离电梯近的房间，早上直接被外面说话的声音吵醒。建议想办法改善一下隔音效果吧。', 'star': 5}
{'descr': '环境挺好的,还比较满意。', 'star': 3}
{'descr': '酒店环境还不错 性价比再低一点就更满意了 还会考虑下次入住该酒店', 'star': 5}
{'descr': '干净整洁，离南站很近，房间很大，基础设施很好，不错。', 'star': 5}
{'descr': '房间卫生太差', 'star': 3}
{'descr': '金泰之家优点是离车站近，服务热情，但设施简陋，卫生差。短住赶车不错，可以到车站买好票再退房。', 'star': 3}
{'descr': '比较安静 比较好找 早去可能要等 卫生间也还好 总得来说还行 对得起这个价格', 'star': 5}
{'descr': '干净舒适，服务很好，价位经济\n就是不大好找，建议在南站附近做个明显的导视牌，方便旅客，也让酒店生意更好，哈哈', 'star': 5}
{'descr': '交通不错', 'star': 3}
{'descr': '床垫的弹簧硌得腰疼。而且卫生不是太干净尤其是卫生间，除了价格低之外，没什么优势', 'star': 1}
{'descr': '楼太老了，房间浴室墙壁发潮掉皮。不过性价比高。', 'star': 1}
{'descr': '酒店性价比还行。在南站附近算便宜的了', 'star': 3}
{'descr': '酒店很方便，还不错', 'star': 3}
{'descr': '金泰之家离南站很近，出行比较方便，酒店价格适中，条件还不错', 'star': 3}
{'descr': '性价比马马虎虎还说的过去。', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '服务还不错，房间温度低，空调躁音大。', 'star': 3}
{'descr': '酒店离北京南站很近，一站地的距离，酒店比较安静，周边吃饭地方比较少，房间比较旧，只是离南站近，方便。', 'star': 5}
{'descr': '房间还不错，就是早餐样式太少了，才两个热菜，两个凉菜，实在不敢恭维', 'star': 3}
{'descr': ' 房间很小，尤其厕所，房间不能上网，装潢设施有点旧，早餐也不丰盛，居然只有两个热菜和两个凉菜，不值180元价格，还不如快捷酒店', 'star': 3}
{'descr': '金泰之家让我感觉到家的温暖,服务热情。', 'star': 3}
{'descr': '这个价钱也就这标准了，还行。', 'star': 3}
{'descr': '已入住金泰之家酒店，酒店卫生干净舒适性价很理想。', 'star': 3}
{'descr': '房间挺好的,便宜实惠。', 'star': 3}
{'descr': '还可以吧，主要是不贵，而且离地铁站不远，其他倒没什么了！', 'star': 5}
{'descr': '挺好的交通便利价格便宜值得推荐', 'star': 3}
{'descr': '很不错，南站附近，位置有优势，还有三人间。值得推荐', 'star': 5}
{'descr': '环境很一般，不过在北京这个价位的宾馆已经是很便宜的了，所以并没有太高的期望，离南站很近。', 'star': 5}
{'descr': '价格合适,设施一般,靠车站近,挺好的.', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '除了离南站近些，简直没有值得推荐的地方。\n早晨6点到店，结果告知要等到8点半', 'star': 1}
{'descr': '卫生条件很好，很干净，前台服务员态度也不错,可能隔音不是很理想，早晨被外边打电话的吵醒了,总得来说不错，', 'star': 3}
{'descr': '感谢您的帮助谢谢！', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '总体还可以 住的标间 装修一般 卫生还可以  设备比较齐全  服务态度好 主要交通方便  这个价位还算值吧', 'star': 5}
{'descr': '环境很好 地点也很好 商务标间非常舒服 性价比高  \n各种设施齐全 员工服务态度也很好\n就是商务间比标间贵一点点 但是装潢是不一样的\n商务间比较时尚豪华一点 总结喜欢这个酒店', 'star': 5}
{'descr': '住的是商务房，环境还可以，就是卫生间不是太干净。离北京南站挺近的，步行过去15分钟左右。性价比还算高了。', 'star': 5}
{'descr': '不错，干净卫生; 手续办理方便。唯一的是大堂有点小了，要是来的人一下子多了只怕没法站', 'star': 5}
{'descr': '还不错，酒店服务好。房间干净，就是配套设施再先进些就好了', 'star': 5}
{'descr': '酒店在北京南站附近，步行10几分钟就到。靠近陶然亭公园，可以去公园玩玩。不过酒店设施比较一般。', 'star': 1}
{'descr': '房间超简陋，小，东西看着不太卫生，不太敢用。唯一的就是价格低，离北京南站比较近一些。', 'star': 1}
{'descr': '房间设施老旧，但还干净，服务也还可以。有人说位置难找，我们倒不觉得。', 'star': 5}
{'descr': '到店比较早说没房让等，好吧，那就耐心的等吧，咱又不是不知道国际惯例。等了n长时间终于有房了。前台比较迷糊，感觉做事稀里糊涂的，给了身份证又找我要身份证，开完房银行卡和身份证也忘了给我，还得我自己要，还有一系列的错误，我都无语了。因为订的比较早，比挂牌价便宜很多，所以感觉房间应该不错。可一进屋这叫我失望啊！设施陈旧至极，灯相当暗，床相当硬，柜子上还有灰，厕所的水龙头还滴水！床单上还有脏东西，后来叫服', 'star': 1}
{'descr': '总体来说挺不错的，每天都会打扫，就是不大，设备也比较陈旧', 'star': 5}
{'descr': '想到过差(经济店),但没想到这么差!又破又旧又脏,有损首都形象.', 'star': 1}
