{'短评内容': '住一晚上还可以，就是马路最近在施工，有点吵。', '短评打分': 4}
{'短评内容': '还不错，一个人喜欢住标准间~很好哦~就是附近最近施工，这个没办法~', '短评打分': 5}
{'短评内容': '比较实惠，服务态度也好，就是现在修路，晚上有点吵', '短评打分': 5}
{'短评内容': '非常好，物美价廉呀', '短评打分': 5}
{'短评内容': '无早餐，不能加床。周边在修路很堵。', '短评打分': 4}
{'短评内容': '酒店很舒适！也不贵！', '短评打分': 5}
{'短评内容': '经济实惠，交通便利，服务态度很好！', '短评打分': 5}
{'短评内容': '还不错，价格优惠，挺好', '短评打分': 5}
{'短评内容': '已经多次住了', '短评打分': 4}
{'短评内容': '挺好的，价格便宜！', '短评打分': 5}
{'短评内容': '交通方便，较实惠', '短评打分': 5}
{'短评内容': '酒店靠近同济医院，服务很好，上次身份证在前台，服务人员邮寄给我', '短评打分': 5}
{'短评内容': '呵呵呵呵呵呵呵额额呵呵呵呵呵啊哈哈哈哈哈哈哈哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '忘了点返现   这里服务还可以', '短评打分': 4}
{'短评内容': '忘了点返现', '短评打分': 4}
{'短评内容': '预约的时候忘了点优惠券了   没法返现', '短评打分': 4}
{'短评内容': '交通不错，周边稍微有些吵闹，还有就是不能提供早餐', '短评打分': 3}
{'短评内容': '以入住结帐，房号9011', '短评打分': 3}
{'短评内容': '推荐住宿  环境还不错  服务也挺好  离海军工程大学很近', '短评打分': 5}
{'短评内容': '酒店位置挺好，在商业圈这里，公交也挺方便，就是窗户隔音不太好，临马路有些吵，两个床一个床垫太硬，还算实惠', '短评打分': 3}
{'短评内容': '酒店装修比较一般。好在服务好。交通便利。', '短评打分': 5}
{'短评内容': '价格实惠。交通方。离火车站很近。附近很多小吃。', '短评打分': 5}
{'短评内容': '酒店环境还算不错。。', '短评打分': 3}
{'短评内容': '酒店还可以价格也实惠，就是床单被套要注意清洁', '短评打分': 5}
{'短评内容': '地毯很脏。', '短评打分': 3}
{'短评内容': '经济实惠，交通便利，卫生情况一般，需要进一步加强，是平民消费较好选择。', '短评打分': 3}
{'短评内容': '房间大小可以,装修有点旧,电视机效果差,没有数字电视,空调可以,床的宽度可以.交通挺方便.总之价格还可以接受.', '短评打分': 5}
{'短评内容': '房间在马路边很闹离同济医院很近', '短评打分': 3}
{'短评内容': '一般不算便宜离医院比较近', '短评打分': 3}
