{'短评内容': '前台青青服务很好', '短评打分': 5}
{'短评内容': '非常好！！按摩的地方很赞', '短评打分': 5}
{'短评内容': '就张罗最好了', '短评打分': 5}
{'短评内容': '酒店环境不错，孩子很喜欢，前台接待张罗也很热心周到，可以再来', '短评打分': 5}
{'短评内容': '出行方便，环境不错前台李天骄服务很好', '短评打分': 5}
{'短评内容': '前台青青服务很满意', '短评打分': 5}
{'短评内容': '环境好 附近有一条街都是重庆火锅 每间都很好吃', '短评打分': 5}
{'短评内容': '好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;好', '短评打分': 5}
{'短评内容': '还是跟以前一样一如既往的好', '短评打分': 5}
{'短评内容': '帮人代订房间的，应该挺好的吧。', '短评打分': 5}
{'短评内容': '位置还行，但是房价不大，卫生还行吧，但前台的服务态度、用语的专业性一般！对比五星酒店标准还有些差距！', '短评打分': 3}
{'短评内容': '酒店位置不错，离我办事的地方很近。服务人员都很热情，服务周到。房间蛮大的，住一个晚上但感觉很舒服。', '短评打分': 4}
{'短评内容': '经常入住的酒店，各项设施及服务都很到位，值得入住。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '相当不错！赞一个', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境很好，住的舒服', '短评打分': 5}
{'短评内容': '还是很好的酒店，可是枕头、床单应该使用很多次了，略显老旧。还会再次入住。', '短评打分': 4}
{'短评内容': '重庆渝北区非常不错的酒店，位置好，环境好，服务都很好，每次有人来都会住这个酒店，价格还优惠一些就好了，老顾客了，还会再来！', '短评打分': 5}
{'短评内容': '重庆渝北区非常不错的酒店，位置好，环境好，服务都很好，每次有人来都会住这个酒店，价格还优惠一些就好了，老顾客了，还会再来！', '短评打分': 5}
{'短评内容': '重庆渝北区非常不错的酒店，位置好，环境好，服务都很好，每次有人来都会住这个酒店，价格还优惠一些就好了，老顾客了，还会再来！', '短评打分': 5}
{'短评内容': '干净，舒适，交通方便', '短评打分': 5}
{'短评内容': '自助餐不错，就是大堂太小太小了，只有4个沙发', '短评打分': 5}
{'短评内容': '大堂大气，交通便利', '短评打分': 3}
{'短评内容': '房间太小，卫生间下水道臭气味厉害，与五星饭店差距比较大，性价比太差！！！', '短评打分': 1}
{'短评内容': '热情周到', '短评打分': 3}
{'短评内容': '0 酒店环境很好。值！', '短评打分': 3}
{'短评内容': '非常符合锦江的品牌，大气朴实，服务好，卫生好。下次还住。', '短评打分': 5}
{'短评内容': '地理位置较偏,打车不好打,其他还可以.园景房也看不到什么景,新区景色不错', '短评打分': 5}
{'短评内容': '多次入住了，还不错。环境很舒服，服务态度不错。', '短评打分': 5}
{'短评内容': '环境不错，值得推荐，周围交通不是很方便。', '短评打分': 5}
{'短评内容': '很新的一家酒店，硬件设施达标，很干净，房间也很大。', '短评打分': 5}
{'短评内容': '再次入住该酒店，还是老问题，前台办事效率低，其他还不错。', '短评打分': 5}
{'短评内容': '环境不错，羽绒被很舒服，浴室也很宽敞，标间也可拼成大床使用，方便，喜欢', '短评打分': 5}
{'短评内容': '门童服务极差，打不到出租车，不仅不帮忙解决问题，而且还幸灾乐祸!素质极差!', '短评打分': 3}
{'短评内容': '环境不错，服务态度很好，床比较舒适。就是位置稍微偏僻了一点，不好打车。', '短评打分': 3}
{'短评内容': '推荐此酒店 环境和房间可以 就是前台结帐时慢 效率低 里面有个日餐厅 不怎么样 ', '短评打分': 5}
{'短评内容': '去两江新区出差时 基本都住这个酒店 离管委会近 方便 缺点是周围没什么吃的 ', '短评打分': 5}
{'短评内容': '就是位置离市中心远了点，打的要20分钟，其他方面都很好！', '短评打分': 5}
