{'descr': '老板及时换了房间，很周到', 'star': 5}
{'descr': '很好，房间很大很舒服', 'star': 5}
{'descr': '无早餐不能加床，电梯速度快！', 'star': 5}
{'descr': '环境还可以，房子设施太久。', 'star': 3}
{'descr': '房间还行吧，就是办理退房等半天，体验不是很好', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '将就', 'star': 3}
{'descr': '还行吧 周边设施齐全 很方便 ', 'star': 5}
{'descr': '和我三年前入住时一样／不管从交通还是周围便利性来说／名洋确实值得推荐／好评      给酒店管理层提个小意见／由于是高层住宅  窗户最好设计为半开式／', 'star': 4}
{'descr': '酒店位置优越，周围吃饭交通也很方便', 'star': 4}
{'descr': '卫生较差', 'star': 2}
{'descr': '一般', 'star': 4}
{'descr': '还不错啊啊', 'star': 5}
{'descr': '环境、位置不错，值得推荐', 'star': 5}
{'descr': '非常喜欢，干净卫生，房间空间好大', 'star': 3}
{'descr': '交通方便，吃饭方便，酒店设施很好，离会展中心太近了，很方便', 'star': 4}
{'descr': '距离会展中心近，只是每天打扫卫生的服务员老不给放一次性用品。', 'star': 5}
{'descr': '离会展中心实在是太近了，省去了会展期间的打车烦恼。', 'star': 5}
{'descr': '总体来说，条件还不错。地理位置也还可以。在江边。周围便利店什么的也比较多，买东西吃饭很方便。就是没有银行。', 'star': 5}
{'descr': '名洋酒店的床还是有足够的改善空间的，除此算是比较经济的酒店，尤其对于喜欢住公寓类酒店的客人是一个选择。', 'star': 3}
{'descr': '干净卫生安静，就是卫生间小了点', 'star': 3}
{'descr': '还可以吧。地方不太好找', 'star': 3}
{'descr': '酒店环境不错，就是有点偏僻了', 'star': 3}
{'descr': '房间还是可以，但是结账的时候以订房价格便宜为由不给发票，直到说投诉后才很不情愿的给了，素质问题。', 'star': 1}
{'descr': '第一次住，觉得环境各方面还可以，下次还会选择住这里', 'star': 3}
{'descr': '性价比比较高，位置也相当的好，就是那啥，希望卫生方面多注意下。特别是厕所！！', 'star': 5}
{'descr': '涨价了，东西也没以前卫生，有点脏。性价比不高了现在', 'star': 1}
{'descr': '还不错，很方便，尤其距离会展中心、南平商业区等较近，室内比较干净，隔音还算好吧，缺点是走廊里总有气味，偶尔房间内也有，好像是附近厨房的。毛巾有点旧。', 'star': 5}
{'descr': '和朋友第二次来住 挺好 性价比不错\n不过房间里装个抽油烟机 还不如给个小冰箱呀 夏天多好\n名洋是住南岸的一个很好的选择 出门在会展中心站有很多路公交很方便', 'star': 5}
{'descr': '挺好的 比什么汉庭好多了 又便宜 就是位置有点不好找 在亚太商谷那里 挨着重庆游乐园 周围是办公的吧 吃的东西种类不多 不错 推荐入住', 'star': 5}
{'descr': '那一栋楼有很多酒店式公寓 环境还算不错 在网上订这个价格 比较划算 性价比高 ', 'star': 5}
{'descr': '服务还可以，环境也还好。就是隔音不太好，白天外面车子声音太吵了，晚上还多安静的', 'star': 5}
{'descr': '性价比已经不高了，房间很久没清洗，很脏，上次我们去住，床单有血，酒店解释是洗衣店的原因，厕所也没打扫，电视也开不了，住的很无语，有个前台态度很不好。不过女老板人还是不错的。', 'star': 1}
{'descr': '酒店干净卫生，安静，就是床老是咯吱响，希望能改进。', 'star': 5}
{'descr': '很好找，设施很新，前台也很热情，答应我换个江景房的要求。很不错！', 'star': 3}
{'descr': '＋酒店还行，价格降有点偏高。', 'star': 3}
{'descr': '说是电脑房，基本上不了网，不能上网仍然按电脑房收费，这不是欺诈是啥，害得半夜到网吧去上网订机票。', 'star': 1}
{'descr': '卫生条件太差了，空气也不清新。房间像没有打扫过一样。和图片展示完全不符合', 'star': 1}
{'descr': ' 豪华江景房环境不错，不知道是不是巧合，我入住的是跟图片一模一样的房间。江景也不错，特别是晚上，还有亮着彩灯的摩天轮，很安逸～', 'star': 3}
{'descr': '打车说去亚太商谷，司机很容易找到。酒店在20层以上，所以很安静。房间设施还可以，只是床翻个身都会响，不知道只是我这一间，还是都这样。如果只是特殊情况，下次还会去住的。经济型酒店，不错。', 'star': 5}
{'descr': '基本可以，房间卫生服务方面有待加强，周边环境不错', 'star': 5}
{'descr': '酒店周边饮食等比较方便，对于在会展中心参加会议来说，此酒店性价比比较好', 'star': 5}
{'descr': '性价比比较高，酒店比较难找，还算比较清洁干净，房间不大', 'star': 5}
{'descr': '涨价了涨价了涨价了涨价了涨价了涨价了涨价了涨价了涨价了涨价了', 'star': 5}
{'descr': '环境很好，有江景，交通不是很方便，房间舒适，服务好', 'star': 5}
{'descr': '洗澡设备不好，别的都不错。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '高层景色不错哦！很干净，服务一般，性价比很好。。。。。。。。。。。', 'star': 5}
{'descr': '价廉卫生，高层山景。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置不方便, 房间太小, 清洁度不够, 又不能刷卡. ', 'star': 1}
{'descr': '住的很好，不过现在涨价了。。。。。。。。。', 'star': 1}
{'descr': ' 己住', 'star': 3}
{'descr': '    酒店在20层楼上,环境幽静,楼下是小区步行街,解决一日三餐没问题,酒店房间干净、舒适。不错!', 'star': 3}
{'descr': '酒店干净舒适，不错！', 'star': 5}
{'descr': '还不错，主要是为了参加房交会，这里离会展中心很近。', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', 'star': 5}
{'descr': '还不错，但是有蟑螂~淋浴很难用', 'star': 5}
{'descr': '好。非常的好。前台的服务很好，性价比高。\r\n', 'star': 3}
{'descr': '环境还可以\u3000服务态度好\u3000就是地方难找', 'star': 5}
{'descr': '我已经是第二次住名洋了，没的话说，很好，很舒服。尤其是前台的服务太好了。性价比很高，下次在重庆还会住名洋。', 'star': 5}
{'descr': '总体说还是可以的，虽然位置好，12点过后就没吃的了，我可是夜猫子，我比较喜欢附近有吃的！！！！！！！！！！！', 'star': 1}
{'descr': '很好很好，在重庆玩我决定一般都住这家了。服务态度不错，就是第一次难找点。性价比不错。', 'star': 3}
{'descr': '老板很好。。 我们在那里住了3天了。。\r\n价格合理。卫生干净。', 'star': 5}
{'descr': '名洋不错，第一次去住，找不到，前台的服务人员还出来接。性价比高，感觉不错。但就是洗发水和沐浴露是小包装的，不够用，有点像普通的宾馆，希望改成大的。下次还会去住。\r\n', 'star': 5}
{'descr': '性价比高。。性价比高 务还得  服务还得', 'star': 5}
{'descr': '性价比不错，服务员感觉比较热情。不过有点点难找，不是很显眼。', 'star': 5}
{'descr': '环境还算可以，性价比不错，比较安静，晚上周围吃饭的地方比较少', 'star': 5}
{'descr': '还可以。', 'star': 5}
{'descr': '性价比高，交通方便', 'star': 5}
{'descr': '交通方便，性价比高', 'star': 3}
{'descr': '交通方便，性价比高', 'star': 5}
{'descr': '希望酒店以后做清洁的时候多注意一下。', 'star': 5}
{'descr': '整体水平不错周边出行挺方便的.而且酒店的性价比也蛮高的.', 'star': 5}
