{'短评内容': '晚上8点停水，早上8点来水，不知道怎么这样，其他还行', '短评打分': 4}
{'短评内容': '一般吧只能这么说', '短评打分': 4}
{'短评内容': '酒店外观漂亮，周边环境还好。但房间设施简陋，连基本茶叶都没一包，吹风机/烧开水壶也是破的。早歺外面买了几个包子馒头对付，床比较。唯一就是价格贵，体验非常差。', '短评打分': 2}
{'短评内容': '只有我们两个房间', '短评打分': 3}
{'短评内容': '干净，卫生，服务满意！', '短评打分': 5}
{'短评内容': '房间很一般，价格偏高。', '短评打分': 4}
{'短评内容': '贵了点', '短评打分': 4}
{'短评内容': '因为G20缘故，杭州人民有假期，而且景区门票全免，福利啊，开车近6小时，来到了龙虎山，入住这里最贵的酒店，酒店装修还可以，地盘很大，入住率不高，各种设施感觉不值这个价，吃饭不方便，离龙虎山还有十几分钟的距离，早餐很一般，总之觉得不值', '短评打分': 4}
{'短评内容': '周边环境不错，早餐太单调了，总台服务小姐的态度较差，娱乐室明明说凭房卡可以打九折，可最后结算是一分钱的折扣都没打。服务对不住房价！', '短评打分': 1}
{'短评内容': '还不错，就是门的隔音不行，一大早的走动，说话声音都传到房间里。', '短评打分': 5}
{'短评内容': '硬件不错，餐厅服务和菜肴味道太差，可以入住，但不要就餐！', '短评打分': 3}
{'短评内容': '酒店很不错，设施一流，就是离景区大门稍微远了点，没车的话就不方便了。', '短评打分': 3}
{'短评内容': '房间很不错，距离景点也近，酒店比较新，相对这价位的酒店来说早餐太简单了。建议旅游淡季房价再打点折扣。', '短评打分': 5}
{'短评内容': '离景区近，很方便；室内装修很显档次，相当不错。', '短评打分': 5}
{'短评内容': '酒店非常好，是个新的酒店，设施，卫生环境各方面都不错，下回还会去住。但是早餐一般，要是能有改进就更好啦！', '短评打分': 5}
