{'短评内容': '房间味道很大！', '短评打分': 5}
{'短评内容': '一般吧，跟小县城的普通酒店差不多，国庆期间房价贵得离谱。有停车位，不算多。旁边是马大爷猪肚鸡。门缝还塞了小卡片，内容你懂的。半夜还有人打电话骚扰，你也懂的。', '短评打分': 4}
{'短评内容': '酒店好，有车位', '短评打分': 5}
{'短评内容': '房间里面居然有麻将房 还一股霉味 小强到处飞 ', '短评打分': 3}
{'短评内容': '一般一般，将就将就！', '短评打分': 4}
{'短评内容': '酒店妹子非常有礼貌，需要的都可以帮忙解决', '短评打分': 5}
{'短评内容': '服务不好。太吵了  睡不着', '短评打分': 1}
{'短评内容': '价钱适中', '短评打分': 5}
{'短评内容': '一路顺利，没有问题', '短评打分': 4}
{'短评内容': '房間有異味，通風不太好，附近沒有什麼好逛，也沒有什麼好吃的，要打車到河岸邊才有大排擋，所以感覺一般。', '短评打分': 3}
{'短评内容': '下次还会再来，', '短评打分': 5}
{'短评内容': '房间还可以吧，设施一般，停车位还是有的，比较一般，但周边吃饭方便，离国门也不远，1.8公里左右！住得还算满意，一分钱一分货，也对得起这个价格了～～～', '短评打分': 4}
{'短评内容': '良好', '短评打分': 4}
{'短评内容': '不错噢。有小阳台。就是床不能移动。电脑电视都比较先进的。就是房间稍小了。节假日入住比较便宜划算。', '短评打分': 5}
{'短评内容': '房间够大，但设施太简单了。在东兴应该算可以的酒店了。只是没有餐厅，有点不方便的。', '短评打分': 5}
