{'短评内容': '房间大', '短评打分': 5}
{'短评内容': '设施比较陈旧，但出行方便，服务热情周到，有问题也马上解决。', '短评打分': 4}
{'短评内容': '挂速8连锁名，内部环境太差！', '短评打分': 2}
{'短评内容': '房间太小了，床两侧连个插头都没有。', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '目前住着还行，己经往十五天了，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店设施一般吧，位置蛮好的，要的家庭房，一张大床一张小床，卫生间有点小，整体来说还可以，性价比挺高的！', '短评打分': 3}
{'短评内容': '交通很方便，就是床单被套太破了，床单碎了很大一块，房间很大', '短评打分': 4}
{'短评内容': '脏乱差，设备陈旧，一屋子烟味。建议到附近的如家酒店。', '短评打分': 2}
{'短评内容': '网络太差，没有停车位', '短评打分': 3}
{'短评内容': '今天换班的服务员态度差的不得了，一脸凶神恶煞！！能在连锁酒店上班是个奇迹！！！', '短评打分': 3}
{'短评内容': '出差住这里非常方便，很舒适老顾客了', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
