{'短评内容': '差评，简洁明了的7天没有了，这间7天估计是加盟，坏了7天自己的牌子！卫生、配置、洁白的床单、统一的标志标识这里没有体现出来，此7天时间有点长了，该统一7天的形象才对得起印象中的7天！', '短评打分': 3}
{'短评内容': '第一天到的有点晚前台妹妹说换了一个小房间，特别小，很小，很小，很小！然后价格是一样的。入住后发现真的很小，窗子朝过道！有点坑', '短评打分': 5}
{'短评内容': '很一般的酒店', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '干净卫生，环境安静，可看人民公园', '短评打分': 5}
{'短评内容': '我不想说了，铺盖是烂的，床单也是烂的，杯子不晓得好久没洗了！卫生条件也差，住一晚上身上还要发包，我也是醉了，说实话还不如小旅馆！', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '挺好的吧。不过每次评论都是为了凑字数的！', '短评打分': 5}
{'短评内容': '123', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '都是凑字数的，也没什么说的啊。', '短评打分': 2}
{'短评内容': '环境不错，在市中心，离车站近', '短评打分': 5}
{'短评内容': '不错，出行也方便，就是周边美食少', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以!', '短评打分': 5}
{'短评内容': '总体还是不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '挺满意，不错的一家店。', '短评打分': 5}
{'短评内容': '挺干净，也挺安静。', '短评打分': 5}
{'短评内容': '呵呵呵呵，还是过得去啊……房间还比较干净', '短评打分': 4}
{'短评内容': '靠近翠屏山公园，节假日房源紧张，运气不好会安排到很小的房间', '短评打分': 4}
{'短评内容': '靠近翠屏山公园，节假日房源紧张，运气不好会安排到很小的房间', '短评打分': 4}
{'短评内容': '挺好的！环境也不错！很干净！首选！', '短评打分': 5}
{'短评内容': 'Wifi不怎么好，老是掉线，房间没有毛巾只有浴巾，难道用浴巾洗脚？', '短评打分': 4}
