{'descr': '感觉不值此价', 'star': 4}
{'descr': '挺好的挺好的', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '十一带妈妈去玩，距离太湖很近，不过气势也不是很方便，吃饭选择比较少，走路去景区还是要走很远，也是要坐车过去的，没有想的那么方便，不过环境很不错', 'star': 5}
{'descr': '不错、早餐送到房间 ', 'star': 5}
{'descr': '坐落于蠡湖公园里，环境不错，貌似是个月子中心，感觉还不错。', 'star': 5}
{'descr': '评价晚了好久，不过酒店还是不错的', 'star': 5}
{'descr': '南方的环境还是住不惯 潮湿  被子都是潮潮的', 'star': 2}
{'descr': '酒店房间设施不错，卫浴用品有点古典电话机的感觉，旁边就是一个公园，有很多著名西式建筑，距离鼋头渚很近，有码头可以直接坐船过去，节省时间', 'star': 5}
{'descr': '是', 'star': 5}
{'descr': '刚装修好，太差了', 'star': 1}
{'descr': '性价比比较高的一家酒店，设施一般。', 'star': 4}
{'descr': '性价比比较高的一家酒店，设施一般。', 'star': 4}
{'descr': '环境不错', 'star': 5}
{'descr': '还可以，第二次来', 'star': 4}
{'descr': '还可以，第二次来', 'star': 4}
{'descr': '适合旅游住，旁边就是湖边，人非常少，寂静浪漫，离市区比较远，适合旅游居住，周围环境非常好，但是商务旅行不是特别方便。', 'star': 5}
{'descr': '很不错的酒店~房间都是欧式的感觉~~~就是地段有些偏僻，总体来说不错', 'star': 5}
{'descr': '酒店内的花园不错，在一座欧洲城堡内\n就是早餐品种比较少', 'star': 5}
{'descr': '酒店位置很好，是个中央公园里面，休闲散步非常适宜。酒店工作人员服务态度很好，下次去无锡，还是会选择这家酒店。', 'star': 5}
{'descr': '酒店比较新，位于公园内，环境很宁静，但客房有股怪味，呆久了很难受，希望能有改进，早餐一般。', 'star': 5}
{'descr': '非常不错，环境宜人，细节到位，值得推荐，很满意！！', 'star': 5}
{'descr': '酒店在中央公园内，环境很好，安静，早晨听到窗外鸟叫，拉开窗帘就可以看到花园的景色，适合度假。如果不去挤旅游景点，可以就在酒店的公园随便逛逛，很惬意。公园里很多拍婚纱的新人，很温馨。离鼋头渚很近，到灵山也方便。自助早饭品种不太多但口味还不错，酒店的餐厅吃饭味道也挺好，价格较贵。酒店服务人员很有水准，赞！\n缺点是房间有点下水道的臭味，要开窗通风，几个房间都是这样。还有20度的天气还用鸭绒被，要求换被子', 'star': 5}
{'descr': '前台客服态度好，安静，早餐丰富但5天都大同小异，咖啡不是速溶，好喝。房装修漂亮但不足30米。', 'star': 5}
{'descr': '乾净，新开张半年但无甲醛味。在中央公园内，很安静。早饭丰富。', 'star': 5}
{'descr': '酒店蛮不错的，环境很好，人也不多，非常清净。因为坐落在公园里，平时还可以到公园走走。不过不推荐高级单人房，这种房型适合单人住，因为洗手间都是透明的，有些不方便，而且洗手间面积也很小。两人的话还是要住豪华大床房，房间大，洗手间也非常宽敞。这个价格是很合适的。', 'star': 5}
{'descr': '一个非常优雅的酒店，服务非常温馨、优质。下次肯定还会前往。', 'star': 5}
{'descr': '花园酒店，房间味道比较大，感觉一般，服务不错，交通不方便，早餐太简单，不能刷卡！', 'star': 5}
{'descr': '服务一流！', 'star': 1}
{'descr': '优点：1、酒店位于中央公园内，风景优美，白天有N多新人拍外景。\n      2、酒店内部装修风格欧式，房间内电视够大。\n缺点：1、酒店没有POS机，住店付款用现金\n      2、房间虽然叫湖景房，但是看不到湖。\n      3、房间空间略小，房间内装修风格简洁与酒店整体欧式风格不符。\n      4、没有WIFI\n     5、淋浴器花洒比人还低，设计存在不合理地方\n      6、早上起来没有', 'star': 1}
{'descr': '环境不错，很清静。就是那个公园比较破败。', 'star': 5}
{'descr': '住的620元的房间，家具灯具都很精致，早餐的西点很好，环境好，离景区很近，物有所值。', 'star': 5}
{'descr': '地理位置不错，离湖边很近，服务人员的服务态度很好，下次还会入住。', 'star': 5}
{'descr': '酒店服务人员态度很好，设施不错，饭菜口味很好，酒店很新，就是装修气味还未完全散掉', 'star': 3}
{'descr': '酒店不错，每回来无锡出差都住着，环境挺好，挺干净', 'star': 5}
{'descr': '很新的店。。。很不错。。。一定会再去。。。很新的店。。。很不错。。。一定会再去', 'star': 5}
