{'短评内容': '挺干净的，早餐很好吃，品种特别多，就是酒店有点小贵', '短评打分': 5}
{'短评内容': '酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。', '短评打分': 5}
{'短评内容': '房间好小！床单很黑。不过可以免费上网！可以刷卡，可以预授权！！', '短评打分': 5}
{'短评内容': '很不错的一家小店，就是沿街有点吵，第二天改到后面，舒服了。', '短评打分': 5}
{'短评内容': '酒店服务，环境都不错，但性价比不高，价格有点小贵', '短评打分': 5}
{'短评内容': '房间的布局有些不习惯，灯光较暗。', '短评打分': 3}
{'短评内容': '有点贵，就是一快捷酒店，有点物价不相符。下次应该不会去入住了。', '短评打分': 1}
{'短评内容': '房间很小，但是很干净。附近没有超市什么的有点不方便。性价比不错', '短评打分': 5}
{'短评内容': '房间附近的歌厅有些吵。房间大但很空。标间没有茶几和沙发', '短评打分': 3}
{'短评内容': '挺不错的，酒店服务态度挺好的，很干净，早餐自助也不错，赞一个。', '短评打分': 5}
{'短评内容': '太吵了，第一晚整完都没睡着，房间无隔音。服务员水平待提高，我开发票时把公司名称写给她，并且两次提醒她核对清楚，最后还是给我开错了，当时我要赶时间也没核对，会到单位时才发现写错了，打电话给他们，说的给我回复，最后没人理我，害的我住宿费没法报销，这样的酒店太差了。', '短评打分': 1}
{'短评内容': '酒店很干净，服务态度挺好的，早餐很给里！', '短评打分': 5}
{'短评内容': '脏，饭也不好吃，贵，周为什么都没有，就一个地铁站，考试很不方便。', '短评打分': 1}
{'短评内容': '梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评', '短评打分': 5}
{'短评内容': '酒店不错 早餐也很丰盛', '短评打分': 3}
{'短评内容': '环境很好，周围交通便利，很喜欢', '短评打分': 3}
{'短评内容': '没有预想的好，房间细节还算到位。很喜欢宽大的桌面，很适合商务人士。热水很好，性价比还算不错。赞一下！', '短评打分': 5}
{'短评内容': '内置环境还算不错，整体没有什么不舒服的地方', '短评打分': 5}
{'短评内容': '稍微有点吵，早餐一般般，没啥特色，价格还可以。', '短评打分': 5}
{'短评内容': '酒店不错，但价格小贵，另外室内灯光偏暗。', '短评打分': 5}
{'短评内容': '还算干净，床比较硬，作为经济酒店模式应再降降房费，早点过于简单，没什么可吃的，吃片面包好像还有点味，但总体来说还算满意。', '短评打分': 1}
{'短评内容': '作为经济型酒店，设施和卫生都说得过去，服务态度较好。由于地理位置较偏，而且房间有的没窗户，有的窗户形同虚设，在价格上应该还有让利空间。早餐不丰富，品种少且补充慢，味道一般。床较硬，睡着不舒服。网线、电视时断时续。住这里主要是在附近办事方便，不会推荐给朋友，但如在附近办事需要的人可以住在这里。', '短评打分': 1}
{'短评内容': '班朋友订的哈，问了她，她说不错哈。推荐入住的。', '短评打分': 5}
{'短评内容': '服务态度不错 不过设施有点陈旧  应该更换了  ', '短评打分': 5}
{'短评内容': '还不错，总体还算满意，原本以为没有窗户，可是安排的是有窗户的房间', '短评打分': 5}
{'短评内容': '房价还算不错，服务态度不错。不过早点不太好。。。', '短评打分': 5}
{'短评内容': '晚上到的，复印证件花了很长时间，房间还算干净。建议把复印机整的好用些，别这么浪费顾客的时间', '短评打分': 5}
{'短评内容': '房间内设备陈旧，早餐品种较少。临街客房比较嘈杂。', '短评打分': 1}
{'短评内容': '还不错挺干净的', '短评打分': 3}
{'短评内容': '房间太小了，洗手台竟然在床边…', '短评打分': 3}
{'短评内容': '都还可以，只是点餐送来的米饭不是新鲜的，有点馊了。', '短评打分': 5}
{'短评内容': '哎呦，不错。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以，各方面都不错。一座有30多年历史的建筑，几经改造。', '短评打分': 5}
{'短评内容': '很一般，房间很没有吹风机，找前台要竟然也没有，毛巾比较旧。前台服务一般', '短评打分': 1}
{'短评内容': ' 不错,但是房间小', '短评打分': 3}
{'短评内容': '服务员很热情，但房间内的沙发上有污渍，壁纸也开始脱落了。', '短评打分': 1}
{'短评内容': '超级迷你的复式房型，设备陈旧，采光也不好。居住感觉很压抑。', '短评打分': 1}
{'短评内容': '价格合理，物有所值。服务热情，干净卫生，房间不大，但很温馨。功能齐全，早餐丰盛。', '短评打分': 5}
{'短评内容': '房间卫生提条件还可以，服务一般，酒店硬件设施也蛮齐全的，住宿环境一般', '短评打分': 3}
{'短评内容': '交通很挺方便的~精致单人间是挺小的，不过还好，有温馨的感觉~', '短评打分': 5}
{'短评内容': '酒店位置还行，距离地铁站蛮近的，出行方便，房间硬件设施很齐全，住着很舒服，前台服务很好，性价比还可以', '短评打分': 5}
{'短评内容': '夏日荷花酒店给人感觉很田园很温馨。', '短评打分': 3}
{'短评内容': '酒店环境还可以，价格比较适中，硬件设施齐全，隔音效果好，其他都很一般', '短评打分': 3}
{'短评内容': '从酒店到市中心还是蛮方便的，有直达的车，卫生条件一般，服务还可以，其他没什么特别', '短评打分': 3}
{'短评内容': '房间不是很大，硬件设施一般，服务态度还行，周边交通出行方便，房间隔音效果也还可以', '短评打分': 3}
{'短评内容': '卫生状况良好,但隔音效果差,晚上听到马路上车嗡嗡响,睡不安稳. ', '短评打分': 3}
{'短评内容': '卫生一般，前台服务还可以，房间布置的一般，地理还行，出行还是较方便的', '短评打分': 3}
{'短评内容': '服务还可以，前台服务员蛮热情周到的，办理入住手续也很快，床品很干净，周边交通出行方便，走路10分钟就能到超市，很方便', '短评打分': 5}
{'短评内容': '酒店很干净，早餐和午餐味道都不错，而且价格也不贵，距离地铁站蛮近的，房价也算合理', '短评打分': 5}
{'短评内容': '房间还不错装修卫生还可以，自己找不是特别好找就是打个车司机差不多知道，前台服务还行，不过酒店的价格还是有些偏高和酒店配置感觉没有到那个价格。里面的装修还是有些陈旧。', '短评打分': 5}
{'短评内容': '房间很干净的，住宿条件还可以，价格也比较经济实惠，这个宾馆距离我住的地方蛮近的，所以就选择了，总体感觉还可以的', '短评打分': 5}
{'短评内容': '房间不是很大，但是布置的很温馨，性价比还可以，硬件设施很新也很齐全，服务很好，住宿环境还是不错的', '短评打分': 5}
