{'descr': '还不错  挺好的', 'star': 5}
{'descr': '没有早餐，不大方便。', 'star': 4}
{'descr': '总的来说还不错！周围吃饭买东西还是挺方便的，交通也还方便，步行两 三分钟就有公交车站，有好几路公交车经过，但房间太小了，有点憋屈。', 'star': 5}
{'descr': '一进门感觉很干净，没异味。房间收拾整洁墙纸壁画明亮。推荐外出旅游或出差的朋友选择。可能因为整个北京停车难吧，该酒店暂时也还没有提供车位！', 'star': 5}
{'descr': '不错，大北京的价格算不错的', 'star': 5}
{'descr': '离中央美院很近。来了很多次了', 'star': 5}
{'descr': '还不错还行', 'star': 5}
{'descr': '很老的快捷酒店，没有汉庭好，临时住还可以，离学校近，周围都没房才凑活定的，如果有别的最好还是别住这儿了', 'star': 4}
{'descr': '还好，相对比较干净，就是周边的环境不太好', 'star': 4}
{'descr': '整体不错 就是暖气温度太高了', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '办公区，好地段', 'star': 5}
{'descr': '办公区，好地段', 'star': 5}
{'descr': '办公区，好地段', 'star': 5}
{'descr': '办公区，好地段', 'star': 5}
{'descr': '房间卫生还可以，周边环境可能是北方的小区有些脏乱，一般吧。', 'star': 3}
{'descr': '环境不错 而且出门都是公交车站 交通还算很方便', 'star': 5}
{'descr': '地点距离中央美院比较近，去中央美院办事、学习临时住住还是很方便的。', 'star': 5}
{'descr': '很方便，周边环境很不错，换乘地铁顺义线去新国展很快捷。', 'star': 5}
{'descr': '位置还不错，就是小区里面。就是房间太小/。', 'star': 5}
{'descr': '酒店位置有些偏,酒店热水不错,有去央美探望孩子的家长可以入住。', 'star': 3}
{'descr': '还行,住的还行.去新国展很方便,周边环境一般,停车要收费,没有多少车位.', 'star': 5}
{'descr': ' 环境一般，房间很小。其它还好。', 'star': 3}
{'descr': '周围环境还行，，前台服务员的服务挺热情，总的来说，，还挺好', 'star': 1}
{'descr': '十舒适、卫生。非常满意！已是第二次入住，出行比较方便。', 'star': 3}
{'descr': '忘记写评语了。。总体还是不错。。  下次可以考虑入住', 'star': 5}
{'descr': '酒店舒适，服务很好，满意。', 'star': 3}
{'descr': '连锁最好的地方就是设备是让人比较放心的，总体还是不错吧，但是房间面积比较小', 'star': 5}
{'descr': '还不错，很干净，房间住的很舒服。有机会还会再去住~', 'star': 5}
{'descr': '服务员态度不好，我觉得北京的其他的如家要比这个好，至少前台的服务态度好。房间不错，就是晚上总会有按摩的骚扰电话，发按摩小广告的太多了，这说明酒店里进来外人了吧。。。希望服务态度好一些，前台毕竟是门面。', 'star': 1}
{'descr': '入住房号329^房间不错～蛮好', 'star': 3}
{'descr': '舒适，温馨，服务态度也好。只是我退房后，请服务员帮我拿下行李，她说她拿不动，其实也没那么沉，结果还是我跑了两次，才将东西全搬上车。\n还有就是不明白为什么那么小的房间还有勉强放一张那么大的床（一米八），搞的走路的空间都么有了。而且床很硬，不舒服。\n其他都好，比其他经济连锁酒店都好，会推荐。', 'star': 5}
{'descr': '还不错。下次到北京还会再去。房间小了点，但够住的就行，卫生间也不大，但热水不错。这个季节房间有蚊子，酒店会提供灭蚊药片。屋里温度较高，还好空调超好用。', 'star': 5}
{'descr': '住过的最好的如家酒店，干净，服务好，下次还希望住在这里', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '打的过去 司机都不会去。后来上了黑车。        里面真不错，因为充忙没带现金，只带了张农行卡。那天弄好又取不了前。    跟前台协商 可以欠着，下周去还。这个真不错', 'star': 5}
{'descr': '非常干净，服务也很好,下次有机会还会在住如家。', 'star': 5}
{'descr': '交通方便，房间干净明亮。适合旅游度假，步行即可购物。', 'star': 5}
{'descr': '早上起来刷牙到一半，停电停水，真让我无语。', 'star': 1}
{'descr': '位置有点不大好找，价格偏上，房间也不大，连挂衣服的地方都没有，不过附近吃饭倒是很方便，附近有很多特色小吃，不会主动推荐朋友入住。', 'star': 5}
{'descr': '酒店挺温馨的，虽然房间不大，但是屋里的设施还是很方便的。作为经济性酒店，很实惠，由于在小区里，生活也很方便，周围有小超市、水果摊，还有KFC、吉野家、小豆面馆，吃饭也方便。', 'star': 5}
{'descr': '这次住的商务大床房 虽然房间不是很大 但是床很舒服 好像是两米*两米二的床 哈哈哈 很不错啊', 'star': 5}
{'descr': '还可以吧，连锁酒店的特点都在。小而整洁。\r\n床单不是每天都换的', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '到央美很近，停车位不好找，一晚收费15元，其他条件都一样', 'star': 3}
{'descr': '到央美很近，但是停车位置不好找。小区内收费一晚15元。', 'star': 3}
{'descr': '+方便，但停车不便', 'star': 5}
{'descr': '环境服务都不错，就是房间小点，早餐也不错', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '位置在小区里，晚上不太容易看到；周围环境倒是比较安静；不知道是服务人员太少，还是什么别的原因，打扫房间不及时', 'star': 5}
{'descr': '方便，快捷', 'star': 5}
{'descr': '环境很不错，位置也相对好找，就是停车位有点少！而且还很贵！一宿保安要我十五！', 'star': 5}
{'descr': '一般，偏贵', 'star': 5}
{'descr': '房间比较小', 'star': 5}
{'descr': '硬件一般，服务不错。', 'star': 5}
{'descr': '小的不能再小了', 'star': 3}
{'descr': '服务态度很好，房间隔音稍差，其它还不错，比较方便', 'star': 5}
{'descr': '两个字 能住 \r\n方便快捷 快捷酒店做到这样已经满意了', 'star': 1}
{'descr': '8月25日中午去办理入住手续，前台一年轻接待员，该说的话说的非常机械，让人感觉不到服务，在回答问题时，以训人的口吻，声音立即高八度，态度极差，恶劣。', 'star': 1}
{'descr': '酒店环境挺好的，服务态度也不错，酒店在的位置也不错，交通比较便利', 'star': 5}
{'descr': '设施比较简陋环境硬件设施也比较一般，感觉配套的硬件不是很齐全，位置出行交通也很方便，价格也比较合理，因为经常去那附近办事，所以经常入住这家酒店。', 'star': 5}
{'descr': '基本还可以，但酒店空调遥控器竟然不给用太搞笑了，暖气片太热，热的嗷嗷叫，还是用空调取消暖气片吧', 'star': 5}
{'descr': '酒店的服务，和环境都比较不错，而且房间里很暖和，温度也很高，也很干燥，如果有个加湿器就更好了。', 'star': 5}
{'descr': '交通方便，但所处的小区环境一般，适合商住。', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
