{'descr': '价格不贵 经济实惠', 'star': 5}
{'descr': '定的标间没有了，换成单间了。房间小的我谢谢他了，只能放下一张床！', 'star': 4}
{'descr': '习惯好评，这个跟我想象中的速八差远了，不过位于北京郊区也可以理解就是了，房间小，家具旧，排风扇开起来就像是战斗机。。。', 'star': 3}
{'descr': '还好吧就是房间太小了，太挤了', 'star': 3}
{'descr': '差评！是给前台的，在艺龙订的房间，都已经收到了短信，显示房间已经订定上了，结果到那办入住的时候前台说没有预定，还说什么我被骗了，说他们和艺龙根本没有合作，我不是第一次在艺龙上定酒店了，也不是第一次在你们家住，最后给艺龙打电话让他们和速8沟通解决的，其实他们就是不想通过艺龙来预定房间，估计可能和他们的业绩提成有关系，总之非常不满意，有损速8的形象！怎么说也是全国连锁快捷酒店，但服务却这样烂！', 'star': 3}
{'descr': '交通便利，周边很多美食', 'star': 3}
{'descr': '每次来北京通州都住这里，环境好，服务好', 'star': 3}
{'descr': '房间够大，环境可以，下次出差还会来', 'star': 5}
{'descr': '酒店服务比较好  服务态度很好  是旅游  出差居住的好地方', 'star': 5}
{'descr': '红十字婆婆婆婆ing你你你你你', 'star': 4}
{'descr': '一般般 太老旧', 'star': 3}
{'descr': '很不错的酒店，                                   位置比较好       ，每次来都住这，总之以后还会来', 'star': 5}
{'descr': '以前多次入住、感觉有点旧了！不过服务人员态度很好！', 'star': 5}
{'descr': '干净，整洁', 'star': 5}
{'descr': '比较干净！就是有点吵！', 'star': 4}
{'descr': '环境挺不错的！挺满意！价格也还实惠！实惠多多！！！！！', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '明明订的是大床房！！最后给我的却是两张单人床的房间！！找前台去问，她们竟然说我订的价位就是单人床的，不可能这价位还有双人床！！说得我好像是去占便宜！！今天一看订单明明就是大床房，而且这家速8竟然还有同等价位的房间还是双人床，明显就是欺诈！！太可恶了！！', 'star': 1}
{'descr': '不错，就是酒店没有餐厅。', 'star': 3}
{'descr': '窗户朝街方向有点小吵，还有就是空调不怎么管用，其他的还可以', 'star': 5}
{'descr': '酒店服务很好值得赞一个，但是酒店的房间不太隔音，隔壁房间的声音听的一清二楚；还有洗澡的时候发现没有浴帽，希望下次去的时候酒店能更完美。', 'star': 5}
{'descr': '就是房间有点小，里面的配饰还是不错的。交通也可以。', 'star': 5}
{'descr': '特价房价确实不错，会向我的朋友推荐这家酒店。', 'star': 5}
{'descr': '这个酒店还不错，挺干净的，东西也挺齐全，就是隔音效果有点差，总体来说还是值得住的', 'star': 3}
{'descr': '速8 一如既往的好 赞', 'star': 3}
{'descr': '房间小，隔音不好，床也很硬，交通还算方便，服务还可以', 'star': 3}
{'descr': '速8的服务一向很好 房间干净温馨 交通很便利 ', 'star': 3}
{'descr': '挺好，挺舒适、挺好，挺舒适、挺好，挺舒适、挺好，挺舒适、挺好，挺舒适', 'star': 5}
{'descr': '交通便利，有无线网络，上网比较方便，房间环境还可以。', 'star': 5}
{'descr': '还可以 就是太小了 大床房都怎么小。。。其它还好', 'star': 5}
{'descr': '很满意，环境不错', 'star': 3}
{'descr': '位置很好,房间不大,但两个人足够了,热水还可以,就是枕头太矮了,住的话最好要两个,否则晚上睡的时候还得要,麻烦.....', 'star': 5}
{'descr': '房间太小，设施陈旧，性价比不高，不建议选择此店。', 'star': 1}
{'descr': '应提供早餐', 'star': 3}
{'descr': '＋不错环境挺好干净交通方便！还有无线网！', 'star': 3}
{'descr': '很舒适很方便。价格也刚好，交通方便。下次还会来。\n很舒适很方便。价格也刚好，交通方便。下次还会来。\n很舒适很方便。价格也刚好，交通方便。下次还会来。\n很舒适很方便。价格也刚好，交通方便。下次还会来。', 'star': 5}
{'descr': '地理位置不错，周边用餐方便。服务比较完善，除房间较小，其它不错。配备在房间的用品也比较实用，呵呵。下次还会订速8。满意', 'star': 5}
{'descr': '洒店环境一般太吵交通不方便', 'star': 3}
{'descr': '位置不错，周围有太熟悉等家常菜馆，办了速8的会员卡后还能享受打折优惠。房间还算整洁，靠近街道一侧的房间比较吵，早晨很早就会被公交车的声音吵醒。整体条件良好。', 'star': 5}
{'descr': '位置不错，但条件一般，设施显得老房间有点小。优点就是门口有小吃店，营业到凌晨2点，夜宵就不用担心了。', 'star': 5}
{'descr': '每次去通县都住的这里，能预定到特价房价格还是可以的，如果没有么会员价也不高，不错', 'star': 5}
{'descr': '一般房间狭窄', 'star': 3}
{'descr': '酒店各方面都不错，就是位置稍微偏点，不过还好，出门就是公交，北京公交车刷卡才四毛、、', 'star': 5}
{'descr': '位置还可以 离地铁也不是太远 打个车起步价 周围配套设置都比较齐全 价格也不贵', 'star': 5}
{'descr': '挺好的，感觉很舒心，服务态度很好，前门设置行旅箱专用滑坡，考虑很周到哦', 'star': 5}
{'descr': '酒店很干净，就是床小了点。没有湖南台。。。', 'star': 5}
{'descr': '对面就是猫眼披萨。很安静，设施还算齐备，有无线网络。', 'star': 5}
{'descr': '还行吧。。凑合。。虽然知道是便捷酒店，但装潢，尺寸和价格不是太成正比。。其他的差不多应该有的都有了。。', 'star': 5}
