{'短评内容': '宾馆很不错', '短评打分': 4}
{'短评内容': '价格比较便宜，除了比较旧之外还是可以的。', '短评打分': 4}
{'短评内容': '没有早餐，晚上睡觉安静，房间大小嘛，比较小，进门就是床，很紧凑，卫生间比较老旧，不过还算是干净，打扫卫生的阿姨服务还是挺好的。', '短评打分': 3}
{'短评内容': '卫生间面盆和水龙头之间隔太远，洗手什么的水都会流出来，电视屏幕太花，床边没有插头，灯很暗开关离床太远……', '短评打分': 4}
{'短评内容': '住了好多次了，来新都住这边方便些', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '住了好多天了，还要点评', '短评打分': 5}
{'短评内容': '经济实惠，性价比高，值得入住！', '短评打分': 5}
{'短评内容': '住了好几年，还不错啊，能停车比较方便！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '旁边有个杜海涛代言的鸡柳，盐酥鸡不错。可以尝尝。 有无线网，速度慢！热水不烫，洗澡全用热的还凑合', '短评打分': 4}
{'短评内容': '相当不错，各项设施齐全', '短评打分': 5}
{'短评内容': '环境不错。下次出差还会住。价格实惠。', '短评打分': 3}
{'短评内容': '非常不错，干净整洁，前台服务态度很好，下次还会光临。', '短评打分': 3}
{'短评内容': '………………可', '短评打分': 4}
