{'短评内容': '价格有点贵……', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '前台那小姑娘不错~~~ 不过估计是时间长了，环境不咋的', '短评打分': 4}
{'短评内容': '前台那小姑娘不错~~~  不过估计是时间长了，环境不咋的', '短评打分': 4}
{'短评内容': '干净卫生,服务态度好,性价比高', '短评打分': 3}
{'短评内容': '不错，不错哦，推荐一下咯', '短评打分': 3}
{'短评内容': '酒店房间小不说，里面有很浓的烟味，空调效果也不好，床上辈子居然也是 破的。', '短评打分': 3}
{'短评内容': '没窗户不透风', '短评打分': 3}
{'短评内容': '总 带来说 还行吧。就是房间有点小。电视电脑一体不好操作', '短评打分': 5}
{'短评内容': '还行   就是电视和电脑一体很难操作。空调正对床头，吹得脑袋痛。基础设施还是可以', '短评打分': 5}
{'短评内容': '环境还可以，离客车站很近，服务态度蛮好的', '短评打分': 3}
{'短评内容': '网上价格比实际的贵喔', '短评打分': 3}
{'短评内容': '房间太窄，噪音太太，网络也不好。不适合这个价格。', '短评打分': 1}
{'短评内容': '是一家快捷酒店的形式，还算可以，但价格略高，马路上的噪音很大。', '短评打分': 5}
{'短评内容': '服务质量和卫生条件都还满意，大堂要是装了空调就会更舒适些', '短评打分': 3}
