{'短评内容': '交通方便，环境不错', '短评打分': 5}
{'短评内容': '非常好 服务好', '短评打分': 5}
{'短评内容': '停车很方便', '短评打分': 5}
{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '旧的酒店改造 出差住还可以 盆友比较满意', '短评打分': 4}
{'短评内容': '酒店不错哦。', '短评打分': 4}
{'短评内容': '早餐很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境相当不错，风景秀丽辽阔，房间很干净很方便，所有工作人员服务热情周到，设施完善高端，赞一个', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '环境不错，服务周到', '短评打分': 5}
{'短评内容': '周边服务设施齐全，酒店干净整洁。', '短评打分': 5}
{'短评内容': '房间还是挺干净的', '短评打分': 5}
{'短评内容': '酒店比较久', '短评打分': 3}
{'短评内容': '早餐非常一般，其他还行', '短评打分': 3}
{'短评内容': '酒店离地铁较近，但周边环境很一般。大门口就是个立交桥，还在修路。大厅也很普通，非常不大气～', '短评打分': 5}
{'短评内容': '房间干净、整洁，交通方便，希望下次继续入住。', '短评打分': 3}
{'短评内容': '在修路，服务还可以。但是酒店用品以及整洁度差', '短评打分': 3}
{'短评内容': '1. For location : As the hotel is near the road, much noisy during night , and its also very difficult to take a taxi. 2. For breakfast: Not as many food as similar level hotels. 3. For facilities: a ', '短评打分': 3}
{'短评内容': '和其他的智选假日酒店一样，没啥特别。早餐极差。', '短评打分': 5}
{'短评内容': '续住一晚，早餐种类较少，房间内空调还挺给力的', '短评打分': 3}
{'短评内容': '智选的一贯风格，干净舒适，设施比有些智选新一些，服务尚可', '短评打分': 5}
{'短评内容': '比想象中好，价格还挺便宜的。很安静。床铺略嫌小。', '短评打分': 3}
{'短评内容': '交通方便， 周围吃饭购物也很方便，酒店环境不错。', '短评打分': 5}
{'短评内容': '到通用那里办事很方便，电话叫出租车不方便，好像没有门童。需要自己到大街上去找车。', '短评打分': 5}
{'短评内容': '简单干净，周边也蛮清净，性价比比较高，但是位置还是比较偏的', '短评打分': 5}
{'短评内容': '房间还可以，假日的标准，就是空调的制冷效果不是很好，各档之间没区别，这样热的天，空调不好，不舒服。早餐还好，品种不多，但是都够了。', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐品种单一。', '短评打分': 3}
{'短评内容': '不错的酒店，服务好,老牌酒店设施不错，值得入住    ', '短评打分': 5}
{'短评内容': '房间几卫浴不错，可以停车，早餐也行，附近商店较多，总之，性价比较好。', '短评打分': 5}
{'短评内容': '打车很方便，旁边有超市，设施很好，服务也很好，还会再住', '短评打分': 5}
{'短评内容': '酒店挺干净，就是没有客房服务。', '短评打分': 3}
{'短评内容': '很不错的酒店，但价格也很不错。在上海这个价格算是可以接受。', '短评打分': 5}
{'短评内容': '这酒店不错，洗手间设计挺好，离金桥中心比较近，价格也适中。', '短评打分': 5}
{'短评内容': '位置不错，，，就是人比较少，，服务员，，，不过还是选择了，，上海么', '短评打分': 5}
{'短评内容': '不错 一贯的holiday inn 水准', '短评打分': 3}
{'短评内容': '总体不错。浴室的门不够严，水漏到外面了。', '短评打分': 5}
{'短评内容': '酒店挺干净的，价格也很实惠,周边有地铁，吃饭很方便。\n下次还会选这边。', '短评打分': 5}
{'短评内容': '交通便利，干净、舒适、整洁，早餐很赞。中途手机充电器故障，服务员提供了万能充电器，即时解决问题，很满意。建议酒店有个自己的小卖部就更好了，比如一些烟酒、日用品能在酒店买到会更方便些。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境也还可以，登记入住时态度也非常好，但后来想要根网线都不给，有点失望。', '短评打分': 3}
{'短评内容': '房间还不错,就是早餐没有加热装置,冬天都是凉的', '短评打分': 5}
{'短评内容': '酒店的环境还可以，性价比比较高，周围配套设施很齐全，下次继续光临\n', '短评打分': 5}
{'短评内容': '客房住的很舒服，环境不错，交通方便，就是早餐一般\n', '短评打分': 5}
{'短评内容': '酒店位置好，服务热情，房间干净整洁，早餐品种不多，希望改进。\n', '短评打分': 5}
{'短评内容': '很干净的酒店，前台服务也很好。早餐品种不多，希望改善。\n', '短评打分': 5}
{'短评内容': '酒店位置好，服务热情，房间干净整洁，早餐品种不多，希望改进。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便，房间干净，遗憾的是早餐过于简单', '短评打分': 5}
{'短评内容': '酒店的环境还可以，，性价比比较高，，周围配套设施很齐全，，下次继续光临', '短评打分': 5}
{'短评内容': '棒！！！！！！！！非常完美！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '棒！！！！！！！！！！！非常棒！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很干净的酒店，前台服务也很好。早餐品种不多，希望改善。', '短评打分': 5}
{'短评内容': '房间不错环境很好', '短评打分': 3}
{'短评内容': '客房住的很舒服，环境不错，交通方便，就是早餐一般', '短评打分': 5}
{'短评内容': '不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意不错的酒店，给客户顶了很满意', '短评打分': 5}
{'短评内容': '出行方便，隧道就在附件。房间干净。早餐一般', '短评打分': 5}
{'短评内容': '性价比不错................................', '短评打分': 5}
{'短评内容': '酒店位置虽然不在市中心，但对在金桥周围办事的人来说很方便。房间设计有现代感。很好！', '短评打分': 5}
{'短评内容': '不错的酒店，干净，装修风格时尚。就是房间面积小。吸烟房内味道太大。', '短评打分': 5}
{'短评内容': '硬件设施还不错，但员工培训方面欠缺。另外价格在同一区域还是偏高的。', '短评打分': 5}
{'短评内容': '新开的酒店，房间总体还行，卫生也不错，早餐要改进。', '短评打分': 5}
{'短评内容': '前台接待人员一看就是生手，不会和客人沟通，比较死板，要加快培训！', '短评打分': 5}
{'短评内容': '周围吃饭、购物、休闲都很方便。只是酒店生意太好，有展会的话很难定到房间。', '短评打分': 5}
{'短评内容': '松子发表点评：很干净的酒店，下次来上海还会选择入住，就是早餐内容太少，应该还要再丰富一些，比较好打车，服务态度不错。', '短评打分': 5}
{'短评内容': '不错，下次还是会入住的。', '短评打分': 3}
{'短评内容': '给朋友定的，我之前住过，觉得不错。就是早餐实在太简单了，希望可以改善。下周我过去还住那里。', '短评打分': 5}
{'短评内容': '浴室很不干净，貌似好久米打扫过.前台服务很不热情', '短评打分': 1}
{'短评内容': '酒店不错，房间大，还有个沙发。附近有商业街，地铁站，晚上逛街也方便，下次还会住！', '短评打分': 5}
{'短评内容': '公司的技术中心在金桥，周围没有更好的选择了，这家酒店延续了假日酒店的风格，环境和卫生都不错，打车也很方便，下次去还会选择。', '短评打分': 5}
{'短评内容': '第三次入住了，还不错。就是房价最近提高过,且经常变动、有时过高。', '短评打分': 5}
{'短评内容': '附近的金桥国际广场，吃喝玩乐应有尽有。不住不知道，住了才知道。', '短评打分': 5}
{'短评内容': '房间挺大,卫生条件也不错', '短评打分': 3}
{'短评内容': '上海金桥中心智选假日酒店，地址位置不错，交通方便，环境也不错，不过价格也不便宜呀', '短评打分': 5}
{'短评内容': '假日酒店的床和枕头始终是那么舒服，可以睡个好觉。就是房间蚊子不少，酒店大堂显得普通…', '短评打分': 3}
{'短评内容': '很标准的HOLIDAY INN，早餐丰富，房间很不错。\n\n价格有点贵，门前很堵车', '短评打分': 5}
{'短评内容': '不錯的早餐喔 就是平日價格高 假日較便宜喔', '短评打分': 5}
{'短评内容': '第二次入住,感觉到还是很好,早餐和上海的其他智选酒店相比还是不错的.', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '酒店装修蛮好的,很干净,床很舒服.各方面都不错.早餐有点简单,但还可以.总体来说在上海这是家性价比很高的酒店了.位置也还好,早上打的较方便.', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也不错，就是早餐太简单了，吃的东西不多。', '短评打分': 5}
{'短评内容': '和其他智选一样，经济型，卫生还可以，交通比较方便', '短评打分': 1}
{'短评内容': '同样好', '短评打分': 3}
{'短评内容': '早餐相对其他智选酒店要好，酒店比较新，虽然临街，但晚上睡觉不影响，窗户隔音比较好', '短评打分': 5}
{'短评内容': '第一次入住该酒店，前台服务很热情，酒店很新，交通很方便，出地铁口十分钟就到', '短评打分': 3}
{'短评内容': 'This was a very clean hotel. Great service. Very convenient to get around Shanghai.  ', '短评打分': 5}
{'短评内容': '环境不是很好，但价格适中，经济型酒店。比较适合个人出差', '短评打分': 5}
{'短评内容': '缺点：午餐晚餐太简单，垃圾桶金属的不配垃圾袋，扔东西不小心翼翼的话很响，浴巾上有长头发不知道是服务员的还是没清洗干净，洗手池后面不干净，窗户打不开。\n\n优点：房间还算雅致，离金桥地铁不远，早餐尚可，比较安静。', '短评打分': 5}
{'短评内容': ' 干净，但是价钱贵了', '短评打分': 3}
{'短评内容': '一般，早点更不行，不过不能怪，因为它是主要为展览会服务的', '短评打分': 1}
{'短评内容': 'hao!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '酒店还可以，就是早餐不太好，交通也不太便利', '短评打分': 5}
{'短评内容': '还可以。升级的锦江之xing', '短评打分': 3}
{'短评内容': '酒店的周遭環境很方便，房間環境也很好，以這種價格在上海而言相當不錯', '短评打分': 5}
{'短评内容': '酒店总体感觉不错', '短评打分': 3}
{'短评内容': '挺不错的 下次继续入住', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '上海金桥中心智选假日酒店（原金桥中心快捷假日酒店）酒店还不错，挺好的', '短评打分': 5}
{'短评内容': '为客户预定的，第二次入住了。性价比不错。', '短评打分': 5}
{'短评内容': '酒店还不错，挺好的', '短评打分': 3}
{'短评内容': '很干净, 可惜没用早餐，不知餐点如何.\n下次还会再来.\u3000', '短评打分': 5}
{'短评内容': '老样子，不错。', '短评打分': 3}
{'短评内容': '不错，给人感觉很好，而且价格适中。卫生干净\n', '短评打分': 5}
{'短评内容': '很不错，酒店很新，干净整洁', '短评打分': 3}
{'短评内容': '前台服务态度不错，房间也够大。可能是清洁工忘抹了吧，记写字台上还有灰尘，黑色的电脑包一放，再拿起来就是一道白痕。\n', '短评打分': 5}
{'短评内容': ' 酒店真的还不错，很干净，下次还会来。就是早餐东西少了点', '短评打分': 3}
{'短评内容': '点评过了，怎么还要点评，世博期间住了，性价比不高。', '短评打分': 5}
{'短评内容': '服务一般，前台电话打了一上午没人接，中午终于有人接了，我说你电话怎么没人接？对方说有呀不可能呀我们一直有人在。不承认错误，还狡辩', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错 世博期间房间不好定，好容易订到这里\r\n', '短评打分': 3}
{'短评内容': '不错 给客户订的 \r\n环境不错，周边乱乱，店内比较舒适洁净', '短评打分': 3}
{'短评内容': '酒店位置较偏，且酒店没有餐厅。餐饮部只负责早餐，住店客人就惨需到外面寻找。与假日酒店想象不符，没办法只好临时更换入住酒店了！', '短评打分': 1}
{'短评内容': '服务挺好，设施及卫生都不错，停车很方便，就是价格有点偏高。', '短评打分': 5}
{'短评内容': '世博期间，上海酒店价格偏高,性价比不高。沐浴露不是每天检查。', '短评打分': 1}
{'短评内容': '预定的时候是标房，两张床的标房，入住的时候被告知标房没有了，只有大床，所谓大床就是150的床，对一家三口来说实在是很难接受。入住当天半夜里空调坏了，白天四十几度的高温，晚上没有空调如何的闷热难耐？不得不一直跟酒店交涉，好不容易换到有空调的房间，入睡时已经尽量点。四岁的小孩子和大人一起白天乘了八九个小时的火车，折腾到下半夜才入睡，这是个没见房间六百多块人名币的号称三星四星的快捷酒店？？！！', '短评打分': 1}
{'短评内容': '房间较小，离市中心较远。其他都好。下次还住这里。\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '还是不错的 很新', '短评打分': 5}
{'短评内容': '早餐质量还可以，床也比较舒服', '短评打分': 5}
{'短评内容': '帮朋友订的酒店，还不错！！', '短评打分': 5}
{'短评内容': '挺不错的，就是床有些软。\n\n', '短评打分': 5}
{'短评内容': '尚可，就是要在网上标清楚（大、双）具体房间数。', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店不大，早餐一般，和其他的快捷假日一下，干净卫生。 \r\n', '短评打分': 3}
{'短评内容': '还可以吧，但是最近也经常没有房间', '短评打分': 3}
{'短评内容': '世博会，上海的酒店太贵了。\r\n很小的酒店，早餐一般，没什么值得说的。和其他的快捷假日一下，干净卫生。', '短评打分': 5}
{'短评内容': '空调不够热，早餐不够好。', '短评打分': 5}
{'短评内容': '总得来说酒店各方面都还不错，就是世博期间房价涨了，周边配套设施也很周全。', '短评打分': 5}
{'短评内容': '周边环境一般，走五分钟就到达地铁六号线', '短评打分': 3}
{'短评内容': '房间条件可以，早餐太差', '短评打分': 5}
{'短评内容': '位置还是很好找出行很方便，价格的话还算可以其实都能接受，房间里面也很干净和舒适，还是很不错的一家酒店。我很满意的。', '短评打分': 5}
{'短评内容': '还不错，就是附近在修路，太吵', '短评打分': 5}
{'短评内容': '比较干净，但与其他快捷酒店比，虽然整体稍微舒适一些，但价格偏贵。', '短评打分': 5}
{'短评内容': '酒店的早餐太差了，和酒店的标准不是一个档次的，卫生服务都还好，价格太贵了，主要是世博会期间入住价格都是比较高的，配置硬件都算是达标的整体来讲还是可以推荐入住的，建议早餐做一下改善。', '短评打分': 5}
{'短评内容': '也许是世博会的缘故，房价高，早餐还不如快捷酒店的自助餐', '短评打分': 1}
{'短评内容': '住的总体感觉挺好的，早餐的饭不是很好，很单一哦，第一天房间没有给我放地巾，我给总台打电话，她说可能是忘记给我放了，但是晚上没有服务生，明天给我送，可是他们的卫生间设计不好，水都往屋里跑哦！', '短评打分': 5}
{'短评内容': '新开的酒店，第一次入住，还可以把，地段一般，交通不是很方便', '短评打分': 3}
{'短评内容': '假日的快捷都差不多，很干净很简洁。里面连个可乐都没的买。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
