{'短评内容': '房间大', '短评打分': 4}
{'短评内容': '和想象的不一样，连苹果充电器都没有借的', '短评打分': 1}
{'短评内容': '可以的，加油', '短评打分': 5}
{'短评内容': '100元的房间也不错了，一个人将就一晚还行', '短评打分': 3}
{'短评内容': '环境安静，设施陈旧，出行还算方便。较经济。', '短评打分': 3}
{'短评内容': '帮同事订的房间  临时住几天   听说一般   不过价格也很便宜', '短评打分': 3}
{'短评内容': '没有电梯，而且房间里有味。前台服务很热心，帮忙拎箱子。', '短评打分': 3}
{'短评内容': '麻雀虽小五脏俱全。挺好的~~~~~~~~', '短评打分': 3}
{'短评内容': '不错，房间挺大，如果有吹风机就更好了', '短评打分': 3}
{'短评内容': '晚上这么冷，洗澡竟然没热水，果断退房', '短评打分': 3}
{'短评内容': '酒店服务的感受就像是孙二娘开的黑店，前台态度恶劣，说话带脏字。在文明的上海市很少能见到这样水平的酒店。房间脏乱差烟味大，就像是不正当场所。住进去感觉就是“倒霉”的感觉。', '短评打分': 1}
{'短评内容': '遇到过最差的宾馆了，马上倒闭吧！', '短评打分': 1}
{'短评内容': '住过上百家大大小小的宾馆酒店了，这家是我遇到过最差的了，前台服务态度极差，明明是店家问题百般推脱不积极解决！！工作人员也一点不讲道理！！这样的宾馆倒闭这也是分分钟的事。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
