{'短评内容': '酒店在白云区', '短评打分': 5}
{'短评内容': '环境很差，别人房间抽烟，烟都飘过来！', '短评打分': 2}
{'短评内容': '期待以上', '短评打分': 5}
{'短评内容': '一般，有待提高', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '类似于7天连锁，但房间设施陈旧，配套简单，卫生也一般，看起来不是很干净！可能是这个地段比较繁华，所以价格略贵', '短评打分': 3}
{'短评内容': '酒店住着还不错，只不过前台服务太差，就跟欠她的似的，总体感觉还行吧！', '短评打分': 3}
{'短评内容': '不错，之前在附近的国港酒店住的，在装修，很不舒服，就有网上找到一佰伴，价格也便宜，超值！', '短评打分': 3}
{'短评内容': '凌晨4点有贼翘门，超大胆，说有人还不走，幸好加了保险，要不后果不堪设想，以后都不敢住了', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
