{'短评内容': '位置很好，在岱庙和红门之间', '短评打分': 5}
{'短评内容': '位置好，有停车场。', '短评打分': 4}
{'短评内容': '干净整洁，服务亲切', '短评打分': 5}
{'短评内容': '还可以，不错。', '短评打分': 5}
{'短评内容': '在红门300米左右，很近。', '短评打分': 5}
{'短评内容': '酒店环境特别好，而且没有普通房，给免费升级豪华房了，感谢，推荐！', '短评打分': 5}
{'短评内容': '还行吧，就是房间太小。地毯不干净。', '短评打分': 4}
{'短评内容': '還不錯！', '短评打分': 5}
{'短评内容': '红门很近，吃饭都OK', '短评打分': 4}
{'短评内容': '房间很好，环境便利。向岱庙方向走有一个泰山酒家，炸豆腐丸子真是一绝', '短评打分': 5}
{'短评内容': '非常好，尤其服务非常好', '短评打分': 5}
{'短评内容': '爬泰山很方便，酒店还可以预订门票和联系的车', '短评打分': 4}
{'短评内容': '不错，很近，挺近的', '短评打分': 5}
{'短评内容': '酒店离泰山红门登山点很近，早餐也不错。', '短评打分': 4}
{'短评内容': '环境舒服美丽泰山脚下清新空气安静', '短评打分': 5}
{'短评内容': '性价比还算不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离景点很近', '短评打分': 5}
{'短评内容': '位置很好离红门很近，登山很方便。酒店因为09年新开业所以整体装修比较新，不过有窗的房间比较少都是无窗而且房间比较小', '短评打分': 5}
{'短评内容': '住了2晚上，酒店硬件和软件设施都很好，卫生，服务，早餐都不错，是自驾游从红门爬泰山的不错选择。', '短评打分': 5}
{'短评内容': '离红门很近，房间新，设施完备，卫生好，早餐可以，服务热情。', '短评打分': 3}
{'短评内容': '\n19点30分入住，酒店整体可以，交通及进入景点方便。但进房后感觉空间太小。问有免费升级吗?前台说只有客人订的房没有前提下可升级。疑惑，别的酒店服务理念可不是这样，酒店好房型如空着，就为客人免费升级，以换取口碑。', '短评打分': 3}
{'短评内容': '这个酒店相比别的城市同等价位的酒店稍差些，但是在泰安算是比较有特色的了，早餐品种不是很多。', '短评打分': 3}
{'短评内容': '酒店设施较新，周边环境好。与同等价位的酒店比早餐也不错。', '短评打分': 5}
{'短评内容': '我们此次出行最满意的就数小天庭这家酒店了，该酒店地理位置距离泰山登山口很近，酒店外观整体整洁清爽不失华贵，我们住的是迷你房，迷你房没有窗户，但是房间不潮，没有霉味儿，房间虽小但是设施基本完备，环境优雅，卫生条件非常不错。除了房间没有小冰箱之外其他一应俱全，总体非常满意，值得推荐。', '短评打分': 5}
{'短评内容': '早餐很好品种多，这次被开会全订满了只有无窗房，太闷了下次再不住这种房间了，房间内水要收钱，3元／瓶。', '短评打分': 3}
{'短评内容': '新建的酒店 绝对超值 地毯、被子都是新的 而且屋子很宽敞 性价比很高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
