{'短评内容': '房间一般吧，卫生没有想象的那么好，不过京东订酒店好评。', '短评打分': 5}
{'短评内容': '就是空调不热其他都挺好', '短评打分': 5}
{'短评内容': '方便，离火车站不远', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '给父母订的', '短评打分': 5}
{'短评内容': '很不错的酒店，设施很齐全，很干净，，，，，，，，，，，，，，，床睡着很舒服                  很好 下次还来。。', '短评打分': 5}
{'短评内容': '1111111111111111111111111111111', '短评打分': 5}
{'短评内容': '还行吧，但是感觉不像星级酒店该有的环境', '短评打分': 3}
{'短评内容': '恩，房间还可以', '短评打分': 5}
{'短评内容': '房间很好！', '短评打分': 5}
{'短评内容': '质量不错的房间，环境很好的。', '短评打分': 5}
{'短评内容': '信任京东啊，买东西几年了，实惠还物美，带劲，哈哈', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '环境很不错，经济实惠', '短评打分': 5}
{'短评内容': '第三次住了  水温温的无法洗澡  不是没调好  是水不热  ', '短评打分': 4}
{'短评内容': '其实我不是一个苛刻的人，但这房住的实在是太失望了！设施极其陈旧，桌子是坏的，插座是烂的，好多地方该修该换都是穷于对付！还到处是灰，以后应该不会再住了！', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧，有好几个地方是修补的，', '短评打分': 3}
{'短评内容': '床上用品还算干净  其它不敢恭维  有免费早餐  无论前台还是客服服务态度不好   连基本的你好称呼都没有  电话是坏的  哎', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间还不错，就是挺吵的', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '里面环境一般。床子小。', '短评打分': 3}
