{'短评内容': '挺不错的，离火车站近', '短评打分': 5}
{'短评内容': '总体感觉满意', '短评打分': 5}
{'短评内容': '有接送到车站', '短评打分': 4}
{'短评内容': '酒店干净卫生。', '短评打分': 5}
{'短评内容': '酒店位置不错，离成都东站不远', '短评打分': 4}
{'短评内容': '还是很不错', '短评打分': 3}
{'短评内容': '一般一板一眼比一天一遍一遍', '短评打分': 5}
{'短评内容': '酒店不错，空间很大，，也很卫生，关键是距离成都东站比较近，转个弯十分钟就到了，习惯了给人好评，我订的是豪华标间，前台给我的房间是612,看酒店照片明明就是一个普通标间，能给我一个解释吗？', '短评打分': 3}
{'短评内容': '还是大结局都觉得就到家手机阿胶阿胶', '短评打分': 5}
{'短评内容': '挺好就是离车站有点远觉得觉得就到家', '短评打分': 5}
{'短评内容': '不怎么样，跟南方的酒店相比，环境以及卫生都差很多', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '价格不便宜....早餐很棒...媲美一些一些五星级酒店比如希尔顿的早餐', '短评打分': 1}
{'短评内容': '总体来说还是不错的。反正不是失望。', '短评打分': 5}
{'短评内容': '位置有点偏，不过房间还挺好的', '短评打分': 5}
{'短评内容': '不错的选择嘛', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '没住过被客服取消了不知道为什么！', '短评打分': 4}
{'短评内容': '非常满意的一次住店体验！！还会再来！！', '短评打分': 5}
{'短评内容': '卫生，交通方便', '短评打分': 5}
{'短评内容': '干净，整洁。挺好的一次体验！', '短评打分': 5}
{'短评内容': '室内空气不流通，闷。', '短评打分': 5}
{'短评内容': '挺不错的，质量可以。', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '还行 环境还可以', '短评打分': 5}
{'短评内容': '房间干净卫生.就是附近找吃的比较难！酒店提供早餐.还有免费送站服务❕好', '短评打分': 5}
{'短评内容': '成都的酒店，有早餐，不过吃不习惯。', '短评打分': 4}
{'短评内容': '环境还不错，就是周围没有饭店。', '短评打分': 5}
{'短评内容': '价格不错，很优惠，下次继续', '短评打分': 5}
{'短评内容': '靠近东站，不错。美中不足，如果开着窗，比较吵。如果下次入住，可以选择窗户不朝向马路的房间。总体来讲，上午出差，信价比够了。', '短评打分': 5}
{'短评内容': '房间挺好的，服务也可以。', '短评打分': 5}
{'短评内容': '很好！条件好，满意！', '短评打分': 5}
{'短评内容': '酒店非常好', '短评打分': 5}
{'短评内容': '环境不错，交通方便，服务一流。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '环境和卫生条件非常不错，唯一不足就是周边餐饮不是很好找', '短评打分': 4}
{'短评内容': '近成都东站，但从东站行路感觉蛮远，周围不旺。整体感觉中等', '短评打分': 4}
{'短评内容': '勉强', '短评打分': 4}
