{'短评内容': 'Hh', '短评打分': 5}
{'短评内容': '环境优雅，价格也不贵，挺实惠的！住宿最理想选择！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好呀', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '跟在网上订的完全两个样，连店名都不对害我找半天，就算店换什么老板你也要先通知客人啊，', '短评打分': 2}
{'短评内容': '一开始到前台说给我留了一个房间，进去发现里面已经住了。后来换了一层湿冷的备用房间，特别脏。经协调，升级了一个楼上的大房子还不错。', '短评打分': 3}
{'短评内容': '酒店名字都不是假日之星，找都找半天……', '短评打分': 3}
{'短评内容': '不错，给朋友定的，在市中心', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '性价比高，服务态度好，设施齐全', '短评打分': 5}
{'短评内容': '不错，地段很好。方便。性价比很高', '短评打分': 5}
{'短评内容': '酒店位于市中心繁华的武林广场，周边交通很便利，逛街或者吃美食都超级方便，就是酒店设施陈旧。', '短评打分': 5}
{'短评内容': '位置不太好找', '短评打分': 4}
{'短评内容': '第二次入住了 环境舒适 附近也很多逛的地方，很不错', '短评打分': 5}
{'短评内容': '价格周末会涨价 环境还行', '短评打分': 4}
{'短评内容': '位置好，进出方便，停车位充足，房间偏小', '短评打分': 5}
{'短评内容': '蛮不错的', '短评打分': 5}
{'短评内容': '还可以吧，也就是一般般吧，地点还行', '短评打分': 5}
{'短评内容': '位置很好，环境也还可以，房间还好吧，推荐一哈。', '短评打分': 5}
{'短评内容': '还行~设施都不错~隔音效果有待改善。。。。。', '短评打分': 5}
{'短评内容': '虽然设施比较简单，但地段非常好，房间也宽敞干净，标间的两张床都算挺大了很舒服', '短评打分': 5}
{'短评内容': '房间够大，但是卫生不怎么样，那个被子有一股味道，服务也不怎么样，我住在二楼，前台给我的房卡开不了，老要跑到一楼去，连换了四次房卡才能开房门，当时真的很烦，', '短评打分': 1}
{'短评内容': 'good location! Hotel was okay to stay', '短评打分': 5}
{'短评内容': '标房是帮朋友定的，空调一开始不给力差不多半小时后能发挥作用，其他都不错。建议还是大床房比较好。', '短评打分': 5}
{'短评内容': '不错的经济酒店，周边就有吃饭的地方，大床也很大，电视频道多。其实这些都无所谓主要干干净净就行，酒店这方面做的也不错，值得表扬。', '短评打分': 5}
{'短评内容': '住宿条件不错，离着武林路很近，逛街比较方便，环境也算是不错 \n ', '短评打分': 5}
{'短评内容': '酒店位置不错,干净卫生。设施也齐全。', '短评打分': 3}
{'短评内容': '还可以 不错不错 就是有点旧 隔音效果不错', '短评打分': 5}
{'短评内容': '住的地方离西湖，火车站什么都挺近的，酒店房间也还挺大的。', '短评打分': 5}
{'短评内容': '服务态度不错，地脚也还好，赞一个吧，对于我来说比预想的好一些，只有一个小小缺点，防不胜防，就是发卡片的太多。作为一个女生，我还是忍忍吧。', '短评打分': 5}
{'短评内容': '价格便宜，环境不错，对的起这个价格。周围商场不少，爱买东西的有福了。', '短评打分': 5}
{'短评内容': '     酒店服务很好，设施也还行，在市中心这样已经非常不错了，酒店也很容易找，交通很便利！', '短评打分': 3}
{'短评内容': '带着老爸老妈来杭州，假日之星离西湖挺近。环境不错。交通方便。只是美中不足有人经常发色情广告。搞得老爸不开心', '短评打分': 5}
{'短评内容': '如果是要逛街的，位置确实不错，往前走50米，马路对面就是银泰啊、杭百啊；往东走50米，马路对面就是杭州大厦、武林广场。不过，这时候杭州为造地铁弄得像工地，进出有点不方便。至于酒店嘛，这么好的位置这种价位，还是比较值的', '短评打分': 5}
{'短评内容': ' 不错，挺舒适的，空调有些旧。', '短评打分': 3}
{'短评内容': '位置好，但是设施太陈旧，空调象拖拉机一样，一整夜都睡不着，被套黑乎乎的让人不放心。', '短评打分': 1}
{'短评内容': '我入住的是家庭房，小床房和大床房是分开的，有两个空调，很实惠，地处市中心，出行很方便，服务态度很好，我会介绍给朋友的', '短评打分': 3}
{'短评内容': '地处杭州繁华地带，坐机场大巴到隔壁就是杭州出名的知味观。酒店不远就有到杭州西湖各景点的公交车，离公交站都很近很方便。步行到西湖断桥大概需要20分钟。附近很多品牌服饰店', '短评打分': 5}
{'短评内容': '房间总体还是不错的.位于市中心，地理位置优越，房间设施尚算满意，价钱算实惠了', '短评打分': 5}
{'短评内容': '位置还可以，到西湖和武林广场比较近，就是客房设施比较陈旧，骚扰卡片多。价格和周围如家7天这类比没有优势', '短评打分': 5}
{'短评内容': '还可以，房间不错，就是枕头太矮了，总会有小纸片塞进来', '短评打分': 5}
{'短评内容': '位置很好，就在步行街里。确实如前面有人说的那样，不推荐，即使刚重新装修过，床单和被罩都是新的，但是家具很旧，尤其是卫生间和洗手间很破旧，很脏！', '短评打分': 1}
{'短评内容': ' \u3000环境不错，出行也方便', '短评打分': 3}
{'短评内容': '房間簡單乾淨，而且離西湖很近，散個步就到了', '短评打分': 3}
{'短评内容': '房间总体还是不错的.只不过那天住的位置不太好,靠近马路的,晚上车子声音有点响.', '短评打分': 5}
{'短评内容': '位于市中心，地理位置优越，房间设施尚算满意，价钱算实惠了', '短评打分': 5}
{'短评内容': '住的是旁边的楼，下面是饭店，油烟味很大，夜里也不安静，装修比较差，不过交通很方便', '短评打分': 1}
{'短评内容': '乾淨整潔的酒店.附近就是各大百貨商場.公交車與小吃都很方便.酒店旁還有間不錯的足浴店', '短评打分': 5}
{'短评内容': '距离市区是挺近的 ··不过环境不怎么好啦', '短评打分': 5}
{'短评内容': '还不错 ～邹晓云', '短评打分': 3}
{'短评内容': '位置非常优越,出门就是银泰,武林广场,房间的设备是旧了些,不过服务还不错,总体来说,性价比还是挺高的.位置不错，性价比很高！', '短评打分': 5}
{'短评内容': '酒店的确有点旧，感觉有点乱乱的，要是我自己一个人我都不敢住。门口竟然还有站街女，而且老有人往屋里塞那种图片，床单被套不怎么干净，茶具也比较旧。', '短评打分': 1}
{'短评内容': '地理位置极好 不过第一天入住的家庭房空调是坏的 房间也比较旧 第二天换了间就好多了', '短评打分': 5}
{'短评内容': '酒店地理位置好 房间很干净  设施齐全 就是隔音一般', '短评打分': 3}
{'短评内容': '酒店没有如家好，单很干净对得起价格,订不到如家我还会住，位置很好可以停车。', '短评打分': 5}
{'短评内容': '非常方便，离机场大巴停靠站，西湖等都很近，大商场就在眼前。', '短评打分': 3}
{'短评内容': '一直去杭州出差定这里，但这次入住感觉不好。房间很旧，有点破，设施很一般。价格倒是便宜。', '短评打分': 5}
{'短评内容': '房间舒适以度一般，总的来说还可以！商区地理位置很方便！', '短评打分': 5}
{'短评内容': '以前去杭州都住那，主要是方便，吃饭购物都在那一块，也习惯了。可是酒店的设施真的越来越旧了，墙上都掉皮了，哎，看的那个不舒服啊，我呢嫌麻烦也就凑合下了，下次看来得换如家了', '短评打分': 1}
{'短评内容': '在银泰出差一直住的这里。房间比较大，性价比算高的。', '短评打分': 5}
{'短评内容': ' 酒店地理位置挺好  总体还好', '短评打分': 3}
{'短评内容': '设施太旧了，空调太不给力了，一点也不热，水也不热。。大冬天的都冻感冒了。。', '短评打分': 1}
{'短评内容': '位置不错，性价比很高！很适合当临时落脚点', '短评打分': 5}
{'短评内容': '酒店位置很好，周边购物方便，离西湖很近。酒店房间也不错，比较温馨，比较安静。', '短评打分': 5}
{'短评内容': '地理位置非常优越,出门就是杭百,银泰,武林广场,去西湖也挺近的,房间的设备是旧了些,不过服务还不错,总体来说,性价比还是挺高的.', '短评打分': 5}
{'短评内容': '空调效果不好,冻了一晚上,不知酒店有没有考虑安装中央空调呢?\n', '短评打分': 1}
{'短评内容': '还不错，性价比高', '短评打分': 3}
{'短评内容': '离机场大巴和银泰百货都很近，虽然外观比较陈旧房间比较小但还算干净，赢在地理位置了。', '短评打分': 5}
{'短评内容': '推荐，安静', '短评打分': 3}
{'短评内容': '房间够大，部分装修过的房间不错，价格反而还降了一点。没装修的稍微有点点旧。总体性价比不错。', '短评打分': 5}
{'短评内容': '每次去都住这家酒店，环境好，卫生好，而且离商场特别近，很方便，值得推荐', '短评打分': 5}
{'短评内容': '地段好，离杭州大厦和银泰都很近。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离杭州大厦近,非常方便,周围吃的也多~价格便宜,首选~', '短评打分': 5}
{'短评内容': '地理位置优越，处在市中心，出门就是武林广场，交通方便\n设施虽小但是齐全，干净\n不足之处是走廊上有楼下餐馆厨房的油烟，房间内倒是没有什么味道', '短评打分': 5}
{'短评内容': '酒店位置很好，方便逛街，房间卫生也还可以，就是晚上有蚊子，墙面有地方墙纸脱落，走廊上的天花板有好几个洞，看的好无语，旁边是所学校，最关键的一点，居然没有电梯的，就价格来说还是可以推荐的', '短评打分': 5}
{'短评内容': '地理位置很好，房间也很干净。价格相对于上海同档次酒店还要高，只图个出行方便罢了。', '短评打分': 5}
{'短评内容': '非常一般，在此地段也只能这个价格也只能这样了，理解。', '短评打分': 5}
{'短评内容': '经常在武林广场附近出差，交通很方便。房间很大，还不错。', '短评打分': 5}
{'短评内容': '性价比还可以，较安静，就是洗发水不好，洗完头发粘粘的。。。', '短评打分': 5}
{'短评内容': '空调声音很大,其他一般般，不过众价位也不高，位置好，总体物有所值。', '短评打分': 5}
{'短评内容': '酒店位置很方便，性价比比较高，但是酒店设施有点老旧了', '短评打分': 5}
{'短评内容': '住的是3号楼特价房168元/间,价格便宜,但是设施环境稍微差了点，没有电梯,楼下是个餐馆,油烟直往串,味道很重,好难受!', '短评打分': 5}
{'短评内容': '住一号楼，标房比想像中的大，装修旧了点，但床单什么的还是蛮干净的。靠近商业区，但是不吵，周围交通饮食都方便。', '短评打分': 5}
{'短评内容': '环境不是一般的简陋，带着外国友人入住好没面子呀！哎', '短评打分': 3}
{'短评内容': '位置不错在市中心,步行即可到西湖,出门旁边就是饭店,前面有银泰百货,还有很集中的公交车站,房间有点旧旧的还很吵下次一定记得离马路远点. \n', '短评打分': 5}
{'短评内容': '房间较大，就是装修很老，墙纸脱落的很多！', '短评打分': 3}
{'短评内容': '一直住，值得推荐！无论出行，购物，旅游都很方便！ \n', '短评打分': 5}
{'短评内容': '一直住，值得推荐！无论出行，购物，旅游都很方便！', '短评打分': 5}
{'短评内容': '国庆节来住比平时贵100元。房间很小，装璜很简单，地面是斜的！床也不太舒服，不过卫生还不错。住一、二天还可以接受。在人潮如织的时候，可以步行去西湖，不用为打不到车或做不上公车而发愁。', '短评打分': 5}
{'短评内容': '位置不错在市中心,步行即可到西湖,出门旁边就是饭店,前面有银泰百货,还有很集中的公交车站,房间有点旧旧的还很吵下次一定记得离马路远点.', '短评打分': 5}
{'短评内容': '还行吧挺干净但是房间有点旧旧的还很吵下次一定记得离马路远点', '短评打分': 3}
{'短评内容': '.还好', '短评打分': 3}
{'短评内容': '这是我住的最倒霉，心情最差的一次，第二天一早要出去玩的，前晚却和蚊子抗战。优惠房住到旧舍区来了，没有房的话就不要营业好了嘛，房间里的设备超旧，墙看起来也很脏，床单也不干净。', '短评打分': 1}
{'短评内容': '以前在家的时候每次去杭州都是住那，老爸之前还办过一张卡，不过给他不知道放哪去了~这次和老妈阿姨逛街，住的就是那~很方便，旁边是GDA PLaza，对面就是银泰百大。\n门口就是一家餐馆，很具有性价比的餐厅噢，菜也不错~房间隔音效果有点差，床单估计是那个颜色，看上去有点脏脏的~不过总体来说还好~我希望就是以后如果是会员的话，是不是可以延迟退房时间呢~', '短评打分': 5}
{'短评内容': '地理位置好，舒适，安静，家庭房非常合算；\n酒店用品有些旧，不过廉价酒店，要求不能太高', '短评打分': 5}
{'短评内容': '位置不错在市中心,步行即可到西湖,出门旁边就是饭店,前面有银泰百货,还有很集中的公交车站.我订的房间是一张大床,收拾的挺干净的,每天都有更换的拖鞋,牙刷牙膏还有浴帽.电视也挺大的,就是有小广告晚上,我住在一楼半夜不是很安静,总体还可以.', '短评打分': 5}
{'短评内容': '交通非常方便，适合购物住，对面就是银泰，但卫生比较一般', '短评打分': 5}
{'短评内容': '同等价位环境还算可以,就是隔音效果差些', '短评打分': 3}
{'短评内容': '＋环境和布局都不错，就是在夜间就寝时房间隔音效果不好…', '短评打分': 3}
{'短评内容': '＋普通，出行方便', '短评打分': 3}
{'短评内容': '＋地理位置挺不错的，在市中心，周围有蛮多商场，适合逛街。房间不大，比较整洁，就是床有点硬。', '短评打分': 3}
{'短评内容': '酒店基本上还算干净，但是设施都很陈旧，电视也很差', '短评打分': 1}
{'短评内容': '特价房楼层高没电梯', '短评打分': 3}
{'短评内容': '酒店位置好，逛街方便就餐购物都很方便，环境也不错，门口有家餐馆菜不错，也不贵', '短评打分': 5}
{'短评内容': ' 地理位置很不错，就在银泰对面，家庭房很宽敞', '短评打分': 3}
{'短评内容': '房间大小还好，装修旧了，卫生间布局一般，地理位置不错', '短评打分': 3}
{'短评内容': '酒店的位置离武林门机场大巴总站的位置很近，交通比较方便；周边餐饮也方便：有知味观、味加餐厅；就是酒店设置有些陈旧。', '短评打分': 5}
{'短评内容': '地理位置非常好，但是卫生条件不怎么样，也没有电梯，厕所房间都比较脏，网络用不了不知道原因，因为无所谓所以没去前台咨询', '短评打分': 1}
{'短评内容': ' 房间干净 订的家庭房有两间都是大床 性价比高 很好', '短评打分': 3}
{'短评内容': '经常去杭州出差的，因为每次都有带外国人。再加上经费的原因，所以很多酒店都不让入住。因为离要办事的银泰非常近。所以就选了这家店。方便实惠吧。', '短评打分': 5}
{'短评内容': '酒店正在装修，希望装修后的店能让人更喜欢。目前除了装修时带来的很多不便之处外，其它的还不错。外籍人员也能入住。（旁边有好几家店有限制）。还不错。', '短评打分': 5}
{'短评内容': '入住的时候酒店正在装修，乘电梯时油漆味和油漆喷雾很严重。如果做好保护措施就好了。有些房间偶尔会渗透有气味。价格还算实惠，在武林广场附近算不错的了。房间也还算大。', '短评打分': 5}
{'短评内容': '确实和大家的评论一样，酒店环境确实一般，虽然推荐，但是仅限于地理位置好，其它真心的一般般，如果想坐机场大巴和逛街方便建议看看旁边的如家，一墙之隔', '短评打分': 5}
