{'descr': '还不错。。。。', 'star': 5}
{'descr': '房间性价比很高', 'star': 5}
{'descr': '房间一股味道', 'star': 3}
{'descr': '凌晨两点半给“轰炸机”吵醒，起来后发现，有3片蚊香片，却没有蚊香器，怎么用？都11月中旬了，怎么还有蚊子？酒店靠马路边，太吵了，早上6点就“逃”出房间了。', 'star': 1}
{'descr': '还不错。。。。', 'star': 5}
{'descr': '快捷方便，经济实惠，不错的选择。', 'star': 5}
{'descr': '还不错。。。。。。', 'star': 5}
{'descr': '好评，好评。。。。好评。。。', 'star': 5}
{'descr': '非常干净整洁，停车方便，这2点足够了', 'star': 4}
{'descr': '环境优美！交通便利', 'star': 5}
{'descr': '交通便利！环境优美', 'star': 5}
{'descr': '环境好、价格实惠！服务热情', 'star': 5}
{'descr': '从进门前台服务态度到入住房间设备设施，都不尽人意，尤其隔音墙不好，经常听到附近房间打扫卫生，吵到睡不着。希望酒店加强对前台人员的培训，尤其礼仪培训。', 'star': 3}
{'descr': '第二次入住，非常推荐的一家酒店！房间可开窗，自然通风的感觉真好。不仅如此，客房服务和前台服务非常赞，入住和结账都非常迅速。  最最让我感激的是如家对客人遗失物品的处理。这次由于自己的疏忽而遗忘了一本书和疯6充电器及数据线，回来后隔了一天才发现，结果和店里一联系，发现一切居然都在！真是让我心存感激。而且工作人员立马用顺丰速运寄送给我，省却我很多不便，却增加了他们不少工作量……真是惊喜连连……心想，今', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '每次都住这里，感觉不错', 'star': 3}
{'descr': '你就是军事基地开发能否快点康复', 'star': 5}
{'descr': '还可以，下次还住', 'star': 4}
{'descr': '不错，房间比较安静，干净', 'star': 5}
{'descr': '服务很好,也很干净', 'star': 5}
{'descr': '服务很好,也很干净', 'star': 5}
{'descr': '很不错，一直都住这里。。。。。。。。。。', 'star': 5}
{'descr': '挺干净的，住着蛮舒服的，离市区也很近，价格也很实惠。', 'star': 5}
{'descr': '很好的酒店，各方面都不错，值得去住。去试试吧。', 'star': 5}
{'descr': '酒店的卫生情况还好，环境也不错，离市区很近，周边吃饭的地方很多。\n总体来说性价比很高。', 'star': 5}
{'descr': '很好，很干净,唯一的不足是被安排在了电梯口的房间，有点吵', 'star': 5}
{'descr': '酒店很好，就是电视机有点坑爹，房间布置的很漂亮，很喜欢', 'star': 5}
{'descr': '还不错，跟其它地方的如家一样,交通也算是便利', 'star': 5}
{'descr': '挺好的 卫生很感情 周围环境也好 就是房间有点小', 'star': 5}
{'descr': '还可以。', 'star': 3}
{'descr': '干净就是有点偏僻但是很安静住的很舒适希望房间里有点备用可以买的吃的', 'star': 5}
{'descr': ' 房间可以，卫生可以，网速太差，开网页都费劲', 'star': 3}
{'descr': '蛮舒服的，有机会下次继续入住。', 'star': 3}
{'descr': '很好的酒店，很安静，离市区也不远，很不错', 'star': 5}
{'descr': '蛮好的~服务也很好，只是隔音不是太理想。', 'star': 5}
{'descr': '如家这个店地理位置不错，房间很清新，住宿环境安静，尤其是还送早餐，和其他如家店比很超值', 'star': 3}
{'descr': '不错的   推荐去哦   市区   哈哈哈哈哈哈', 'star': 5}
{'descr': '挺好的，房间很喜欢。..................', 'star': 5}
{'descr': '和想象的一样，很满意。离酒店不远处，晚上的夜景很好哦，给人很安逸的感觉，下回还去那里住。', 'star': 5}
{'descr': '整体非常舒适，房间布局也很温馨，一应设备齐全。不得不说，国内的快捷酒店，如家还是算成熟和完善的。', 'star': 5}
{'descr': '真的真的很不错，早餐很好吃，环境也还不错。', 'star': 5}
{'descr': '车停酒店门口竟然是城管贴条违章，大家注意啊！！！', 'star': 5}
{'descr': '太仓经济型酒店不少。卫生都不是很好，选了这家如家，感觉服务都不错。\n还有停车位。   早餐东西不是很多。', 'star': 5}
{'descr': '感觉还可以，位置稍偏', 'star': 3}
{'descr': '卫生间到了晚上就会有味道。不知道为什么。第一次去的时候七楼的蛮好的。后来去的是四楼的。隔音设备好差。就是因为第一次安静所以才会选这里的。', 'star': 5}
{'descr': '还行。第一次去环境有点吵。后面去了一次还行。就是拖鞋容易坏。打电话说再要一双。结果还问我是怎么坏的。', 'star': 5}
{'descr': '介绍的距离市中心0.5公里有点悬啊，一条路走到底，差不多10分钟，有1公里吧。如家的设施都是标配啊，唯一不太好的是，马桶盖子是坏的，悲剧，没有拍照，要不然就是有图有真相了。', 'star': 1}
{'descr': '夜里走道外面有吵闹，隔音不是很好', 'star': 3}
{'descr': '连续住了5个晚上，感觉很不错，环境卫生干净、工作人员热情、有礼貌，下次出差还会继续选择入住，也值得推介给大家。', 'star': 5}
{'descr': '房间卫生干净，工作人员热情、有礼貌，周边环境安静、舒服，遗憾的地方是位置比较偏僻。', 'star': 5}
{'descr': '交通方便，环境不错，就是房间有点小，不过整体印象还是很不错的', 'star': 5}
{'descr': '酒店位置还行。很小啦，东西都很一般，不过价格毕竟在这摆着。', 'star': 5}
{'descr': '以前很好，今年服务及卫生差了，望改善，暂且再支持一下。', 'star': 5}
{'descr': '前年、去年来住过，那时觉得服务很好，房很干净。今年来住觉得服务差点，床有点脏。如改善值得住', 'star': 5}
{'descr': '环境不错，地处市中心，交通方便。下次还会入住！', 'star': 5}
{'descr': '有他的特色，感觉不一样，清洁并且简单，不失优雅', 'star': 5}
{'descr': '酒店总的来说还不错!下次去太仓还会继续入住的！', 'star': 5}
{'descr': '不错，干净，服务好，就是离旺点远了一点。', 'star': 5}
{'descr': '如家一直给人的感觉是温馨舒适，24小时的热水，舒适的床铺，下次去太仓还会住如家', 'star': 5}
{'descr': '感觉不错，很温馨！洗澡水也很热很大，被子是粉红色的，很喜欢！', 'star': 5}
{'descr': '酒店不错，卫生很好，服务人员很热情，环境也非常好。', 'star': 5}
{'descr': '服务一般，整体感觉还不错，交通业很便利。房间舒适度很不错。', 'star': 5}
{'descr': '非常好,服务专业,设施基本齐全,卫生状况良好,离市中心五分钟车程.', 'star': 5}
{'descr': '好像家的感觉', 'star': 3}
{'descr': '性价比很高的一家酒店，地理位置好，设置很新，而且周围购物旅游都很方便。住了很多次了，下次还会住的。', 'star': 5}
{'descr': '房价不错，干净，如家的标准风格，宾馆的位置也不错，周围吃饭也方便', 'star': 5}
{'descr': '離市區近,交通方便,房間乾淨優雅,服務態度良好!', 'star': 5}
{'descr': '位置闹中取静,环境干净舒适,服务专业礼貌.', 'star': 5}
{'descr': '酒店较新，地理位置闹中取静，房间面积大，设施齐全。', 'star': 5}
{'descr': '环境不错，很温馨', 'star': 3}
{'descr': '房间挺大，离人民广场也近，挺好', 'star': 3}
{'descr': '环境很好，里面也很干净，网速也挺快的。推荐朋友们来这里。', 'star': 5}
{'descr': '入住环境很好，服务态度很好！下次还会入住', 'star': 5}
{'descr': '一如继往的喜欢如家的风格！很轻松舒适。', 'star': 3}
{'descr': '干净舒适，位置比较幽静，价格也比较实惠。微笑服务很周到', 'star': 5}
{'descr': '这次住的是五楼安静，整洁的环境，床单是粉红的，很cute~下次来太仓还住这里~', 'star': 5}
{'descr': '很不错啊看着很温馨啊服务也很好！', 'star': 3}
{'descr': ' 服务很满意', 'star': 3}
{'descr': '地段不错，公车太少，马路边上有点吵。。。。', 'star': 5}
{'descr': '环境很好，干净，很新，不错！', 'star': 3}
{'descr': '床 头灯的颜色我很喜欢，床单的颜色也很好看，周围的风景也不错。', 'star': 5}
{'descr': '房间很温馨，窗外的风景也不错，下次还会入住，前台服务也好。', 'star': 5}
{'descr': '＋干净，安静', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '真心不错，蛮热情的服务，房间也很安静~~各种不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': ' 环境挺好的 而且交通方便 去太仓公园［弇园］只要步行十分钟！', 'star': 3}
{'descr': '环境不错，安静！', 'star': 3}
{'descr': '还可以，旁边就是南阳广场，非常方便\n而且周边的设施和环境也都不错~~~~~~~~~！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '挺容易找的，价格也实惠。住得挺舒服，有宽带，很晚去到也有停车位。住了很多地方的如家，最满意这家了。', 'star': 5}
{'descr': '服务周到，环境舒适，让人感觉如家的感觉，，，，，，', 'star': 5}
{'descr': '干净，安全，服务态度好，晚上比较安静，但早上楼下附近有施工的六点左右就吵醒了，然后九点就又安静了，整体还是很不错的。', 'star': 5}
{'descr': '还不错的，服务人员也很热情！下次来还住那边', 'star': 5}
{'descr': '不错，性价比不够，以后来太仓就住这家。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 房间还可以', 'star': 3}
{'descr': '感觉不错，服务不错，干静的，就是在酒店用餐价格高', 'star': 5}
{'descr': '性价比不错，呵呵，下次还会住的，，服务员很热情', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境辟静', 'star': 3}
{'descr': '服务态度很好，也比较安静', 'star': 3}
{'descr': '酒店条件一般，声音比较大,但还是比较便宜', 'star': 5}
{'descr': '房间很不错，和舒服。价格也还可以，下次一定还会入住。', 'star': 5}
{'descr': '环境好，服务好，电脑桌有些窄了，其他的总体还好啦。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '很安静的酒店，酒店的服务员也很热情，停车位也比较多。下次继续', 'star': 5}
{'descr': '出去旅游一直都住在如家，真的很不错，              赞', 'star': 5}
{'descr': '不错的酒店，价格又便宜，房间的被子是绿色的，很漂亮', 'star': 5}
{'descr': '如家一直以来给我的感觉都还是不错的，所以还是相当满意！', 'star': 5}
{'descr': '很好的房间，粉色的被子，左右各一个紫色和橙色的吊灯，深紫色的窗帘，白色的纱帘，相当的好！', 'star': 5}
{'descr': '服务条件都满意', 'star': 3}
{'descr': '环境不错，比较安静。', 'star': 3}
{'descr': '服务很好', 'star': 3}
{'descr': '不错，房间布局很好，我喜欢，价格比较合理，位置也比较好。', 'star': 5}
{'descr': '环境不错，服务态度也很好，服务员态度很亲切。价格适中。', 'star': 5}
