{'短评内容': '位置还可以，吃东西很方便', '短评打分': 5}
{'短评内容': '还可以吧，十一期间价格稍高，周围吃东西很方便', '短评打分': 5}
{'短评内容': '早餐很少种类，没有停车场', '短评打分': 3}
{'短评内容': '有早餐，没有停车场，床不舒服，踏腰的厉害，还算干净，吃东西挺方便的，十一高峰期出行，就不能挑剔太多了', '短评打分': 5}
{'短评内容': '酒店基础设施很差，水龙头没法用，很不方便，房间给人感觉也很暗。但是位置比较好，比较方便。早餐很一般。', '短评打分': 3}
{'短评内容': '环境非常差 没住 直接结账换地方', '短评打分': 1}
{'短评内容': '服务态度很好！', '短评打分': 5}
{'短评内容': '酒店位置却是很好 出门就是延吉医院 中关村 附近好吃的 丰茂串城 石锅酱汤 石锅拌饭 走路就几分钟 就是办公时 无线网络经常不稳定 在住宿期间有所减分！其他的都比较满意', '短评打分': 5}
{'短评内容': '不错，价格还行，没有暖气，但不冷', '短评打分': 5}
{'短评内容': '不错，价格还行，没有暖气，但不冷', '短评打分': 5}
{'短评内容': '到店说没收到订单，给携程打电话，问题解决，房间设施太旧，床都塌了，淋浴水流太小，早餐很简单', '短评打分': 3}
{'短评内容': '酒店地理位置很好，在延边大学附近，离延边百货大楼就500米，吃喝很方便。', '短评打分': 4}
{'短评内容': '一个字:好', '短评打分': 5}
{'短评内容': '水不热、电视看不了、电话不好使，屋里很暖和，床比较硬。', '短评打分': 3}
{'短评内容': '设施应该是有年头了，电视没有几个台，无线网络基本算没有。早餐还可以，离梅花狗肉馆很近，离百货大楼也挺近', '短评打分': 4}
{'短评内容': '房间破旧而去没有热水', '短评打分': 4}
{'短评内容': '房间有点老了地理位置好挺干净的早餐好', '短评打分': 3}
{'短评内容': '入住吉林延吉长虹大厦,满意!', '短评打分': 3}
{'短评内容': ' 很一般，价钱不低，环境一般，床不舒服，床单不干净，换了一个床单，还是不怎么干净。', '短评打分': 3}
{'短评内容': '门面很小，以为走错了，管理非常差，与其三星级的标准不符。', '短评打分': 1}
{'短评内容': '酒店位置很好，在市中心，大堂不起眼，房间比较舒适，但床垫的弹簧较硬，后院有个小停车场，停车还算方便，斜对面胡同里有家梅花狗肉馆，听过是老字号，很好，味道正宗，也不贵，极力推荐！', '短评打分': 5}
{'短评内容': '交通便利，设施一般。早晨5点想用热水但是没有。服务态度尚需提高，入住第一天的早餐券未能及时送上门。', '短评打分': 5}
{'短评内容': '离延边医院很近，房间很大。俄罗斯人很多，大妈有点吵', '短评打分': 5}
{'短评内容': '住宿条件很好，房间很大，我很喜欢下次还去！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常满意谢谢!', '短评打分': 3}
{'短评内容': '环境好，服务好，酒店价格合适，11111111111', '短评打分': 5}
{'短评内容': '没有24小时热水：（', '短评打分': 3}
{'短评内容': '十一点起床，想洗个热水澡然后退房。。。结果没热水~~~', '短评打分': 5}
{'短评内容': '卫生间和房间都没有个隔开洗澡的话水全部喷到屋子里弄的哪儿都湿湿的，床也很硬，服务也很差，价格也很贵，唯一好的就是位置不错。', '短评打分': 1}
{'短评内容': '。。 成功陆住很好', '短评打分': 3}
{'短评内容': '  安静，干净＇舒适，很不错。。', '短评打分': 3}
{'短评内容': '挺好，干净，服务态度也不错，赞一个，积极推荐', '短评打分': 5}
{'短评内容': '酒店服务员服务态度好，酒店处于市中心，比邻百货大楼等购物中心。', '短评打分': 5}
{'短评内容': '酒店位置好，房间面积和床位的设置很人性化，价格合适，以后到延吉还住。', '短评打分': 5}
{'短评内容': '地处闹市，硬件可以，床垫差点，自来水很黄，建议改造！！！喝死人的！！！', '短评打分': 1}
{'短评内容': '还可以！', '短评打分': 3}
{'短评内容': '地理位置比较繁华，酒店的性价比不错，干净，服务员也不错', '短评打分': 5}
{'短评内容': '在延吉的市中心，出行逛街均方便，房间比较宽敞卫生，好像有很多俄罗斯旅行团住', '短评打分': 5}
{'短评内容': '酒店还可以，有房间，能即时入住', '短评打分': 5}
{'短评内容': '卫生间设施与挂牌三星不符,床的质量较差.', '短评打分': 1}
{'短评内容': '不错的选择，出行方便、卫生挺不错的，下次去会考虑再住的。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，各个方面都不错，下次还会住的。', '短评打分': 5}
{'短评内容': '很好，可以推荐朋友。', '短评打分': 5}
{'短评内容': '酒店在延吉医院对面，地理位置较为便利，后院可以停车。酒店虽然门面不大，但是200元一晚并有早餐，性价比还是相当不错的。房间大小适中，单人房是大床的，干净整洁，网速也比较快，可以看网络电视。早餐品种不是十分丰富，但还是很卫生，比较可口的。\r\n说说缺点吧，床垫有些硬，躺上去会感觉到床垫的钢条，有些咯得慌。淋浴水小了些，水质一般，不知道是不是延吉的水质不够好。', '短评打分': 5}
