{'短评内容': ' 客栈环境是我想象中丽江风情的样子 不错! 但是就是房费太高 店员服务好', '短评打分': 3}
{'短评内容': '离古城中心较远，比较偏僻。服务人员还是很热情', '短评打分': 1}
{'短评内容': '装修还可以，服务员也不错。房间隔音不好，晚上邻居的声音吵的睡不着', '短评打分': 1}
{'短评内容': '还过得去吧，房间很小。只是我们去的时候价格暴贵，那时的价和平时的价一个家庭房相差两百多，还是有点吓人。下次可能不会了。', '短评打分': 5}
{'短评内容': '古朴的客栈模式，设施配置都还是很不错的。', '短评打分': 5}
{'短评内容': '卫生很好，出去玩回来房间被打扫的很干净，给人感觉很舒适。', '短评打分': 5}
{'短评内容': '环境很好，床也很舒适。房间很温馨，整体来讲性价比还是比较好的酒店。', '短评打分': 5}
{'短评内容': '服务很好，客站员工都很认真完成客人交待的事宜。很周到。', '短评打分': 5}
{'短评内容': '非常适合生活的城市，环境悠闲，古镇里面的人交通工具就是走路。环境自然是非常好。', '短评打分': 5}
{'短评内容': '我们是秋天去的，客栈提供的是羽绒被，超级暖和，特喜欢。', '短评打分': 5}
{'短评内容': '房间装修很有特点，符合古镇的气息。', '短评打分': 5}
{'短评内容': '服务员办事很细心，交代什么事情也上心，对服务很满意。', '短评打分': 5}
{'短评内容': '客栈为顾客考虑的挺周到，有保险箱，可以把贵重的又不适合随身带的东西放进去，蛮好。', '短评打分': 5}
{'短评内容': '有古镇的味道，干净明亮，可能不适合商业人士住，但特别符合我的标准。', '短评打分': 5}
