{'短评内容': '不错，就是洗澡水有点小，停车场太小了。。。。。。。', '短评打分': 5}
{'短评内容': '不错的服务，附近有家的面做得很好吃。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '十兰州西兰国际大酒店价格偏高，服务不太好', '短评打分': 3}
{'短评内容': '酒店不错房间干净', '短评打分': 3}
{'短评内容': '酒店一般，设施比较老了。一开始的房间，淋雨房还漏水，漏的满卫生间。后来换了一个房间还凑合。', '短评打分': 5}
{'短评内容': '在兰州是不错的酒店，交通方便，餐饮方便。值得推荐', '短评打分': 5}
{'短评内容': '房间里有羊膻气的味道，早餐比较差劲，5岁多孩子还要收半价，很少见，下次不会再去了', '短评打分': 1}
{'短评内容': '价格有点高 早餐不错', '短评打分': 3}
{'短评内容': '酒店服务非常差。', '短评打分': 3}
{'短评内容': '酒店还可以，房间大且干净，就是设备老了点。', '短评打分': 3}
{'短评内容': '酒店太老了。跟价格对比不好。但是地理位置还不错。', '短评打分': 3}
{'短评内容': '<甘肃西兰国际大酒店（兰州）>试图进行一些管理上的改革，譬如走廊上的节能措施，但是人员管理上似乎有点脱节，晚上进入走廊，几乎漆黑一片。希望改进', '短评打分': 5}
{'短评内容': '酒店装修比较陈旧，交通方便，地理位置不错！', '短评打分': 5}
{'短评内容': '设施比较陈旧了，不够星级酒店的标准，但环境还算不错', '短评打分': 5}
{'短评内容': '房间装修过时了', '短评打分': 3}
{'短评内容': '感觉一般，特别旧，不值这个价格，下次应该不会住了', '短评打分': 1}
{'短评内容': '服务及环境都很好', '短评打分': 3}
{'短评内容': '早餐不行，服务很一般，我手套落在前台，居然丢掉，住的人素质一般。', '短评打分': 1}
{'短评内容': '酒店没有什么人气，冷冷清清，位置也不好，非常难以打车。', '短评打分': 1}
{'短评内容': '还行吧，有些勉强，老牌酒店，应该好好装修一下吧，早餐还凑乎吧!', '短评打分': 5}
{'短评内容': '房间很大，设施有点陈旧，被子很薄，又没热空调，半夜要冷醒。', '短评打分': 3}
{'短评内容': '强烈不推荐，价格高，房间脏，入住后发现卫生间很多杂物，再也不会去了！', '短评打分': 1}
{'短评内容': '住23层也不隔音，网速太慢，没有吹风机', '短评打分': 3}
{'短评内容': '价格不便宜，设施陈旧，最重要的是靠近大马路！晚上太吵了！！', '短评打分': 1}
{'短评内容': '酒店设施陈旧, 价格比当地同类酒店偏高. 而且门口打出租车很困难.以后入住可能性较低.', '短评打分': 1}
{'短评内容': '还好，服务不错，设施一般....................', '短评打分': 5}
{'短评内容': '这个酒店太差了，怎么能称国际酒店呢，楼道里黑的要命，房间设施陈旧。', '短评打分': 1}
{'短评内容': '服务不错，房间设施有点陈旧，楼道感觉非常冷清，有点暗，希望改善', '短评打分': 5}
{'短评内容': '环境不错，旋转餐厅很好，从高处俯视整个兰州，一览无余。', '短评打分': 5}
{'短评内容': '冬天暖气不好太冷设备较旧早饭不太好服务也不到位希望能改进', '短评打分': 1}
{'短评内容': '实在太差，又破又旧，对不起4星对不起这个价格！', '短评打分': 3}
{'短评内容': '和4星差距太大，450的房子和快捷酒店都没法比，早餐虽然在旋转餐厅，吃的不敢恭维，煎蛋都没有。以后还是安心住汉庭吧.', '短评打分': 1}
{'短评内容': '房间冷，作为北方城市，这个有点不应该。早餐没有夏天的时候种类多了，所以有打算住温暖点的，吃得好点的，就不要考虑这家酒店了。', '短评打分': 1}
{'短评内容': '酒店内的设施一般,唯一亮点就是顶楼的旋转餐厅！！', '短评打分': 5}
{'短评内容': '环境不错，交通方便，服务也可以，早餐一般。', '短评打分': 5}
{'短评内容': '酒店位置比较好，酒店设施也还可以，就是窗户非常不隔音，基本上一晚上都能听到路上车来车往，估计到冬天窗户的保暖也成问题。早餐还可以，下次来兰州如果住这里的话一定选择不靠马路一侧的房间。床比较硬，供大家参考吧。', '短评打分': 5}
{'短评内容': '西兰酒店是老四星酒店,装修巳老旧,以后再给顾客推荐时不要再说四星酒店.', '短评打分': 5}
{'短评内容': '地点稍偏，但离火车站比较近，打车起步价，7元左右。\r\n早餐简单了一些，但还可以，至少牛奶、面包什么的都有。', '短评打分': 5}
