{'短评内容': '设施设备老了，中央空调在下面，楼上吹不到，热', '短评打分': 3}
{'短评内容': '房间有些特点，床在楼上。房间整洁度少稍差点', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '一般，还行。。。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '攜程寫了有早餐，實際上沒有。', '短评打分': 5}
{'短评内容': '很好耶，幾年前來過一次⋯⋯很喜歡這種複試的房間，價格也划算', '短评打分': 5}
{'短评内容': '酒店服务相当差 到了酒店不到二十分钟 因为突发事件要退房 工作人员各种找理由不给退说话也不干净 这样的酒店的企业文化是怎样的？没有任何跟退钱有关的信息 工作人员完全自己做主', '短评打分': 1}
{'短评内容': '觉得一般般。', '短评打分': 3}
{'短评内容': '比较旧，有蟑螂', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '太一般了', '短评打分': 4}
{'短评内容': '里面房间很大，两层的比较有特色，但是电脑是摆设', '短评打分': 3}
{'短评内容': '好，不错', '短评打分': 5}
{'短评内容': '莲蓬头是坏的，向前台反应没有得到解决，Wi-Fi能连不能用', '短评打分': 3}
{'短评内容': '很失望，酒店设施很差，细节设计不合理。比如楼梯太滑，易伤到人。酒店周围宵夜倒是挺方便。', '短评打分': 1}
{'短评内容': '没有以前的雅思波斯客的服务好，感觉不是很好！希望在服务方面继续改进！', '短评打分': 5}
{'短评内容': '房间比较大，跃层的确实还不错，楼下很热闹，晚上什么吃的都有，并且名气超高的李米线就在酒店楼下，以前一直知道这家店，但不知道在哪儿，这次无意中找到了。', '短评打分': 5}
{'短评内容': '成都梦之旅一流!重庆梦之旅垃圾中既垃圾,**真係**!梦之旅買錯左間垃圾雅斯酒店啦......', '短评打分': 1}
{'短评内容': '宾馆不错，挺干净的。', '短评打分': 3}
{'短评内容': '很不错，除了网络有点不给力，其他都很好，大跃间，很给力。', '短评打分': 5}
{'短评内容': '先说说优点：1. 附近小吃很多，一直到很晚都有。\n            2. 房间的布置很有新意。\n再说说缺点：1. 淋浴用的是热水器，热水用完了就得等它再烧。\n            2. 床头没有灯。\n            3. 跃层房的二楼楼梯狭窄，楼板也不甚结实。\n            4. 沙发有些脏，电视太小，14寸。\n            5. 从大厅到房间的那段路，是在是脏', '短评打分': 1}
{'短评内容': '房间还算满意，\n服务稍微差点意思！\n性价比较高！', '短评打分': 5}
