{'短评内容': '很不错的东西啊很不错的东西啊', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是商圈，购物特别方便，交通也很便利；有地下停车场 80元一天；酒店卫生尚可，但是设备设施较为老旧.', '短评打分': 4}
{'短评内容': '适合购物狂', '短评打分': 5}
{'短评内容': '酒店位置优越', '短评打分': 5}
{'短评内容': '超级糟糕的酒店，房间设施老化，空调像坦克一样轰鸣，发票开不了，服务人员素质很差，好像什么都是她们有理。', '短评打分': 1}
{'短评内容': '周边商场很多', '短评打分': 5}
{'短评内容': '酒店干净，交通便利', '短评打分': 5}
{'短评内容': '服务好，离火车站商业区都很近', '短评打分': 5}
{'短评内容': '服务好，离火车站商业区都很近', '短评打分': 5}
{'短评内容': '服务好，离火车站商业区都很近', '短评打分': 5}
{'短评内容': '服务好，离火车站商业区都很近', '短评打分': 5}
{'短评内容': '服务好，离火车站商业区都很近', '短评打分': 5}
{'短评内容': '还不错，性价比挺合理的一家酒店，位置也还好', '短评打分': 5}
{'短评内容': '安静', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '房间设施算是哈尔滨住过的比较不错的，只是隔音效果巨差', '短评打分': 5}
{'短评内容': '客人入住这家酒店，总体感觉还不错。下次还会光顾\n', '短评打分': 5}
{'短评内容': '.非常好.干净.舒适', '短评打分': 3}
{'短评内容': '这酒店不象五星！', '短评打分': 3}
{'短评内容': '和饭店追求的级别比较，房间硬件条件一般。', '短评打分': 5}
{'短评内容': '位置非常好，就是房间不是很大卫生间有点小。离商业区很近。', '短评打分': 5}
{'短评内容': '＋交通便利，但设施陈旧，与五星极其不符！！！', '短评打分': 3}
{'短评内容': '已入住哈尔滨华融饭店。阴春和', '短评打分': 3}
{'短评内容': '房间还不错，挺干净的！交通很便利，酒店位置好！', '短评打分': 5}
{'短评内容': '中规中矩的老酒店，服务还行，性价比一般，位置一般，环境一般', '短评打分': 5}
{'短评内容': '中规中矩的老酒店，性价比一般，环境一般，位置一般', '短评打分': 5}
{'短评内容': '这有饭店很不错的，我是带着家人去的，服务很到位，下次还住这里。', '短评打分': 5}
{'短评内容': '提前预定的房间，但到了前台时，莫名其妙的多要了一百多元，说是酒店最低折扣没有这个价，与前台小姐发生了点小小不愉快，但很快网站和前台联系后问题得到了解决，按照之前预定价格付费。\n服务态度一般，门童不错，会帮忙把行李送到房间，客房服务不错，反应比较及时，房间也还好，比较大，卫生间有些小。\n总的来说还是不错的，地理位置较好，购物方便，毗邻地下红博、松雷、秋林、远大购物中心，步行十多分钟可到哈尔滨火车站。', '短评打分': 5}
{'短评内容': '这是一家很好的酒店，我们是通过朋介绍住在这里的，在当地算得上是一流的酒店，服务很到位，房间很大，住着很满意。下次来哈市还住这里。', '短评打分': 5}
