{'短评内容': '价格实惠，房间干净，出行方便', '短评打分': 5}
{'短评内容': '(⊙_⊙)好好好好好', '短评打分': 5}
{'短评内容': '还可以吧把', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的环境', '短评打分': 5}
{'短评内容': '酒店不错离车站近，性价比很高', '短评打分': 5}
{'短评内容': '房间空间大，干净，卫生，安静，适合居住', '短评打分': 4}
{'短评内容': '还可以，主要是价格便宜', '短评打分': 4}
{'短评内容': '酒店有点老，住起来还是很方便。', '短评打分': 4}
{'短评内容': '很普通', '短评打分': 3}
{'短评内容': '还不错，下次还来', '短评打分': 4}
{'短评内容': '酒店不错，环境还可以。', '短评打分': 5}
{'短评内容': '还不错。前台美女很热情，服务很好。', '短评打分': 4}
{'短评内容': '房子整体不错，就是房间不太隔音，还有就是不好找，司机找了好一会才找到。', '短评打分': 5}
{'短评内容': '住的条件不错，地方有点不好找，在一个大胡同里。总体还可以。', '短评打分': 3}
{'短评内容': '感觉房子有点旧了   屋子里有点味道   总起来说还可以', '短评打分': 5}
{'短评内容': '＋房间不错。服务也挺好的', '短评打分': 3}
{'短评内容': '服务很好，网线不好，马上给我更换了房间。', '短评打分': 5}
{'短评内容': '店服务态度特别差。也不干净。', '短评打分': 3}
{'短评内容': '房间大的惊人…惊喜，装修时间应该比较早了，有点陈旧，设施简单了点，落地大窗户，过瘾…价格给力', '短评打分': 3}
{'短评内容': '经济型就这样了，房间太大空旷，卫生一般，设施不齐全', '短评打分': 1}
{'短评内容': '服务态度很好   酒店很干净 房间比较大  不错', '短评打分': 5}
{'短评内容': '很不错,位置很好,周围有很多饭店,方便,离各景点都不远,房间也很大,', '短评打分': 3}
{'短评内容': '环境不错，附近有饭馆、超市、电子市场等服务设施，今年春节期间去的酒店无餐（唯一不太方便），酒店服务挺好。交通较方便，下高速出口不远即到，距离大明湖比较近，总之，下回再去济南还定速八。', '短评打分': 5}
{'短评内容': '非常不错，商务间物超所值，网线不好使，经理马上给换房了', '短评打分': 5}
