{'短评内容': '别的到挺好的。 就是我的洗面奶落在酒店里。 说好寄回来。结果没消息了', '短评打分': 5}
{'短评内容': '房间就这样，不算太好，也还可以，就是酒店Wi-Fi太慢了', '短评打分': 5}
{'短评内容': '夫妻', '短评打分': 5}
{'短评内容': '还行吧，安静卫生，不吵闹。交通便利，容易找到', '短评打分': 4}
{'短评内容': '确实是很老旧。', '短评打分': 3}
{'短评内容': '很好，很安静，交通也方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '周边环境不错！', '短评打分': 5}
{'短评内容': '环境不错，交通方便，又是市中心，价格不贵，步行到市政府以及人民广场5分钟就到了，大堂宽敞，气派，朋友说下次再来住。', '短评打分': 4}
{'短评内容': '房间有点旧，但还是可以的！性价比高', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': 'Located at junction of 2 main roads. Restaurant has good standard. Acceptable staff service.', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '比较旧了！', '短评打分': 4}
{'短评内容': '还可以，就是简陋些！', '短评打分': 4}
