{'短评内容': '不错，空气很好', '短评打分': 4}
{'短评内容': '无早餐，位置离杉湖近，没停车位', '短评打分': 3}
{'短评内容': '桂林红竹度假酒店距离医学院非常的近，方便第二天的安排。而且桂林红竹度假酒店距离市中心也很近，方便了许多。', '短评打分': 5}
{'短评内容': '桂林红竹度假酒店距离医学院非常的近，方便第二天的安排。而且桂林红竹度假酒店距离市中心也很近，方便了许多。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '有特色', '短评打分': 5}
{'短评内容': '老板服务态度很好，地理位置方便，其实桂林也不大，住在这里去哪都还算方便，旅游景点都在室内，这个很有特色', '短评打分': 5}
{'短评内容': '老板服务态度很好，地理位置方便，其实桂林也不大，住在这里去哪都还算方便，旅游景点都在室内，这个很有特色', '短评打分': 5}
{'短评内容': '老板服务态度很好，地理位置方便，其实桂林也不大，住在这里去哪都还算方便，旅游景点都在室内，这个很有特色', '短评打分': 5}
{'短评内容': '离桂林医学院很近', '短评打分': 5}
{'短评内容': '本店环境优雅，服务态度较好，值得信赖', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '周边环境是一流，就在“两江四湖”景区内，大路边。就是房间设施比较旧了，而且没电梯。 没湖景标间了，免费升级为湖景豪华间，正点！', '短评打分': 4}
{'短评内容': '房间很大装饰很有特点就在桂湖边上很好', '短评打分': 3}
