{'短评内容': '洒店位于火车站附近、晚上安静是优势，其它没有什么值得推茬的。', '短评打分': 3}
{'短评内容': '差，空调没温度，三个人两个感冒了，被子薄小孩子后半夜鼻子堵住了，难受，房间没洗脸毛巾，反正以后再也不会去了，只有服务态度将就', '短评打分': 3}
{'短评内容': '房间比较冷，环境一般，老板服务态度好，设施不完善。', '短评打分': 3}
{'短评内容': '全程无热水 味道重 服务一般 下楼问老板热水 老板说12点才有 定房 请慎重啊 没有热水空调开不了 慎重', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般吧，火车站附近的酒店这个价格大家可想而知了', '短评打分': 3}
{'短评内容': '差的离谱 在也不住了', '短评打分': 1}
{'短评内容': '环境卫生差，味道难闻', '短评打分': 2}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '唯一的优点是离火车站近', '短评打分': 1}
{'短评内容': '房间价格便宜，就是不会备用毛巾，自带、', '短评打分': 4}
{'短评内容': '和前面一样。不再多说了', '短评打分': 3}
{'短评内容': '这个宾馆离火车站很近，非常好找。同时条件也好，服务态度好。', '短评打分': 3}
{'短评内容': '交通便利！适合出差赶车人事！', '短评打分': 5}
