{'descr': '价格便宜，好用，下吧次还来买。支持京东', 'star': 5}
{'descr': '最少5个字', 'star': 5}
{'descr': '干净卫生，房间大，窗户大', 'star': 5}
{'descr': '非高好！住的很满意的一家酒店！一进门前台就非常热情，房间打扫的也很干净！早餐丰盛品种也很多！第一次觉得各方面都很好！价格也实惠！以后出门首选！是重点商场大型超市都离的很近！', 'star': 5}
{'descr': '酒店坐落在奥体中心附近，交通便利，门口就有公交站台，不管是去汽车火车站还有恐龙园都有公交直达。环境清净，附近还有一个公园。爱锻炼的朋友不管是去奥体中心还是公园都近。酒店干净卫生，设施齐全，还可以加被，服务热情亲切，让人有一种宾至如归的感觉。是出行的首选', 'star': 5}
{'descr': '酒店干净卫生，周边有超市，交通便利。离奥体体育馆也近，爱锻炼的朋友还可以早晚去锻炼一下。还有热水壶可以自己烧水泡茶喝。酒店服务热情周到，让人感觉温馨舒适。是出行的首选', 'star': 5}
{'descr': '到天宁区行政服务中心方便', 'star': 5}
{'descr': '连续住了6晚，房间还不错，最起码没有别的酒店、宾馆的那股下水道臭味。', 'star': 5}
{'descr': '其它还好，就是停车不是很方便。。', 'star': 5}
{'descr': '房价很便宜，尤其用完优惠券之后。', 'star': 5}
{'descr': '房间很干净，价格便宜，挨着市政府比较近', 'star': 5}
{'descr': '京东购物很满意，质量售后服务都很好。。。。。。。。。', 'star': 5}
{'descr': '京东购物很满意，质量售后服务都很好。。。。。。。。。', 'star': 5}
{'descr': '出差住的，水单不能开房费金额，第一次碰到', 'star': 4}
{'descr': '会经常来，服务不错，早餐也挺好的', 'star': 5}
{'descr': '能开专票，非常方便，服务也很好', 'star': 5}
{'descr': '同事说还不错', 'star': 5}
{'descr': '挺好的选择！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '环境干净，交通方便。', 'star': 5}
{'descr': '出差已经住了好几次了', 'star': 4}
{'descr': '还可以', 'star': 3}
{'descr': '还是一如既往的干净，挺好。', 'star': 5}
{'descr': '还行吧，没有停车场，别的还可以。', 'star': 4}
{'descr': ' 房间很好，住哒狠舒服，下次来还定这', 'star': 3}
{'descr': '常州锦江之星奥体中心店很不错，房间干净，交通便利，服务态度也很好，我很喜欢。', 'star': 3}
{'descr': '房间很大，是我住过很多城市的锦江之星最大的。去火车站很方便，就是路上打车不是很方便，不过等个10分钟左右会有车的。下次去常州还会住那里。', 'star': 5}
{'descr': '还不错，，挺干净的，位置也挺好，，离市中心不远。。。', 'star': 5}
{'descr': '还可以 比较干净', 'star': 3}
{'descr': '酒店设施还不错，也蛮干净的。前台和打扫房间的服务员态度还好，不过办理会员卡需要158元的费用，太贵了！', 'star': 5}
{'descr': '\n环境不错，服务也很好，床单干净，满意。', 'star': 3}
{'descr': '环境还是挺不错的，也干净，周边的交通也比较方便。', 'star': 5}
{'descr': '房间比较大，临街，但是晚上无影响；冬天房间大了空调有点力度不够', 'star': 5}
{'descr': '第三次入住了，真的是很好。服务态度好，各种好~', 'star': 5}
{'descr': '房间比较宽敞，装修风格简约舒适，空调很给力，沐浴露味道很好闻。总体不错。就是装在墙上的沐浴露不是太牢，按了一下就掉下来了，客房来看了说没钉牢，于是只好拿下来用，浴巾上面有明显黄色没洗掉的污迹，跟前台联系后客房立刻来换了，不错。服务员什么的态度也都很好，住着还是很舒服的，以后出门住宿还会选择锦江之星的', 'star': 5}
{'descr': '住过好几次了，服务很好，就是冬天空调开着还是有些冷', 'star': 3}
{'descr': '环境相当不错，也比较方便，离最近的大型欧尚超市也只有两站路的距离。', 'star': 5}
{'descr': '酒店环境设施服务都不错就是走廊里面隔音差点', 'star': 5}
{'descr': '性价比很高了，房间很宽敞，配沙发，写字台，装修也很新，就是墙壁有点脏，洗手间的灯光有点暗。另外，离机场大约25公里，打车的话60元。附近没有太多餐馆，麦当劳，肯德基什么的，早餐只能在酒店解决了。', 'star': 5}
{'descr': '房间大，环境较好', 'star': 3}
{'descr': '环境还是不错的，就是自己住的是临街，然后觉得不是很安静。地方也挺大的！', 'star': 5}
{'descr': '很不错，交通便捷，~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '新店大堂比较时尚，房间设备齐全，整体还不错~', 'star': 5}
{'descr': '酒店环境不错，干净整洁，服务态度很好，早餐也很给力，交通方便，总之，住宿体验85分，:)', 'star': 3}
{'descr': '酒店很干劲，自己开车过去的以下就找到了，挺方便的', 'star': 5}
{'descr': '很不错啊，我是第一次入住锦江之星，进入房间后，觉得房间很宽敞，也很整洁，环境很不错，装修布局都很喜欢，整体给人感觉很舒适，而且离大型超市也比较近，周围也有许多吃饭的地方。会作为入住酒店的首选。', 'star': 5}
{'descr': '房间空间可以，很干净舒适，有网络电视，淋浴水流也可以，以后还会去的，服务员还为我们电话计程车，开车的话给我们小地图，包括单行道哦，很贴心', 'star': 3}
{'descr': '拿到房卡进去的一瞬间，就感觉特别的好。床很大很软。住的很舒服。隔音效果也很好。', 'star': 5}
{'descr': '帮朋友定的，她说还不错，距离考试地点也比较近，呵呵。', 'star': 5}
{'descr': '帮朋友定的，她比较喜欢这家酒店，第二次入住了。', 'star': 5}
{'descr': '挺干净的服务很周到', 'star': 3}
