{'短评内容': '外边的景色还是很美的，价格也行，就是打车不方便，没有地方通宵放电动车，着实不方便。。房间还行吧。', '短评打分': 5}
{'短评内容': '酒店位置还好，就是房间较小，房间Wi-Fi没信号，还好带了电脑，配了网线能上网。周边交通方便，基本上满意。', '短评打分': 5}
{'短评内容': '干净还行吧', '短评打分': 4}
{'短评内容': '洗澡水很大，房间干净，特别好，每次会去住的', '短评打分': 5}
{'短评内容': '挺好的的的，住了好几天，还不错，交通也很方便，总体来说这个价格还是不错的，但是最好选择有窗户的房间', '短评打分': 4}
{'短评内容': '房间小点，但是带窗户。对面是公园噢～～', '短评打分': 5}
{'短评内容': '很好。住了很多天了。继续努力。', '短评打分': 5}
{'短评内容': '66666666666超级棒', '短评打分': 5}
{'短评内容': '十分方便，挺不错的，京东旅游', '短评打分': 5}
{'短评内容': '预定十分迅速，房间位置十分便捷，离开机场大巴近', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！', '短评打分': 5}
{'短评内容': '每次都选择在京东购物，质量绝对保证，送货时间快速。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '来海口，还是最信任连锁酒店。', '短评打分': 5}
{'短评内容': '一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般一般般', '短评打分': 4}
{'短评内容': '4楼装修很闹心 晚上还要听着卸大块大堆垃圾的巨响', '短评打分': 3}
{'短评内容': '热水很好很舒服 旁边就是个公园 方便溜达', '短评打分': 5}
{'短评内容': '位置很好，很容易找不到', '短评打分': 5}
{'短评内容': '酒店位置按理说应该是很好，但是奈何连当地出租车都找错，房间虽然小，价格很便宜，整体还是不错，去老街玩比较方便', '短评打分': 4}
{'短评内容': '环境不错，开窗就能看见公园', '短评打分': 5}
{'短评内容': '设施陈旧 窗户坏了 都关不上了', '短评打分': 3}
{'短评内容': '房间卫生干净整洁，服务好，设施齐全，', '短评打分': 5}
{'短评内容': '不错，挺好的，性价比高', '短评打分': 5}
{'短评内容': '客房比较干净 温馨 就是很小 没窗户  周围公交倒是有，打车很困难', '短评打分': 5}
{'短评内容': '地方比较清静，离嘉庚公园都很近，晚上可以免费的进去散散步，如家的房间都知道的，不错，酒店自有停车场，方便', '短评打分': 5}
{'短评内容': '环境很好，服务周到！新店，房间还是有点油漆味', '短评打分': 3}
{'短评内容': '交通方便,生活方便,环境好,面对公园,公园里有湖.站在窗户边可看到湖的全景.', '短评打分': 5}
{'短评内容': '地段很好,交通方便;环境不错,面对公园;周围吃饭也很方便.', '短评打分': 5}
{'短评内容': '环境不错，交通方便，值得入住，选择如家不会错', '短评打分': 5}
{'短评内容': '还可以，很干净，就是有些房间没有窗户太暗了。。。\n', '短评打分': 5}
{'短评内容': '还不错，只是周边环境一般', '短评打分': 3}
{'短评内容': '房间是有点小，但是看起来很温馨，服务也不错', '短评打分': 5}
{'短评内容': '还行,只是房间有些小,窗外看东湖喷泉表演不错', '短评打分': 3}
{'短评内容': '该酒店环境不错  很温馨  很有家的感觉  卫生条件也不错  服务态度也可以 ', '短评打分': 5}
