{'短评内容': '空调声音有点大', '短评打分': 5}
{'短评内容': '位置挺好的。方便。', '短评打分': 5}
{'短评内容': '还可以，靠近马路。还可以，靠近马路。还可以，靠近马路。还可以，靠近马路。还可以，靠近马路。装修不新，比较旧', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置不错，环境可以，服务态度还可以，就是闪付后期开票太慢，而且有一定的危险因素，不安全，万一离店后，酒店故意说你损坏东西赔偿，到时候就没法当面对证，说不清楚了', '短评打分': 5}
{'短评内容': '位置方便，周围就有很多的商场，美食，影城，还有夜市，非常的便捷，入住也非常简便快速！房间比得上三星酒店，非常满意！', '短评打分': 5}
{'短评内容': '棒极了，酒店位置很好，但是房间有异味，空调开了好久都没热后，朋友说家里空调出现过同样的问题，应该是空调电脑版坏了，还好房间不通风，那天温度没有很低，凑乎了一夜，还有隔壁房间的空调外机好响，听了一晚上外机运作的声音，还有晚上九点半不到打电话去前台多要双拖鞋却被告知阿姨下班了，明天早上才能送拖鞋上来，也是醉了', '短评打分': 3}
{'短评内容': '一般，就是马路边特吵', '短评打分': 5}
{'短评内容': '一般般吧，这个价值了', '短评打分': 4}
{'短评内容': '每次来都住这里，环境挺好', '短评打分': 5}
{'短评内容': '一般吧，酒店离目的地比较近', '短评打分': 4}
{'短评内容': '房间很大。', '短评打分': 3}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '价格实惠，设施齐备，出门方便，理想的宾馆。', '短评打分': 5}
{'短评内容': '值得推荐，非常舒适', '短评打分': 5}
{'短评内容': '携程预订的客户不能开发票？？？ 携程上没有说明是团购，能否开发票携程在预先订单里要写清楚，不能只是咨询酒店，全都咨询酒店要你携程干嘛！我直接办酒店会员卡了。', '短评打分': 3}
{'短评内容': '值得一住', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '方法上面都江堰的话。这么好', '短评打分': 5}
{'短评内容': '酒店服务员不错。早餐对面的来必堡最实惠。推荐：白粥：1元；皮蛋粥：2元；肉包：1元；蛋饼：3元；豆浆：1.5元。。赞赞赞。哈哈。', '短评打分': 5}
{'短评内容': '位置相对我比较合适。早餐对面来必堡，一个人10元。够了。两个人相对勉强了。床比较软。其它都可以的。', '短评打分': 5}
{'短评内容': '速8还是很不错的，尤其这家店更加好，房间大，干净，设备也很齐全，已经不是以前记忆中的速8酒店了。值得推荐！', '短评打分': 5}
{'短评内容': '很干净，房间的大床很舒服啊！就是吃个早餐还要过马路啊！', '短评打分': 5}
{'短评内容': '还是一样的好，出门打车吃饭都相当方便。每次来都住这里的。', '短评打分': 5}
{'短评内容': '到金华出差都住这酒店了，性价比相当的高，尽管服务很一般，特别是早上退房服务员那爱搭不理的态度。', '短评打分': 5}
{'短评内容': '一如既往的好。以后金华出差都在这了，方便出行也方便吃饭', '短评打分': 5}
{'短评内容': '挺干净的，价格能再便宜点就好了。。。。。。。。', '短评打分': 5}
{'短评内容': '干净舒适。性价比蛮高，住的不错。同事来都推荐住那', '短评打分': 5}
{'短评内容': '商务标准房比商务单人房差多了……推荐商务单人房！', '短评打分': 5}
{'短评内容': '速8实在是让我们太失望了，我们是看照片订房的，谁知道去了一看房间这么小，后来去问了下，她们给我们订的是普标，我们先前订的明明是商标的，订房的时候她们也没问清楚我们是要哪种房间，后来去理论的时候前台的那位态度真的是不可恭维！要是态度好点我也就算了，越说越气！后来说商务房间大小一样，就多个电脑，我们也就算了，可我们不懂的是，给我们订的房间都是最偏的，我在想是不是我当天去她那订房难道她态度就会好点？安排', '短评打分': 1}
