{'短评内容': '酒店很好，特价房性价比很好', '短评打分': 4}
{'短评内容': '一切都好，就是晚上好吵', '短评打分': 5}
{'短评内容': '交通好', '短评打分': 5}
{'短评内容': '很不错的房间', '短评打分': 5}
{'短评内容': '好垃圾，被子特别脏，睡一觉起来腿上全是包，我朋友也一样，还豪华哦，真垃圾，好评全是他店里活动弄出来的', '短评打分': 2}
{'短评内容': '房间很大，比较宽敞，还有独立卫生间，也很干净，隔音也很好，性价比很高，绝对对得起这个价，就是前台验证的时候有点麻烦，稍微等了一会，不过总体还是很好的！很棒！强烈推荐！大家来，一定会满意的。哈哈。都来吧', '短评打分': 4}
{'短评内容': '第一次来景德镇，在网上看这家酒店评价非常高，价格也不贵，就选择预订了，刚开始不知道在哪里，打电话问了下怎么走，前台态度非常好，耐心的给我讲怎么走，在市中心御窑厂对面，火车站打车也很近的，到店也没让我失望呢？前台接待员很亲切，我订的普通大床房，前台美女问我喜欢什么样的房间，还免费给我升级了，酒店的环境很干净，设施很齐全，房间一应俱全，房间真的非常漂亮，整个装修很温馨，有家的感觉，我非常喜欢，最重要的', '短评打分': 5}
{'短评内容': '酒店环境不错，干净，卫生。', '短评打分': 5}
{'短评内容': '垃圾的一塌糊涂', '短评打分': 3}
{'短评内容': '房间四周发霉，味道很重。睡着后竟然被厕所的味道熏醒…Wi-Fi也是坏的，没地方停车，停旅馆后面商场内过夜停车费20元也不给报销', '短评打分': 1}
{'短评内容': '看门大爷说话听不懂', '短评打分': 3}
{'短评内容': '酒店环境很好，住的听舒适的，基本我每次到景德镇都住这里，价格还实惠。', '短评打分': 5}
{'短评内容': '刚住进来，服务差 房间床单上还有毛，很脏，没有换过，网上已经确认付款，在前台磨蹭了半个小时', '短评打分': 2}
{'短评内容': '房间挺干净，住的也很舒适。', '短评打分': 3}
