{'短评内容': '很好，位置好', '短评打分': 5}
{'短评内容': '很好，位置好', '短评打分': 5}
{'短评内容': '酒店位置很好哦！环境很好！很干净卫生！很安静！非常不错！重要的是携程的价格绝对到位！很划算，物超所值，这个价格非常好了！值得用携程预订推荐入住。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '汉庭住过好多次了，卫生还可以', '短评打分': 4}
{'短评内容': '就快捷酒店的水平 胜在地理位置 第二天去汽车站坐车方便 ', '短评打分': 3}
{'短评内容': '房间干净整洁，很安静，很舒适', '短评打分': 5}
{'短评内容': '环境好，服务好，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，服务好，值得信赖', '短评打分': 5}
{'短评内容': '环境挺好的～没有嘈杂的声音', '短评打分': 5}
{'短评内容': '价格很便宜，房间很干净。下次来在住', '短评打分': 5}
{'短评内容': '就那样吧！', '短评打分': 4}
{'短评内容': '坏境蛮好的，交通也方便，满意的！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很好，很不错的酒店，下次来还是会入住的。', '短评打分': 5}
{'短评内容': '很好这家店的服务员超级好人，很耐心。房间环境也不错，除了电视机挂得有点高，有点累哈哈', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '相当的不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般的商务酒店，汉庭的一贯标准，价廉物美，交通很方便', '短评打分': 5}
{'短评内容': '不错的环境，装修也很新颖，最主要是比较干净', '短评打分': 5}
{'短评内容': '离大巴下车的地方不远，打的起步价。\n经济型酒店都差不多', '短评打分': 5}
{'短评内容': '位置偏一些也还好，房间是比较小但是很干净设施和一般的汉庭都差不多，价格还是能接受。', '短评打分': 5}
{'短评内容': '酒店位置还不错，火车站附近，就是吃饭很不方便，附近好像没有什么吃饭的地方，很安静', '短评打分': 5}
{'短评内容': '第二次来这个酒店住了，感觉还是不错的，交通方便，卫生间比较干净，早餐很好！！！！估计以后去芜湖还会来这里住。', '短评打分': 5}
{'短评内容': '交通很方便，去美食街可以步行，去方特欢乐世界打的起步价差不多。离购物的地方步行也还好。酒店外面不起眼，里面很干净，也不吵。很好的。前台服务员态度非常好，这个很值得表扬~~~', '短评打分': 5}
{'短评内容': '还可以.再芜湖性价比可以了.但早餐有点贵.15元.在芜湖其他地方自助的正餐也可以了.', '短评打分': 3}
{'短评内容': '主要这里交通方便. 设施比其他的汉庭差点.但价格毕竟就只有100多,这样的设施也就可以了.', '短评打分': 5}
{'短评内容': '总的来讲还是不错的，环境比较不错，在市中心，离火车站很进，旅游，出差住比较方便。另外，还有一点，就是早饭的那个蛋糕很棒！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '＋一般', '短评打分': 5}
{'短评内容': '地理位置不是很理想，但也差强人意。要说的是服务人园的工作态度，没有笑容也就算了向其资询问题也就爱理不理，十分可恶。房间较小，卫生环境令人担忧。。。。不推荐。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店的电视看得脖子实在是受不了 \r\n建议使用向七天那样的消毒毛巾', '短评打分': 5}
{'短评内容': '不错  地理位置还可以 但是那里本来没什么好玩的', '短评打分': 5}
{'短评内容': '正常的汉庭标准，和其他的汉庭都一样，经济实惠', '短评打分': 5}
{'短评内容': '环境不错，交通方便~值得推荐！隔着窗户可以看到夜景！', '短评打分': 5}
{'短评内容': '下次继续住,也会推荐.希望在办理手续能快些!提高效率!这样更好些!', '短评打分': 5}
{'短评内容': '交通比较方便，房间卫生条件好，但电视机的摆放位置是在角落上，看电视很难受，要歪着脖子看。', '短评打分': 3}
{'短评内容': '电视机位置摆放不好，其他还好。', '短评打分': 5}
{'短评内容': '服务员不是太热情，房间内没有准备茶包，还要客人自己下楼去拿，总体来说还行！', '短评打分': 5}
{'短评内容': '房间还不错了，就是床小了点，估计和房型有关吧。电视机可是真的小，不是一般小！住高层视野不错。服务员态度也很不错的，退房的时候基本没等！估计因为里面没有放什么东西的缘故吧，不过这样也真的不错，呵呵！', '短评打分': 5}
{'短评内容': '自己开车去的，酒店很不错，早餐也可以（比如家强多了）。不足时早晨6点就叫醒说停的车挡了其他车，到楼下发现不是。希望以后将住房与车号同时登记。', '短评打分': 5}
{'短评内容': '隔音很好，位置不错，服务人员很礼貌。美中不足是早餐有苍蝇光顾～', '短评打分': 5}
{'短评内容': '还ok \r\n卫生、隔音、位置、安全、都可以、、、、', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '位置不错，正对公园。周边在拆迁，有点乱。', '短评打分': 3}
{'短评内容': '位置不错，正对公园。周边在拆迁，有点乱。', '短评打分': 5}
{'短评内容': '8月6日订的标准间，住了2天，电视机位置不好，房间显得小，其他都可以', '短评打分': 5}
{'短评内容': '还蛮好的呢。。离火车站蛮近的呢。。', '短评打分': 5}
{'短评内容': '感觉蛮好的', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这家酒店还可以，地段挺不错。', '短评打分': 5}
{'短评内容': '空调不制冷，开了一夜都没什么效果', '短评打分': 1}
{'短评内容': '总体来说不错，但是淋浴间太小，隔音效果不好。', '短评打分': 5}
{'短评内容': '位置还可以，距离步行街、美食街和方特都不算太远。第一晚住在5楼有些吵，第二晚住在11楼好了不少。', '短评打分': 5}
{'短评内容': '周围吃饭的地方可真不好找，房间也小了点', '短评打分': 5}
{'短评内容': '酒店地理位置不错，在火车站打车大概只有500米左右，一个起步价的距离，6块钱。服务也满好，进电梯都要刷卡才能选择楼层，安全性不错，就是房间小了点。大床房的房间也就10坪左右吧。电视挂的太高了看着不太方便，到方特也就10多块钱。总的来讲还是不错的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '位置不错，价格也算合理。', '短评打分': 5}
{'短评内容': '感觉很贵，在芜湖来讲。还没有早餐，房间里面茶叶都没有一包。', '短评打分': 1}
{'短评内容': '还不错，服务也很好，就是周围吃饭的地方太少了', '短评打分': 5}
{'短评内容': '汉庭的优点第一是位置好，旁边就是赭山风景区和餐馆街，第二比较干净，第三楼层高，没有蚊子，第四空调性能好。缺点第一设备简陋，床都不能移动，本来想两张拼成一张，正好一家人睡；第二没有早餐；第三，房间比较小，第四电视机不在正中，要转头看，累。总之，性价比一般', '短评打分': 1}
{'短评内容': '住的很舒心，除了卫生间有一点点发霉的味道，其他的都很全，这个价位性价比很高，推荐大家去啊，呵呵', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行。。一般', '短评打分': 3}
{'短评内容': '总体不错，价格稍高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很好 很方便 房间很干净', '短评打分': 5}
{'短评内容': '一般的酒店，还可以吧，北边有个凤凰美食街还不错', '短评打分': 5}
{'短评内容': '不错=。=', '短评打分': 5}
{'短评内容': '隔音效果等于是0  ！ ', '短评打分': 5}
{'短评内容': '个方面感觉都还可以', '短评打分': 5}
{'短评内容': '性价比不错，就是灯不够亮，推荐', '短评打分': 3}
{'短评内容': '早餐有点贵', '短评打分': 5}
{'短评内容': '酒店不错，地点也很好，唯一不可理解的是必须要用自己的身份证订房，这样的话难道就不能替别人提前订了么？奇怪的规定', '短评打分': 5}
{'短评内容': '位置挺好的，离凤凰美食街很近，服务态度很好，速度很快', '短评打分': 5}
{'短评内容': '不能上网有点遗憾', '短评打分': 5}
{'短评内容': '性价比非常好，下次还会考虑入住', '短评打分': 5}
{'短评内容': '第二次住了，相当不错。\r\n门前小巷子向内走有一家小厨娘蒸菜馆，不错的徽菜。就是只做席，\r\n单人只能在一楼吃。', '短评打分': 5}
{'短评内容': '住过几次了', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '旁边有工地施工，稍嫌吵！', '短评打分': 5}
{'短评内容': '每次去芜湖都会住汉庭五一广场店，交通便捷，离本人办事的地方方便，卫生、舒适度都可以，如房间配上电脑的话会更好，下次还住汉庭。', '短评打分': 5}
{'短评内容': '酒店舒适，环境好', '短评打分': 5}
{'短评内容': '这次的芜湖之行最值得纪念的就是汉庭还不错了……', '短评打分': 5}
{'短评内容': '不错，下次继续住', '短评打分': 5}
{'短评内容': '交通比较便利，但周围吃饭的地方较少。早餐15每位，有点不值', '短评打分': 5}
{'短评内容': '不错的住店，环境卫生，住着也舒服，挺好的。', '短评打分': 5}
{'短评内容': '比较郁闷的是，乘坐电梯需要刷卡，而且房间比较小。早晨起床发现，有线电视居然是坏的，郁闷', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '我没去过芜湖，以为五一广场是一个大广场，真是失误，地理位置还不错，可惜芜湖方特店没挂到网上来，本来住那里玩方特最方便，希望网站考虑加进来这个店，回归正题，房间什么都蛮好的，就一点不怎么满意，隔音效果相当于零……不过性价比不错，下次还住~', '短评打分': 5}
{'短评内容': '服务很好  及时更新被单什么的 ', '短评打分': 5}
{'短评内容': '环境不错，', '短评打分': 3}
{'短评内容': '性价比很不错的一家酒店,靠近火车站和长途汽车站.', '短评打分': 5}
{'短评内容': '房间设计的比较有特色，床很舒服，大床房的房间很大，工作人员态度很好，以后我还会常去', '短评打分': 5}
{'短评内容': '感觉很不错 经济型酒店', '短评打分': 5}
{'短评内容': '我们住的房间是1101，我注意观察了一下，房间号后两位是01的房间非常不错，窗外的视野将近540度，非常棒。\r\n房门隔间效果不好，外面走路和电梯的声音都可以听见。\r\n电视挂得太高，看电视有些吃力。\r\n房间装潢不错，感觉很适合旅行办公。\r\n服务员态度很好，我住的第二天早上停电了，一位服务员看见我搬行李下楼时主动过来帮我搬行李，从11楼一直搬到了6楼，有些不忍心，后来我就自己搬了。（他是男的，我也是男', '短评打分': 5}
{'短评内容': '除了位置一般，其他都很好。', '短评打分': 5}
{'短评内容': '推荐。\r\n设备很好很新，服务规范。\r\n原五一广场没了，此酒店的地点打车也还方便。\r\n向小巷内走，有一家安徽特色的私家菜，其实很不错。就是要深入巷内。', '短评打分': 3}
{'短评内容': '不错了', '短评打分': 5}
{'短评内容': '空间还行。也有很多层。服务人员的态度还行', '短评打分': 5}
{'短评内容': '好评！', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '不错，枕头有点不舒服。内装设计很不错。', '短评打分': 5}
{'短评内容': '房间很干净，很温馨，隔音效果也比较好，尤其是淋浴特别棒。只是餐厅不提供中晚餐，不出门连泡面也吃不上。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比不错', '短评打分': 3}
{'短评内容': '还不错，下次去还住这个酒店', '短评打分': 5}
{'短评内容': '新春百元房还是很超值的', '短评打分': 5}
{'短评内容': '地砖太凉，拖鞋太薄。洗澡洗一半儿没热水了，只好洗冷水澡，差点儿冻感冒了。空调也不怎么热。\r\n早餐15块，自助式，不怎么样。也许这个价位要求不能太高了吧。\r\n唯一值得称赞的是服务态度！', '短评打分': 5}
{'短评内容': '蛮好的  哈不错呢 ', '短评打分': 3}
{'短评内容': '隔音效果不好 ', '短评打分': 3}
{'短评内容': '酒店服务一般', '短评打分': 5}
{'短评内容': '房间不错 ', '短评打分': 5}
{'短评内容': '第一天梳子竟然不是新的。\r\n房间隔音不好', '短评打分': 5}
{'短评内容': '地理位置还不错，设施也蛮干净的，就是房间在马路边有些吵。', '短评打分': 5}
{'短评内容': '少个吹风机', '短评打分': 5}
{'短评内容': '房间很干净，洗手间是透明的，挺浪漫的', '短评打分': 5}
