{'短评内容': '酒店的环境虽然不错 但是位置实在是太过偏僻了', '短评打分': 1}
{'短评内容': ' 还不错，就是位置难找了点，有点偏', '短评打分': 3}
{'短评内容': '酒店里面全是如家的标志，能看到海。以下的荒诞经历让我再也不想住了：那天早上10点贵店前台给我的打电话让我马上退了当时的酒店12点30左右过去。我过去了，做完登记上楼之后发现房门大开，工作人员正在打扫房间，我进去的时候他都没有说一句话，一大堆东西堆在写字台上，我放下行李在们口等了好久，再进去房间的时候已经没有人了，可是东西全都乱糟糟的，还有一股浓重的臭味。等到工作人员吃完中饭再来打扫，我已经等了将近', '短评打分': 1}
{'短评内容': '我个人感觉还好，但同来的女伴说床单太粗糙，个之前这家店是如家也有关系。性价比还行。海景是有的', '短评打分': 3}
{'短评内容': '酒店朝大海，鼓浪屿隔海相望，交通也方便，酒店服务还算满意！', '短评打分': 5}
{'短评内容': '十比较偏,入住不方便,室内装修还好.', '短评打分': 3}
{'短评内容': '酒店地理位置很偏，打不到车，公交车也没有。\n预定的海景房去了被告知没有了，换了其他房间，只能看到一点海。\n卫生状况一般，卫生间总有味道。\n价格偏贵，比附近的红峰价格高至少50，大部分都是旅行团居住，价格很低，但散客价格较高。\n前台服务还可以，但是刻意隐瞒优惠政策，本来住十天送一天，可是我住了近20天，也没人告诉我，也没人给优惠。', '短评打分': 1}
{'短评内容': '地理位置方便，离厦大也很近，性价比高，推荐！', '短评打分': 5}
{'短评内容': '地理位置不错，与鼓浪屿上的皓月园遥相对应，可以看到郑成功雕像，离夏大也很近10分钟左右的路程。周边的餐饮业挺不错的有的大排档天天晚上有人排队等位。房间有山景房和海景房之分，这次住的是又能看山景又能看海景的房间，不用出门就能看到五老山和鼓浪屿。不足的是离演武大桥有些近，晚上睡觉会有些吵。空调正对着床吹，睡觉时不开还热，开了直对着人吹又受不了。与大多数宾馆一样，房门不隔音，走廊里说话房间里听得真真的。', '短评打分': 5}
{'短评内容': '当时入住时都挺Ok的，离厦大很近，交通也挺方便，酒店虽然不是在街头路边，但也不会不好找，路标清晰，离开时酒店经理挺客气的', '短评打分': 5}
{'短评内容': '态度还不错的说。房间也ok。就是地理位置有点偏。但是下次还住这儿。', '短评打分': 5}
{'短评内容': '有点难找,但酒店位置很好,到厦大\\海边非常方便,房间望出去海景非常美,住的是722房间,适合三口之家,房间很宽敞\\舒适,推荐去厦门的同事入住.', '短评打分': 5}
{'短评内容': '订的家庭房，房间的窗口看出去就能看见鼓浪屿，酒店的位置有点难找，下了公交车后要走些路的', '短评打分': 5}
{'短评内容': '很不错哦 离厦门大学很近 虽然在修路 但交通还算方便~ 反正~挺值得的~', '短评打分': 5}
{'短评内容': '值得推荐。一、房间够大，是我过去一周住过的几家连锁酒店中最大的房间，比起格X，莫X，虽然装修可能相对简单，但胜在面积大，而且简洁温馨。出门在外，就是求个舒适。二、真的是海景哦！我的房间侧面看到海，前面完全没有遮挡，168的价格值了。估计正面对海的那些房间应该更舒适！不过有个劣势就是，地点不好找。离厦大医院有段距离，初次去酒店还真难找。而且是经过一个较大的停车场才到酒店。总的来说，自己去玩，值得！', '短评打分': 5}
{'短评内容': '跟如家差不多，就是海景房的窗户太小了，还蛮干净的，，', '短评打分': 5}
{'短评内容': '很好的酒店，服务员态度也很好。我们一家三口订的家庭房，感觉很好很舒服，爸爸妈妈很满意。从房间的窗户可以看到大海，尤其能看到鼓浪屿，很美。而且交通很方便，出门走不到十分钟就可以到厦大，坐公交出行也很方便，打车到轮渡、中山路都十块左右，超级值的一个酒店。', '短评打分': 5}
{'短评内容': '环境不错，很干净，位置也不错，到夏大，轮渡都很方便，', '短评打分': 3}
{'短评内容': '大学路在修路，是在是。。。很偏僻啊。如果不是两个人住，不推荐女孩子们单独住，晚上黑灯瞎火地回宾馆，没安全感。重点是，走廊大声喧哗啊！5点多就起来了。', '短评打分': 1}
{'短评内容': '酒店真心的有点偏僻~之前在网上订的时候很好服务，电话说大概怎样去酒店，说得很详细，不过出发前还是定位酒店大概位置，手机导航都不难走~距离他说的车站有点远~在博物馆站下就感觉近一点~订的是特惠海景房~的确能看到海景~不过窗只开得一点点，锁S了~纳闷~从酒店导航到厦大步行10几分钟去到了~', '短评打分': 1}
{'短评内容': '距离厦大大约要走8分钟，交通还是比较便捷的，周边吃海鲜、沙茶面都很方便，总的来说还不错。', '短评打分': 5}
{'短评内容': '帮朋友定的，她说房间还好，但是位置有点偏，晚上不敢出来。。。话说我自己端午节去的时候168哪里还能住海景房啊，羡慕', '短评打分': 5}
{'短评内容': '248入住家庭海景房，价格还挺好，装修就是如家转过来的，还挺舒服，就是地方不太好找，有点偏，打车都要走到厦大红绿灯那里去，跟厦大很近，但是去步行街或者轮渡的话就要坐车了，三四个站就到了', '短评打分': 5}
{'短评内容': '优点：离厦大很近走路十分钟就到了，房间是如家转过来的住得还比较舒服，服务还挺好的。\n缺点：位置很偏不容易找到，打车都要走到厦大那边去，住了两晚的家庭海景房，第一晚228第二晚248，有加收4%的政府啥啥啥，感觉这个价位应该可以住到地理位置好点的地方。\n建议到厦门游玩的旅客选择中山步行街附近的酒店，出行方便，到轮渡很近，小吃也很多.', '短评打分': 1}
{'短评内容': '酒店位置比较难找，房间跟如家一样的，定的海景房看不到海加10元升级成家庭房还不错，对面就是鼓浪屿，旁边小吃店比较多也很实惠，隔音差', '短评打分': 5}
{'短评内容': '＋还可以，是如家的改装', '短评打分': 3}
{'短评内容': '位置很好的，旁边很多厦门小吃名店的，房间也很干净，交通也很方便哟！', '短评打分': 5}
{'短评内容': '真的可以看海   非常不错  里面的标准和如家一样 ，就是如家转过来的，除了酒店位置偏点  其他都非常不错，以后去厦门就住这了', '短评打分': 5}
{'短评内容': '真的可以看海   非常不错  里面的标准和如家一样（除了没水送） ，就是如家转过来的，除了酒店位置偏点  其他都非常不错，以后去厦门就住这了', '短评打分': 5}
{'短评内容': '还不错 就是位置有点小偏。。。风景什么都不错 服务态度也还行 就是周末承诺的留房到晚上8点 做不到  要我提前过去 确认。。。', '短评打分': 5}
{'短评内容': '酒店内部环境还不错，但是地理位置有点偏。最为重要的是，入住的朋友千万别在这家店定任何短途旅游，价格贵一半以上不说，服务态度还很差。', '短评打分': 1}
{'短评内容': '还不错，真的可以从窗户看到很美的海景和斜对面鼓浪屿的一部分，离厦大、南普陀寺都非常近。遗憾的是窗户只能打开不到15Cm的宽度，只能透过玻璃看海景。还有就是酒店前面有段150米左右的道路没路灯。MM们需要有护花使者陪同才好。', '短评打分': 5}
{'短评内容': '真的有点难找呐，连导航上都没这条路，一路问过去，走了好多冤枉路。订的海景房。海景基本没有，都被大桥广告挡了，可能四楼楼层低的缘故？或者是因为我不能在早上10点到达确认？！额，我很无语，那时候刚到日光岩啊，宾馆在厦大那边，难道让我先跑这边入住再回去逛？？这点真让人很气愤呐', '短评打分': 1}
{'短评内容': '没到店之前跟我确认了好几遍，当时还想着房间有这么紧张么。。。到了之后，地方有点偏，找了好久才找到。入住之后感觉还可以吧，我们住的房间可以看到鼓浪屿的郑成功像，就是晚上隔音不好，被单什么的感觉有点脏，洗漱用品我们都自己带的，总体感觉一般吧。', '短评打分': 5}
{'短评内容': '不错噢，我们的特惠海景房，海景超好的，可以看到鼓浪屿', '短评打分': 3}
{'短评内容': '酒店就在厦门海堤边，对面就能看到鼓浪屿，很美，只是交通不便', '短评打分': 5}
{'短评内容': '如果是在节假日的话，这个酒店的性价比还是比较高的·····', '短评打分': 5}
{'短评内容': '酒店在厦门大学附近，走到厦门大学大概需要15分钟，酒店闹钟取静晚上非常安静很好入睡，早上起来走两步就可以吃到地道的厦门小吃，一切都很不错。唯一一点不太令人满意的是毛巾和浴巾有点怪味都不敢用', '短评打分': 5}
{'短评内容': '地理位置还是不错的，离厦大很近。\n环境一般，麻烦的是洗个头没有吹风机，严重稀缺啊！', '短评打分': 5}
