{'短评内容': '很好，很卫生，挺干净的，价格实惠', '短评打分': 5}
{'短评内容': '感觉蛮好的', '短评打分': 5}
{'短评内容': '位置挺好，汽车站出来就是。服务员也还阔以…', '短评打分': 4}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '酒店位置坐车比较方便', '短评打分': 5}
{'短评内容': '非常不错，在市里这个价位很好了。', '短评打分': 5}
{'短评内容': '偏贵！整体映像还行！', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '不错，实惠，吃饭方便', '短评打分': 4}
{'短评内容': '在携程旅行网上通过代理商订的房间，酒店居然没有收到订单，理论了有半小时，还好携程服务人员态度很好，给了9元的理赔费，处理结果很满意', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般情况', '短评打分': 1}
{'短评内容': '性价比较好', '短评打分': 4}
{'短评内容': '便宜，就是卫生不怎么样', '短评打分': 1}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '卫生不好，服条一般吧', '短评打分': 1}
