{'短评内容': '地理位置不错 出门离码头近 出门就是公交车 几站就能到镇上 非常方便 房间也比较干净 感觉很棒！！！', '短评打分': 5}
{'短评内容': '酒店位置离码头很近，门口坐公交车很方便，前台的服务人员态度很客气。客房家具很旧，电吹风都糊了都不换。水池烂了。椅子破了。没有肥皂。早餐18元一位，略坑。', '短评打分': 4}
{'短评内容': '环境真心不错', '短评打分': 5}
{'短评内容': '非常好 环境棒 房间大', '短评打分': 5}
{'短评内容': '酒店还可以，就是位置偏些', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，离中心湖区近，早上起来就可以去坐船', '短评打分': 5}
{'短评内容': '还不错，离码头最近的酒店，但是隔音一般般，马路上的汽车声很大。', '短评打分': 4}
{'短评内容': '非常好。很满意。活动不给力。酒店真是很好', '短评打分': 5}
{'短评内容': '退了房间的，没住，不知道为什么还要评价', '短评打分': 4}
{'短评内容': '真是我住住这么久以来最便宜最干净的酒店了，房间也大，没话说！', '短评打分': 5}
{'短评内容': '离景区很近，很方便，也很喜欢', '短评打分': 5}
{'短评内容': '很干净 地方很棒', '短评打分': 5}
{'短评内容': '房间很大，卫生很好，服务也很好，性价比不错，下次还来', '短评打分': 5}
{'短评内容': '帮爸爸跟他朋友订的，回来说很好很大', '短评打分': 5}
{'短评内容': '不错的酒店，安静舒适', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '房间设施陈旧，不过就在码头附近，很方便', '短评打分': 5}
{'短评内容': '还行，就是噪音太大，离景区方便', '短评打分': 5}
{'短评内容': '位置环境都很好，价格还便宜，晚上去湖边逛逛很不错，。', '短评打分': 5}
{'短评内容': '大赞！比我想象中要好。虽是快捷酒店，价格便宜，但品质绝对不低，地理位置一流，就在中心湖码头边上；房间干净整洁；有个很大的窗，采光透气空气好；而且房间很大，估计能有25-30平。', '短评打分': 4}
{'短评内容': '酒店就在千岛湖边，乘游船很方便，但离城区较远，周围餐馆很少。', '短评打分': 4}
{'短评内容': '给个五分好评，离码头很近，交通方便，环境很好，晚上很安静。', '短评打分': 5}
{'短评内容': '酒店位置不错，由于是周末，价格比较贵，比平时贵了一倍多，建议有空的，不要周末来。还有，千万别去旁边的饭店，叫什么斋 的鱼头馆， 菜烧得不是一般的差，鱼头的泥土位很重，价格也乱报。 酒店设施比较少，如果对酒店设施要求不高的，可以考虑。因为靠近秀水街，比较热闹，也比较吵。', '短评打分': 5}
{'短评内容': '不错的环境哦，值得入住', '短评打分': 3}
{'短评内容': '酒店就在游船码头旁,很方便,房间也挺大的,但是早餐不怎么样,有很多团对进来吃早餐,因此很挤,而且东西也不好吃.', '短评打分': 5}
{'短评内容': '很不错超值的享受', '短评打分': 3}
{'短评内容': '酒店环境还是不错的..设施也不是很差劲.价格也很实惠.自家开车很好找.靠近游船的码头也很近可以一早过去坐船.\n唯一的就是靠湖的房间.晚上收到广场活动的影响比较吵.', '短评打分': 5}
{'短评内容': '环境还行，早饭太差，离城区比较远，购物不方便', '短评打分': 1}
{'短评内容': '就这个价位来说，位置还是挺不错的，后面就是秀水街和码头，不用太早起就能赶得上8点的观光船，房间也还干净整齐，就是秀水街的夜生活太晚了，有点影响休息', '短评打分': 5}
{'短评内容': '从千岛湖客运站打车到酒店为40元,如果碰上回程的出租车还能讲讲价钱.酒店周围环境很好,离游船码头只有几十米,房间也比想象中的宽敞明亮.幸好不是周末去的,平时的房价只要288元,一到周末就涨到了518元,建议平时去.楼下有小花园,旁边就是秀水街步行街,晚饭后还能在湖边散步.', '短评打分': 5}
{'短评内容': '不错，房间很大，服务也不错，都很好，离码头也很近，出行很方便', '短评打分': 5}
{'短评内容': '酒店外围环境还不错,但是内部设施很差,客房与四星级的标准相去甚远。最可怕的是早餐，质量差不说,拥挤的可怕,有的客人只能站着用餐，更有甚者，居然允许宠物随意出入与酒店客人一起用餐。这样的酒店真不知如何被评订为四星的!', '短评打分': 3}
{'短评内容': '酒店设施还挺好的，环境也不错，就是早餐真是吓人，没见过这样的，太差了。\n', '短评打分': 5}
{'短评内容': ' 还可以 离景区门口很近 电视 换大点就好了', '短评打分': 3}
{'短评内容': ' 昨天初到这个酒店感觉不错，但是今天退房很是不愉快！因为早晨7：40去游湖，可是衣服没干，想在两点左右退房！可是服务员很是不满', '短评打分': 3}
{'短评内容': '还不错 门口的工作人员很热情 房间挺干净的', '短评打分': 5}
{'短评内容': '蚊子挺多的，酒店服务态度很热情，早餐记得早点吃，6点半到8点半一直人都暴多！ 房间挺好的  我住的套房。', '短评打分': 5}
{'短评内容': ' 总体还不错，就是电视信号不是很稳，摇控器电池接线有问题。还有一楼男厕有大量蜘蛛网。忘整改。但是别的还不错。下次还会来？？', '短评打分': 3}
{'短评内容': '不错的酒店,布置优雅,房间很舒适,我因行程安排提出延迟退房的要求也得到了满足,赞一个!唯一的遗憾是餐厅一般。', '短评打分': 3}
{'短评内容': '很满意，客房干净舒适，也比较安静，离游玩码头很近。总体感觉在景区附近228这个价位性价比可以。酒店服务人员热情周到！赞一个^o^', '短评打分': 3}
{'短评内容': '休闲中心是黑店!早餐无法吃下。点评：千岛湖千刀刮你!', '短评打分': 3}
{'短评内容': '酒店整体不错 位置离码头很近 房间也很大 唯一不足的就是没有湖景', '短评打分': 5}
{'短评内容': '在千岛湖畔，环境不错，后院风景也不错，旁边就是千岛湖纪念馆', '短评打分': 5}
{'短评内容': '非常差，卫生也不好，早饭难吃死了，有宰客现像\n', '短评打分': 5}
{'短评内容': '酒店后院很漂亮，有江南风范。房间不错，价格合理，划算。', '短评打分': 5}
{'短评内容': '四周环境不错，服务质量也还可以，就是离市区稍微有点远。 ', '短评打分': 5}
{'短评内容': '四周环境不错，服务质量也还可以，就是离市区稍微有点远。', '短评打分': 5}
{'短评内容': '酒店环境不错，房间有点特色，睡觉很舒服，离游船码头很近，就是早餐欠佳。', '短评打分': 3}
{'短评内容': '酒店还不错...对的起这个价格...唯一不好的就是半夜被吓醒。不知道柜子传来什么声音...', '短评打分': 3}
{'短评内容': '房间很不错，周围环境也很好，酒店后面就是秀水街，，，风景很美，，房间条件也不错，，住的很舒服，，，', '短评打分': 5}
{'短评内容': '酒店就在码头隔壁，非常方便，晚上很安静。房间里比较干净。餐厅的鱼头汤味道不错，早餐很一般，不如如家汉庭。大厅层的厕所和洗手池在餐厅旁边，厕所有明显异味，给我的印象不好。', '短评打分': 5}
{'短评内容': '酒店环境不错，交通方便，前台接待服务好！总之一句：值了！值得推荐！', '短评打分': 3}
{'短评内容': '地理优势！房间大干净，就是早饭太不敢恭维', '短评打分': 3}
{'短评内容': '酒店就在游船码头旁边，走两步就到了，而且公交也很方便。环境挺好。就是早餐有点差。', '短评打分': 5}
{'短评内容': '优点：酒店的位置无敌，去码头或者周边的景点都很方便。酒店设计也很仿古，很有感觉。\n缺点：窗外的景色太少，被周围楼层挡住了。房间内的配置一般般，有些地方坏了，电梯内有异味，自助早餐品种较少。', '短评打分': 5}
{'短评内容': '交通便利，环境优雅，干净卫生，临近景区，空气清新，价格合理，物超所值，值得推荐。不足：早餐对外，食客太多', '短评打分': 3}
{'短评内容': '是我住过的最对不起房价的酒店，房间旧、有怪味、连个烧水的都没有，早饭少的可怜，这种酒店跟旅游团都没遇到过，住这种酒店还要418/晚，简直不可理喻！。千万不要住。没有一句假话！！', '短评打分': 1}
{'短评内容': '环境很好，在渡船码头旁边，感觉很好@！#%￥……&*（）——', '短评打分': 5}
{'短评内容': '位置非常好，就在码头旁边。千岛湖整天消费太高。建议买点泡面之类的。\n酒店环境很棒，房间挺大，干净。隔音略差。', '短评打分': 5}
{'短评内容': '酒店离码头很近，晚上比较安静。想去城里的话，开车很快就到，也不远。', '短评打分': 5}
{'短评内容': '不错的酒店，大厅和客房的环境不错，旁边就是码头，一切都蛮方便的。好好休假吧。', '短评打分': 5}
{'短评内容': '帮朋友定的\n说挺好的\n都还比较满意\n设施基本可以\n景点的酒店反正要求不高', '短评打分': 5}
{'短评内容': '比较适合，这里玩的时候很方便\n这点对于来景点的估计比较重要', '短评打分': 5}
{'短评内容': '环境还不错，就是没有当天热水。其他的还可以，下次还会选择。', '短评打分': 5}
{'短评内容': '交通比较便利，离码头相当近。酒店设施很不错的。只是隔音比较差。', '短评打分': 5}
{'短评内容': '环境和房价都不错，离镇中心也不是很远！值得推荐的酒店！', '短评打分': 5}
{'短评内容': '价格实惠，位置好，服务周到，值得一住，干净整洁', '短评打分': 5}
{'短评内容': '前台的服务态度真的很差，怎么能对客人爱理不理呢？其他的其实都还不错哦。', '短评打分': 5}
{'短评内容': '酒店就在游客码头边上，游千岛湖很方便。环境不错，免费早餐挺好。', '短评打分': 5}
{'短评内容': '酒店的位置很不错，前台也很热情，就是晚上9点以后才有热水想早点给孩子洗澡睡觉也没办法，第二天更是10点了水还不热，其他都很不错', '短评打分': 5}
