{'短评内容': '不错，去了好几次了，享受了会员的待遇！支持京东！', '短评打分': 5}
{'短评内容': '位置还好，环境也可以，就是靠马路的房间晚上稍微有点吵', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '空调效果一般。其他都还不错。作为麻将房，还是很舒适的。', '短评打分': 4}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。', '短评打分': 5}
{'短评内容': '不错，价格对得起！！！', '短评打分': 5}
{'短评内容': '一般吧！房间旧了点', '短评打分': 5}
{'短评内容': '价位合理，整体来说环境还不错', '短评打分': 5}
{'短评内容': '很满意。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '我未来我我我我我了', '短评打分': 5}
{'短评内容': '住大套房。性价比高', '短评打分': 5}
{'短评内容': '我我我我我我怕我我', '短评打分': 5}
{'短评内容': '请我怕我我我我我我', '短评打分': 5}
{'短评内容': '装修很好，房间小而精致，住得特别舒服', '短评打分': 5}
{'短评内容': '环境不错 就是在马路边 太吵了', '短评打分': 5}
{'短评内容': '可以啊', '短评打分': 5}
{'短评内容': '环境好，舒适，安静，餐饮方便，出行方便。', '短评打分': 5}
{'短评内容': '一般，经济实惠酒店', '短评打分': 4}
{'短评内容': '非常好！非常好！', '短评打分': 5}
{'短评内容': '欧式风格，环境优雅，值得推荐。', '短评打分': 4}
{'短评内容': '周边环境尚屬安静,房间布置还算可以,很有欧式格，床睡的也很舒服，晚上还可以跑去湖边散散步,美中不足之处是没有早餐,提悥老板提供早点。\n', '短评打分': 5}
{'短评内容': '装修味道太重了要中毒了一晚没睡。服务人员很好', '短评打分': 1}
{'短评内容': '环境不错，房间有点挤。还算不错。恩，订购便宜点。不错啦。', '短评打分': 5}
{'短评内容': '这次来入住，房间已经没有味道了，入住的地中海风格特别温馨，很喜欢，推荐......', '短评打分': 5}
{'短评内容': '酒店房间很漂亮，周边餐饮娱乐场所特别齐全，很方便！赞一个...', '短评打分': 5}
{'短评内容': '这次换了地中海风格的还是很漂亮，而且已经没有装修味道了，服务也很热情，比上次还舒服，真的很不错。', '短评打分': 5}
{'短评内容': '不错哦。欧式装修很不错的，离花园道偶是酒吧街很近。旁边很多高档餐厅，有机会再去', '短评打分': 5}
{'短评内容': '不错，蛮安静。不含早饭价格虐高，可以考虑的', '短评打分': 5}
{'短评内容': '很有格调的酒店，漂亮的房间，温馨的服务，舒适的感觉，下次还回来！', '短评打分': 5}
{'短评内容': '武汉难得的情侣酒店，太有FEEL了啊！带女孩子来开房的首选，很喜欢每间房一种风格，每次来都有不同的体验，建议大家也来体验体验，很不错，性价比也高！', '短评打分': 5}
{'短评内容': '很有情调的主题酒店，非常漂亮，适合带女朋友来约会，推荐情侣过来玩呢！', '短评打分': 5}
{'短评内容': '酒店房间很漂亮，每间风格还都不一样，可以每次来住不同风格的房间，而且服务也很热情，很喜欢哦！', '短评打分': 5}
{'短评内容': '酒店很有欧式风格，武汉很少有这么漂亮的主题酒店，入住前看了好几个楼层的房间，都很漂亮，最后选择了地中海风格房间，下次来要感受欧式古典楼层，还有就是周围美食很多呢！呵呵。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境真的不错，很漂亮，不过住的那间房隔音有点差，可以听到门口的人讲话的声音...', '短评打分': 5}
{'短评内容': '装修的气味太重，住了4天停了9次电，服务意识很差，好像都没有经过专门的训练。我不推荐此酒店。\n', '短评打分': 1}
{'短评内容': '另人难忘的酒店', '短评打分': 3}
