{'descr': '价格有点高。。。。', 'star': 5}
{'descr': '不错。。。。。。', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '不错，停车方便', 'star': 5}
{'descr': '位置挺好，离工作地点近。就是周围没有早餐店儿', 'star': 5}
{'descr': '非常好，干净舒适', 'star': 5}
{'descr': '房间里面可以选择性的消费提供了非常多，嗯整体来说的话，性价比还是不错的。由于是墨绿色的地板，嗯，房间打扫的时候可能是有人偷懒，没有打扫的特别干净，竟然还有头发在底下。', 'star': 5}
{'descr': '宾至如归', 'star': 5}
{'descr': '一字好', 'star': 5}
{'descr': '住了好多次了，挺好的', 'star': 5}
{'descr': '交通方便，携程订贵，且没有早餐。', 'star': 4}
{'descr': '方便快捷，房间卫生', 'star': 5}
{'descr': '比较干净，出行方便。。。。', 'star': 4}
{'descr': '干净，安静，出行较方便。周边小饭馆较多。。。', 'star': 4}
{'descr': '环境还好就是一到晚上水就很凉', 'star': 5}
{'descr': '很好哒', 'star': 5}
{'descr': '干净，出行方便。。。', 'star': 4}
{'descr': '很不错，还有吹风机，就是都到夏天了被子有点厚！', 'star': 5}
{'descr': '  要是房间内有电脑就好了。服务人员态度很好', 'star': 5}
{'descr': '服务好 有吹风机 挺干净的 就是被子好厚..', 'star': 5}
{'descr': '现在不供暖了，总算屋子里凉快些了，但是被子还是厚。服务还是很好的。', 'star': 5}
{'descr': '环境不错，交通方便，热水很给力，服务态度也很好', 'star': 5}
{'descr': '性价比很高，被罩颜色很好看，淡绿色，嘻嘻。促进睡眠', 'star': 5}
{'descr': '还是老问题，屋子里比较热，被子太厚了，总要开窗。', 'star': 5}
{'descr': '屋子里面还是比较热，被子太厚。其他都好。打折的优惠劵结帐的时候必须向前台要才给。', 'star': 5}
{'descr': '一如既往的好，已经住了好几天了，周边吃饭的地方很多', 'star': 5}
{'descr': '房间很好舒适，是住过的如家里最好的一家，没明白为什么点评后不是实时的显示出来，人家给你好评怎么也的回应一下吧。', 'star': 5}
{'descr': '不是一般的好，热水充足，房间比较大，新装修的，附近很多吃饭的地方', 'star': 5}
{'descr': '这家如家在东北地区应该是比较好的，房间够大，门前有个广场，价格还可以，值得推荐', 'star': 5}
{'descr': '整体感觉不错，早上4点给前台打的电话商量入住的事情，前台很热情，也很体谅我们，屋内环境挺温馨的，热水上的很快，房间布置的也不错，隔音效果也很好，挺舒服的！', 'star': 5}
{'descr': '酒店整体不错，屋内地热的温度比较高，现在去建议向服务员换薄被子。大床房的房间还是太小了。其他都不错。', 'star': 5}
{'descr': '各个方面都挺好的 ~就是温度太高了、睡觉都不用盖被子了！', 'star': 5}
{'descr': '是当地性价比最好的一家酒店。暖气刚刚的，太热乎了。', 'star': 5}
{'descr': '各方面都很好、房间里面暖气太足了、非常之热！', 'star': 5}
{'descr': '房间很温馨，就是一进门就闻到有烟味儿，久久不能散去，开了窗户也不太管用', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '原来的检察院办公楼,新改成的酒店,院子里有停车场,客房很火常满员,房间装修质量一般,地板有隆起的地方.白山这小地方,不知为什么,酒店的价格偏高.包括亿佳合酒店,政府的朋友给定的,协议价还要四百多,装修偏旧四星都勉强.', 'star': 5}
{'descr': '干净，房间宽敞。居城市之中却不繁杂，周边环境不错\n', 'star': 5}
{'descr': '干净，房间宽敞。居城市之中却不繁杂，周边环境不错\n', 'star': 5}
{'descr': '干净，房间宽敞。居城市之中却不繁杂，周边环境不错\n', 'star': 5}
{'descr': '挺干净的。卫生搞的好，服务也可以，离汽车站和火车站都很近，方便。', 'star': 5}
{'descr': '挺干净的。卫生搞的好，服务也可以，离汽车站和火车站都很近，方便。', 'star': 5}
{'descr': '挺干净的。卫生搞的好，服务也可以，离汽车站和火车站都很近，方便。', 'star': 5}
{'descr': '酒店附近吃饭的地方很多，有一家锅烙蛮好吃的，房间宽敞，后面还有球场，早餐不错，前台服务也很好！下次还是建议住这边，白山市区很小，酒店前面有个广场。', 'star': 5}
{'descr': '酒店附近吃饭的地方很多，有一家锅烙蛮好吃的，房间宽敞，后面还有球场，早餐不错，前台服务也很好！下次还是建议住这边，白山市区很小，酒店前面有个广场。', 'star': 5}
{'descr': '酒店附近吃饭的地方很多，有一家锅烙蛮好吃的，房间宽敞，后面还有球场，早餐不错，前台服务也很好！下次还是建议住这边，白山市区很小，酒店前面有个广场。', 'star': 5}
{'descr': '还蛮好的。。。性价比高。。。。下次还继续入住。。。。。。', 'star': 5}
{'descr': '还蛮好的。。。性价比高。。。。下次还继续入住。。。。。。', 'star': 5}
{'descr': '还蛮好的。。。性价比高。。。。下次还继续入住。。。。。。', 'star': 5}
